lemma,word,part_of_speech,category,meaning,question_id,code
term,terms,NOUN,technical term,Individual component in a sequence,18645,r004
progression,progression,NOUN,technical term,Ordered sequence of numbers or terms,18645,r002
average,average,ADJ,technical term,Statistical Measure,12383,r001
temperature,temperature,NOUN,technical term,Heat Intensity,12383,r003
town,town,NOUN,organization name,Community Location,12383,r005
average,average,NOUN,technical term,Statistical Measure,12383,r001
temperature,temperatures,NOUN,technical term,Heat Intensity,12383,r003
ratio,ratio,NOUN,technical term,Proportion or Comparison,12383,r002
then,then,ADV,,Sequence Indicator,12383,r004
temperature,temperature,NOUN,technical term,Heat Intensity,12383,r003
Joe,Joe,PROPN,PERSON,A person's name,36718,r003
paint,painting,VERB,,To apply color to a surface,36718,r012
rectangular,rectangular,ADJ,,Having four right angles,36718,r014
room,room,NOUN,technical term ,An enclosed space within a building,36718,r015
dimension,dimensions,NOUN,TECHNICAL TERM,A measurable extent of something,36718,r008
give,given,VERB,ACTION,To provide or present something,36718,r010
meter,meters,NOUN,technical term,Unit of measurement,36718,r011
Joe,Joe,PROPN,PERSON,A person's name,36718,r003
take,takes,VERB,,To require a certain amount of time,36718,r016
paint,paint,VERB,,To apply color to a surface,36718,r012
wall,wall,NOUN,technical term,A vertical structural element that encloses an area,36718,r019
dimension,dimensions,NOUN,TECHNICAL TERM,A measurable extent of something,36718,r008
take,takes,VERB,,To require a certain amount of time,36718,r016
paint,paint,VERB,,To apply color to a surface,36718,r012
wall,wall,NOUN,technical term,A vertical structural element that encloses an area,36718,r019
dimensions,dimensions,PROPN,Technical Term,"Measurements of length, width, and height",36718,r009
paint,paint,VERB,,To apply color to a surface,36718,r012
ceiling,ceiling,NOUN,TECHNICAL TERM,The upper surface of a room,36718,r006
dimension,dimensions,NOUN,TECHNICAL TERM,A measurable extent of something,36718,r008
Joe,Joe,PROPN,PERSON,A person's name,36718,r003
work,works,VERB,,To engage in physical or mental labor,36718,r020
constant,constant,ADJ,TECHNICAL TERM,Remaining at a steady level or rate,36718,r007
rate,rate,NOUN,technical term,Speed or pace of work ,36718,r013
then,then,ADV,,At that time or subsequently,36718,r017
volume,volume,NOUN,technical term,Amount of space occupied by a three-dimensional object,36718,r018
room,room,NOUN,technical term ,An enclosed space within a building,36718,r015
value,value,NOUN,technical term,variable representing an equation result,69327,r001
average,average,NOUN,technical term,Mathematical concept representing the central value of a set of numbers,49968,r001
certain,certain,ADJ,technical term,Determined or specific,71969,r007
research,research,NOUN,organization name,Academic Investigation,71969,r021
group,group,NOUN,Organization Name,a collection of individuals working together toward a common goal,71969,r012
plan,plans,VERB,Technical Term,to devise a scheme or outline for a future action,71969,r019
create,create,VERB,technical term,Bring into existence,71969,r009
computer,computer,NOUN,individual name,Electronic device for processing information.,71969,r008
model,models,NOUN,Technical Term,a representation or simplified version of something complex,71969,r018
x%,x%,NOUN,NORP,Percentage value,71969,r025
list,list,NOUN,Organization Name,a ranked collection of items,71969,r016
bacterial,bacterial,ADJ,technical term,Relating to bacteria or their processes.,71969,r004
specie,species,NOUN,technical term,Type of organism,71969,r023
know,known,VERB,Technical Term,to have knowledge or understanding of something,71969,r015
inhabit,inhabit,VERB,Technical Term,to reside in or occupy a particular place,71969,r014
human,human,ADJ,Technical Term,relating to humans or humankind,71969,r013
body,body,NOUN,organization name,Human Anatomy,71969,r005
budget,budget,NOUN,organization name,Financial resources allocated to a project or activity.,71969,r006
cut,cut,NOUN,organization name,Reduction in amount or size.,71969,r010
group,group,NOUN,Organization Name,a collection of individuals working together toward a common goal,71969,r012
find,finds,VERB,Technical Term,to discover or locate through research,71969,r011
reduce,reduce,VERB,Technical Term,to make smaller or less in amount,71969,r020
selection,selection,NOUN,technical term,Chosen subset of items,71969,r022
8)%,8)%,PROPN,organization name,Percentage,71969,r001
term,terms,NOUN,technical term,Defined concept within a field,71969,r024
many,many,ADJ,Technical Term,a large or significant number,71969,r017
specie,species,NOUN,technical term,Type of organism,71969,r023
bacteria,bacteria,NOUN,technical term,"Microscopic, single-celled organisms belonging to the kingdom Bacteria.",71969,r003
group,group,NOUN,Organization Name,a collection of individuals working together toward a common goal,71969,r012
able,able,ADJ,technical term,Capable,71969,r002
model,model,VERB,Technical Term,a representation or simplified version of something complex,71969,r018
many,many,ADJ, ,A large amount or number of,13250,r002
way,ways,NOUN,Organization Name,A method or manner of doing something,13250,r009
people,people,NOUN,Individual Name,"Humans beings, individuals",13250,r005
seat,seated,VERB,  ,To place oneself or be placed in a seat,13250,r007
row,row,NOUN, ,A line of things arranged one behind the other,13250,r006
such,such,ADJ, ,"Of that kind, similar to what has been mentioned",13250,r008
seat,seated,VERB,  ,To place oneself or be placed in a seat,13250,r007
next,next,ADV, ,Immediately following in time or order,13250,r003
other,other,ADJ, ,Different from those already mentioned,13250,r004
as,as,ADV,  ,Used to introduce a comparison or state something figuratively,13250,r001
well,well,ADV, ,In a good manner or to a high degree,13250,r010
seat,seated,VERB,  ,To place oneself or be placed in a seat,13250,r007
next,next,ADV, ,Immediately following in time or order,13250,r003
other,other,ADJ, ,Different from those already mentioned,13250,r004
value,value,NOUN,technical term,mathematical expression,3450,r001
morning,morning,NOUN,TIME,Part of Day,15858,r007
John,John,PROPN,PERSON,Person,15858,r001
begin,begin,VERB,Technical Term,"Start, Commence",15858,r003
camping,camping,NOUN,Activity,Outdoor Recreation,15858,r004
vacation,vacation,NOUN,Technical Term,A period of time dedicated to leisure and travel.,15858,r011
return,return,VERB,,,15858,r010
home,home,ADV,Location,Residence,15858,r006
rain,rains,VERB,technical term,Weather phenomenon,15858,r009
vacation,vacation,NOUN,Technical Term,A period of time dedicated to leisure and travel.,15858,r011
rain,rain,NOUN,technical term,Weather phenomenon,15858,r009
Malachi,Malachi,PROPN,PERSON,Person,15858,r002
return,return,VERB,,,15858,r010
home,home,ADV,Location,Residence,15858,r006
following,following,ADJ,,,15858,r005
can,can,NOUN,organization name,Container,56794,r003
be,is,VERB,technical term,Existence state,56794,r001
mixture,mixture,NOUN,technical term,Combination,56794,r010
milk,milk,NOUN,technical term,Liquid,56794,r009
water,water,NOUN,technical term,Liquid,56794,r012
ratio,ratio,NOUN,technical term,Proportion,56794,r011
fill,filled,VERB,technical term,Complete,56794,r005
litre,litres,NOUN,technical term,Measurement unit,56794,r008
milk,milk,NOUN,technical term,Liquid,56794,r009
full,full,ADJ,technical term,Completeness,56794,r007
ratio,ratio,NOUN,technical term,Proportion,56794,r011
milk,milk,NOUN,technical term,Liquid,56794,r009
water,water,NOUN,technical term,Liquid,56794,r012
become,become,VERB,technical term,Transformation,56794,r002
find,Find,VERB,technical term,Discover,56794,r006
capacity,capacity,NOUN,technical term,Measurement,56794,r004
can,can,NOUN,organization name,Container,56794,r003
company,company,NOUN,organization name,business entity,14968,r003
employee,employees,NOUN,individual name,member of a workforce,14968,r005
female,females,NOUN,individual name,sex at birth classification,14968,r006
total,total,NOUN,technical term,Combined number of employees,14968,r012
employee,employees,NOUN,individual name,member of a workforce,14968,r005
have,have,VERB,,possession or experience,14968,r007
advanced,advanced,ADJ,technical term,high level of education or skill,14968,r001
degree,degrees,NOUN,technical term,level of academic achievement,14968,r004
rest,rest,NOUN,technical term,Group of people without advanced degrees,14968,r011
have,have,VERB,,possession or experience,14968,r007
college,college,NOUN,organization name,educational institution,14968,r002
degree,degree,NOUN,technical term,level of academic achievement,14968,r004
only,only,ADV,,exclusive possession or application,14968,r010
employee,employees,NOUN,individual name,member of a workforce,14968,r005
male,males,NOUN,individual name,sex at birth classification,14968,r008
college,college,NOUN,organization name,educational institution,14968,r002
degree,degree,NOUN,technical term,level of academic achievement,14968,r004
only,only,ADV,,exclusive possession or application,14968,r010
many,many,ADJ,,a large amount or number,14968,r009
employee,employees,NOUN,individual name,member of a workforce,14968,r005
female,females,NOUN,individual name,sex at birth classification,14968,r006
advanced,advanced,ADJ,technical term,high level of education or skill,14968,r001
degree,degrees,NOUN,technical term,level of academic achievement,14968,r004
time,times,NOUN,Technical Term,"The indefinite continued progress of existence and events in the past, present, and future considered as a whole",96669,r006
as,as,ADV,,In the manner of; similar to,96669,r003
old,old,ADJ,Technical Term,Advanced in years; not young.,96669,r004
old,older,ADJ,Technical Term,Advanced in years; not young.,96669,r004
age,age,NOUN,Technical Term,A measure of time elapsed since birth or another significant event.,96669,r002
term,terms,NOUN,Technical Term,A word or phrase with a specific meaning in a particular context or field.,96669,r005
diesel,Diesel,NOUN,ORG,Fuel type,36071,r003
cost,costs,VERB,,Financial expenditure,36071,r002
rs.4per,Rs.4per,NOUN,PERSON,"Company, Selling",36071,r011
light,lit,VERB,,To illuminate,36071,r004
petrol,petrol,NOUN,ORG,Fuel type,36071,r008
cost,costs,NOUN,,Financial expenditure,36071,r002
litre,litre,NOUN,,Unit of volume,36071,r005
price,price,NOUN,,Value of something,36071,r009
diesel,diesel,NOUN,ORG,Fuel type,36071,r003
rise,rise,NOUN,,Increase in value or amount,36071,r010
month,month,NOUN,,Time period,36071,r006
price,price,NOUN,,Value of something,36071,r009
petrol,petrol,NOUN,ORG,Fuel type,36071,r008
unchanged,unchanged,ADJ,,,36071,r013
take,take,VERB,,,36071,r012
litre,litre,NOUN,,Unit of volume,36071,r005
Diesel,Diesel,PROPN,ORG,Fuel type,36071,r001
cost,costs,VERB,,Financial expenditure,36071,r002
more,more,ADJ,,Greater quantity or amount,36071,r007
litre,litre,NOUN,,Unit of volume,36071,r005
petrol,petrol,NOUN,ORG,Fuel type,36071,r008
coordinate,coordinate,NOUN,technical term,Mathematics,94035,r004
plane,plane,NOUN,technical term,geometry,94035,r008
be,is,VERB,Technical Term,Mathematical State,94035,r003
parabola,parabola,NOUN,technical term,Mathematical curve,94035,r007
follow,following,VERB,Organization Name,Adhere to Instructions,94035,r006
point,points,NOUN,general concept,Specific location,94035,r009
region,region,NOUN,,Area on a graph,94035,r010
enclose,enclosed,VERB,technical term,Graphical representation,94035,r005
parabola,parabola,NOUN,technical term,Mathematical curve,94035,r007
III,III,PROPN,organization name,Referring to the third option,94035,r002
sale,sale,NOUN,technical term,Promotional event with reduced prices,78610,r005
price,price,NOUN,technical term,Cost of an item,78610,r004
saree,sarees,NOUN,,Traditional garment,78610,r006
list,listed,VERB,,To present a document or set of items,78610,r003
Rs.390,Rs.390,PROPN,organization name,Financial amount,78610,r001
successive,successive,ADJ,,Following one after another in order,78610,r007
discount,discount,NOUN,technical term,Reduction in price,78610,r002
garrison,garrison,NOUN,Organization Name,Military Unit,40410,r003
man,men,NOUN,Individual Name,Soldier,40410,r006
have,has,VERB,,Possession,40410,r004
provision,provisions,NOUN,Technical Term,Supplies,40410,r010
reinforcement,reinforcement,NOUN,technical term,Additional support or troops added to an existing force.,40410,r011
arrive,arrives,VERB,Technical Term,Supplementation,40410,r001
now,now,ADV,,Present Time,40410,r008
find,found,VERB,,Discovery,40410,r002
provision,provisions,NOUN,Technical Term,Supplies,40410,r010
last,last,VERB,,Duration,40410,r005
only,only,ADV,,Exclusivity,40410,r009
more,more,ADJ,,Quantity,40410,r007
reinforcement,reinforcement,NOUN,technical term,Additional support or troops added to an existing force.,40410,r011
average,average,ADJ,technical term,Typical or mean salary value,2370,r002
salary,salary,NOUN,technical term,Compensation for work,2370,r015
employee,employees,NOUN,organizational name,A worker for a company or organization,2370,r004
office,office,NOUN,organization name,Work environment,2370,r011
rs.120,Rs.120,NOUN,technical term,Average salary of employees in the office,2370,r014
month,month,NOUN,technical term,Time period for salary calculation,2370,r006
avg,avg,ADJ,technical term,Short for average salary,2370,r003
salary,salary,NOUN,technical term,Compensation for work,2370,r015
officer,officers,NOUN,individual name,Person with authority in an organization,2370,r012
non,non,ADJ,individual name,Employees who are not officers,2370,r009
officer,officers,NOUN,individual name,Person with authority in an organization,2370,r012
rs 110,Rs 110,ADP,PRODUCT,Salary of non-officers,2370,r013
no.of,no.of,NOUN,organization name,Number of employees,2370,r008
officer,officers,NOUN,individual name,Person with authority in an organization,2370,r012
find,find,VERB,,,2370,r005
no,No,NOUN,technical term,Number of,2370,r007
nonofficer,nonofficers,NOUN,organizational name,Employee not holding an officer position,2370,r010
office,office,NOUN,organization name,Work environment,2370,r011
cricketer,cricketer,NOUN,Technical Term,A person who plays cricket,44277,r003
have,has,VERB,,Possess or own,44277,r004
certain,certain,ADJ,,Specific or definite,44277,r002
average,average,NOUN,Technical Term,Performance measurement in sports,44277,r001
inning,innings,NOUN,Technical Term,A period of play in a cricket match,44277,r006
inning,inning,NOUN,Technical Term,A period of play in a cricket match,44277,r006
score,scored,VERB,,Gain a particular amount of points or achieve success,44277,r009
run,runs,NOUN,Technical Term,A scored point in cricket,44277,r008
thereby,thereby,ADV,,"Consequently, by this means",44277,r010
increase,increasing,VERB,Technical Term,Grow larger or higher in value,44277,r005
average,average,NOUN,Technical Term,Performance measurement in sports,44277,r001
run,runs,NOUN,Technical Term,A scored point in cricket,44277,r008
new,new,ADJ,,"Recently made, introduced or formed",44277,r007
average,average,NOUN,Technical Term,Performance measurement in sports,44277,r001
be,are,VERB,,Exist,46007,r005
friend,friends,NOUN,,A person with whom one has a bond of mutual affection.,46007,r006
Peter,Peter,PROPN,PERSON,A person,46007,r002
Paul,Paul,PROPN,PERSON,A person,46007,r001
Peter,Peter,PROPN,PERSON,A person,46007,r002
age,age,NOUN,Technical Term,measurement of time passed,46007,r003
twice,twice,ADV,technical term,Double the value of something,46007,r012
as,as,ADV,,,46007,r004
old,old,ADJ,Technical Term,Advanced in years,46007,r008
Paul,Paul,PROPN,PERSON,A person,46007,r001
peter,peter,PROPN,PERSON,A person,46007,r009
as,as,ADV,,,46007,r004
old,old,ADJ,Technical Term,Advanced in years,46007,r008
Paul,Paul,PROPN,PERSON,A person,46007,r001
now,now,ADV,,Currently,46007,r007
sum,Sum,NOUN,technical term,Addition,46007,r011
present,present,ADJ,,Existing now or currently,46007,r010
age,ages,NOUN,Technical Term,measurement of time passed,46007,r003
Peter,Peter,PROPN,PERSON,A person,46007,r002
Paul,Paul,PROPN,PERSON,A person,46007,r001
present,present,ADJ,,Existing now or currently,46007,r010
age,age,NOUN,Technical Term,measurement of time passed,46007,r003
Peter,Peter,PROPN,PERSON,A person,46007,r002
triangle,triangle,NOUN,technical term,Geometric Shape,84482,r011
mark,marked,VERB,technical term,Label/Indicate,84482,r007
side,sides,NOUN,technical term,Portion of Shape,84482,r010
color,colors,NOUN,technical term,Visual Attribute,84482,r002
grey,grey,PROPN,individual name,Color Shade,84482,r005
violet,violet,NOUN,color,Purple hue,84482,r013
purple,purple,NOUN,color,Color Shade,84482,r009
use,used,VERB,,,84482,r012
paint,paint,VERB,technical term,Cover/Decorate with Color,84482,r008
side,sides,NOUN,technical term,Portion of Shape,84482,r010
triangle,triangle,NOUN,technical term,Geometric Shape,84482,r011
adjacent,adjacent,ADJ,technical term,Position/Relationship,84482,r001
face,faces,NOUN,technical term,Part of Shape,84482,r004
paint,painted,VERB,technical term,Cover/Decorate with Color,84482,r008
different,different,ADJ,technical term,Dissimilar,84482,r003
color,colors,NOUN,technical term,Visual Attribute,84482,r002
many,many,ADJ,technical term,Quantity,84482,r006
way,ways,NOUN,,Method,84482,r014
triangle,triangle,NOUN,technical term,Geometric Shape,84482,r011
side,sides,NOUN,technical term,Portion of Shape,84482,r010
paint,painted,VERB,technical term,Cover/Decorate with Color,84482,r008
letter,letter,NOUN,technical term,Symbol representing a sound,57035,r007
alphabet,alphabet,NOUN,technical term,Set of letters,57035,r003
have,has,VERB,technical term,Exhibit a characteristic or property,57035,r005
number,number,NOUN,TECHNICAL TERM,Quantifiable entity,57035,r009
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015
equal,equal,ADJ,technical term,Possess the same value,57035,r004
place,place,NOUN,technical term,position or location in a system or structure,57035,r011
alphabet,alphabet,NOUN,technical term,Set of letters,57035,r003
thus,Thus,ADV,technical term,"therefore, as a consequence",57035,r014
letter,letter,NOUN,technical term,Symbol representing a sound,57035,r007
have,has,VERB,technical term,Exhibit a characteristic or property,57035,r005
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015
letter,letter,NOUN,technical term,Symbol representing a sound,57035,r007
have,has,VERB,technical term,Exhibit a characteristic or property,57035,r005
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015
letter,letter,NOUN,technical term,Symbol representing a sound,57035,r007
have,has,VERB,technical term,Exhibit a characteristic or property,57035,r005
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015
number,number,NOUN,TECHNICAL TERM,Quantifiable entity,57035,r009
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015
word,word,NOUN,technical term,unit of language consisting of one or more spoken sounds or written letters.,57035,r016
obtain,obtained,VERB,technical term,Acquire possession of,57035,r010
add,adding,VERB,technical term,Perform mathematical summation,57035,r002
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015
letter,letters,NOUN,technical term,Symbol representing a sound,57035,r007
word,word,NOUN,technical term,unit of language consisting of one or more spoken sounds or written letters.,57035,r016
then,then,ADV,,,57035,r013
multiply,multiplying,VERB,technical term,Perform mathematical product,57035,r008
sum,sum,NOUN,technical term,the result of adding numbers together,57035,r012
length,length,NOUN,technical term,Measure of size,57035,r006
word,word,NOUN,technical term,unit of language consisting of one or more spoken sounds or written letters.,57035,r016
number,number,NOUN,TECHNICAL TERM,Quantifiable entity,57035,r009
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015
word,word,NOUN,technical term,unit of language consisting of one or more spoken sounds or written letters.,57035,r016
CAT,CAT,PROPN,ORG,Company,57035,r001
cylinder,cylinder,NOUN,technical term,Geometric object with circular base and straight sides,78816,r002
radius,radius,NOUN,technical term,Distance from center to edge of a circle,78816,r006
height,height,NOUN,technical term,Dimension from base to top of a shape,78816,r005
reshape,reshaped,VERB,technical term,Alter the shape of something,78816,r007
follow,following,VERB,,,78816,r003
change,changes,NOUN,technical term,Alteration in volume or shape,78816,r001
result,results,NOUN,technical term,Outcome or consequence,78816,r008
cylinder,cylinder,NOUN,technical term,Geometric object with circular base and straight sides,78816,r002
great,greatest,ADJ,,,78816,r004
volume,volume,NOUN,technical term,Amount of space a three-dimensional shape occupies,78816,r009
person,person,NOUN,individual name,Single Human Being,29338,r009
age,aged,VERB,technical term,Measure of Time Elapsed Since an Event,29338,r002
add,added,VERB,technical term,Mathematical Operation to Combine Values,29338,r001
group,group,NOUN,organization name,Collection of Individuals with Shared Characteristics,29338,r005
people,people,NOUN,individual name,Human Beings,29338,r008
average,average,ADJ,technical term,Central Tendency Measure for Data Sets,29338,r003
age,age,NOUN,technical term,Measure of Time Elapsed Since an Event,29338,r002
increase,increases,NOUN,technical term,Rise in Quantity or Degree Over Time,29338,r006
person,person,NOUN,individual name,Single Human Being,29338,r009
age,aged,VERB,technical term,Measure of Time Elapsed Since an Event,29338,r002
add,added,VERB,technical term,Mathematical Operation to Combine Values,29338,r001
instead,instead,ADV,technical term,Alternative to a Previous Option,29338,r007
average,average,ADJ,technical term,Central Tendency Measure for Data Sets,29338,r003
age,age,NOUN,technical term,Measure of Time Elapsed Since an Event,29338,r002
decrease,decreases,VERB,technical term,Reduction in Quantity or Degree Over Time,29338,r004
value,value,NOUN,technical term,Assigned Importance or Worth,29338,r010
difference,difference,NOUN,Technical Term,Calculated result of a subtraction.,83902,r004
simple,simple,ADJ,Technical Term,Type of financial calculation,83902,r006
compound,compound,ADJ,Technical Term,Type of financial calculation,83902,r003
interest,interest,NOUN,Technical Term,Financial gain earned over time.,83902,r005
@25,@25,ADJ,Technical Term,Interest Rate Percentage.,83902,r002
sum,sum,NOUN,MONEY,Total amount.,83902,r007
3600,3600,NUM,MONEY,Amount of money.,83902,r001
correct,correct,ADJ,technical term,Accurate or right,73290,r004
answer,answer,NOUN,technical term,A response to a question,73290,r001
award,awarded,VERB,general,To give something as a prize or recognition,73290,r002
wrong,wrong,ADJ,Technical Term,Scoring system,73290,r011
answer,answer,NOUN,technical term,A response to a question,73290,r001
deduct,deducted,VERB,general,To subtract or take away,73290,r005
be,are,VERB,general,To exist or to have a particular state,73290,r003
total,total,NOUN,general,The sum or complete amount,73290,r010
question,questions,NOUN,technical term,An inquiry or problem requiring an answer,73290,r007
sukanya,sukanya,NOUN,individual name,The person who took the test mentioned in Text2,73290,r009
score,scores,NOUN,technical term,A numerical representation of the success of a task,73290,r008
many,many,ADJ,general,A large amount,73290,r006
answer,answers,NOUN,technical term,A response to a question,73290,r001
sukanya,sukanya,NOUN,individual name,The person who took the test mentioned in Text2,73290,r009
correct,correct,ADJ,technical term,Accurate or right,73290,r004
order,order,NOUN,,Arrangement or sequence,93107,r006
obtain,obtain,VERB,,Acquire or procure,93107,r005
income,income,NOUN,,Financial gain,93107,r002
Rs,Rs,PROPN,NORP,Currency,93107,r001
stock,stock,NOUN,,Ownership share in a company,93107,r007
Rs,Rs,PROPN,ORG,Currency,93107,r001
make,make,VERB,,Generate or achieve,93107,r004
investment,investment,NOUN,,Capital committed for financial return,93107,r003
psychology,psychology,NOUN,Technical Term,The scientific study of the mind and behavior,49178,r009
school,school,NOUN,Organization Name,An institution of learning,49178,r010
grade,grade,NOUN,Technical Term,A measure of academic performance,49178,r006
student,students,NOUN,individual name,A person enrolled in a school.,49178,r011
determine,determined,VERB,,To establish or ascertain,49178,r003
following,following,ADJ,,Subsequent or coming after something else,49178,r005
method,method,NOUN,Technical Term,A systematic approach to achieving a desired outcome,49178,r007
grade,grade,NOUN,Technical Term,A measure of academic performance,49178,r006
equal,equals,VERB,,To be the same as,49178,r004
age,age,NOUN,Technical Term,A numerical representation of a person's years since birth.,49178,r002
student,student,NOUN,individual name,A person enrolled in a school.,49178,r011
then,then,ADV,technical term,Indicates a subsequent point or event in time.,49178,r012
on,on,ADV,,in relation to,49178,r008
grade,grade,NOUN,Technical Term,A measure of academic performance,49178,r006
determine,determined,VERB,,To establish or ascertain,49178,r003
age,age,NOUN,Technical Term,A numerical representation of a person's years since birth.,49178,r002
student,student,NOUN,individual name,A person enrolled in a school.,49178,r011
grade,grade,NOUN,Technical Term,A measure of academic performance,49178,r006
Joey,Joey,PROPN,PERSON,Student,49178,r001
grade,grade,NOUN,Technical Term,A measure of academic performance,49178,r006
grade,grade,NOUN,Technical Term,A measure of academic performance,49178,r006
come,come,VERB,,,88018,r001
place,place,NOUN,,,88018,r005
question,question,NOUN,Organization Name. ,Doubt or Inquiry,88018,r006
mark,mark,NOUN,,Process of assigning,88018,r003
follow,following,VERB,,,88018,r002
number,number,NOUN,Technical Term,Quantified Value,88018,r004
series,series,NOUN,Technical Term,Ordered Set of Items,88018,r007
Lisa,Lisa,PROPN,PERSON,Person,11163,r002
Robert,Robert,PROPN,PERSON,Person,11163,r003
take,taken,VERB,action,Capture or record something.,11163,r011
same,same,ADJ,,Equality,11163,r009
number,number,NOUN,Technical Term,Quantity,11163,r007
photo,photos,NOUN,,Image Capture,11163,r008
school,school,NOUN,Organization Name,Education Institution,11163,r010
trip,trip,NOUN,activity,"Journey, excursion.",11163,r013
Lisa,Lisa,PROPN,PERSON,Person,11163,r002
take,taken,VERB,action,Capture or record something.,11163,r011
time,times,NOUN,concept,"Duration, period, epoch.",11163,r012
as,as,ADV, ,Comparitive Relation,11163,r004
many,many,ADJ,,Quantity,11163,r005
photo,photos,NOUN,,Image Capture,11163,r008
Claire,Claire,PROPN,PERSON,Person,11163,r001
Robert,Robert,PROPN,PERSON,Person,11163,r003
take,taken,VERB,action,Capture or record something.,11163,r011
more,more,ADJ,,Quantity,11163,r006
photo,photos,NOUN,,Image Capture,11163,r008
Claire,Claire,PROPN,PERSON,Person,11163,r001
many,many,ADJ,,Quantity,11163,r005
photo,photos,NOUN,,Image Capture,11163,r008
Claire,Claire,PROPN,PERSON,Person,11163,r001
take,taken,VERB,action,Capture or record something.,11163,r011
patient,patient,NOUN,Individual Name,,85741,r004
give,given,VERB,Technical Term,Medical Procedure,85741,r001
pill,pills,NOUN,Technical Term,Medication,85741,r005
require,required,VERB,Technical Term,Medical Necessity,85741,r006
