lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_20_masked,p_40_masked,p_60_masked,p_80_masked
share,shares,NOUN,Organization Name,Portion or part received from a total.,54084,r005,False,False,False,False,True
respectively,respectively,ADV,Technical Term,In the order stated.,54084,r004,False,False,True,True,True
price,price,NOUN,technical term,Monetary value assigned to an item,13920,r004,False,True,False,True,True
item,item,NOUN,organization name,Product being sold,13920,r002,False,False,False,False,True
discount,discounted,VERB,technical term,Reduction in price,13920,r001,False,False,True,False,True
sale,sale,NOUN,organization name,Promotional event with discounted pricing,13920,r005,False,False,False,True,False
item,item,NOUN,organization name,Product being sold,13920,r002,False,False,False,False,True
discount,discounted,VERB,technical term,Reduction in price,13920,r001,False,False,True,False,True
discount,discounted,VERB,technical term,Reduction in price,13920,r001,False,False,True,False,True
price,price,NOUN,technical term,Monetary value assigned to an item,13920,r004,False,True,False,True,True
item,item,NOUN,organization name,Product being sold,13920,r002,False,False,False,False,True
percentage,percentage,NOUN,technical term,Expression of proportion,13920,r003,False,False,True,True,True
sale,sale,NOUN,organization name,Promotional event with discounted pricing,13920,r005,False,False,False,True,False
price,price,NOUN,technical term,Monetary value assigned to an item,13920,r004,False,True,False,True,True
average,average,NOUN,technical term,The calculated central tendency of a set of numerical values.,81305,r001,False,False,False,False,True
number,numbers,NOUN,technical term,"A value representing a quantity, in particular an integer.",81305,r004,False,False,True,True,True
number,number,NOUN,technical term,"A value representing a quantity, in particular an integer.",81305,r004,False,False,True,True,True
multiply,multiplied,VERB,technical term,To increase the value of something by a specific factor.,81305,r002,False,True,True,True,True
then,then,ADV,technical term,"Subsequently, after something else has happened.",81305,r006,False,False,False,False,True
average,average,NOUN,technical term,The calculated central tendency of a set of numerical values.,81305,r001,False,False,False,False,True
new,new,ADJ,technical term,Different from the previous or existing one.,81305,r003,False,False,False,True,False
set,set,NOUN,technical term,A collection of items or values.,81305,r005,False,False,False,True,True
number,numbers,NOUN,technical term,"A value representing a quantity, in particular an integer.",81305,r004,False,False,True,True,True
sum,sum,NOUN,technical term,Total value of a set of numbers,18645,r003,False,False,True,True,True
term,term,NOUN,technical term,Individual component in a sequence,18645,r004,False,True,True,False,True
term,term,NOUN,technical term,Individual component in a sequence,18645,r004,False,True,True,False,True
arithmetic,arithmetic,ADJ,technical term,Mathematical sequence,18645,r001,False,False,False,False,False
progression,progression,NOUN,technical term,Ordered sequence of numbers or terms,18645,r002,False,False,False,True,True
sum,sum,NOUN,technical term,Total value of a set of numbers,18645,r003,False,False,True,True,True
term,terms,NOUN,technical term,Individual component in a sequence,18645,r004,False,True,True,False,True
progression,progression,NOUN,technical term,Ordered sequence of numbers or terms,18645,r002,False,False,False,True,True
average,average,ADJ,technical term,Statistical Measure,12383,r001,False,False,False,True,False
temperature,temperature,NOUN,technical term,Heat Intensity,12383,r003,False,False,False,False,True
town,town,NOUN,organization name,Community Location,12383,r005,False,False,True,False,True
average,average,NOUN,technical term,Statistical Measure,12383,r001,False,False,False,True,False
temperature,temperatures,NOUN,technical term,Heat Intensity,12383,r003,False,False,False,False,True
ratio,ratio,NOUN,technical term,Proportion or Comparison,12383,r002,False,False,True,True,True
then,then,ADV,,Sequence Indicator,12383,r004,False,True,False,True,True
temperature,temperature,NOUN,technical term,Heat Intensity,12383,r003,False,False,False,False,True
Joe,Joe,PROPN,PERSON,A person's name,36718,r003,False,True,False,False,True
paint,painting,VERB,,To apply color to a surface,36718,r012,False,False,False,False,True
rectangular,rectangular,ADJ,,Having four right angles,36718,r014,False,True,False,False,True
room,room,NOUN,technical term ,An enclosed space within a building,36718,r015,False,True,True,False,False
dimension,dimensions,NOUN,TECHNICAL TERM,A measurable extent of something,36718,r008,False,False,True,True,True
give,given,VERB,ACTION,To provide or present something,36718,r010,False,False,False,True,False
meter,meters,NOUN,technical term,Unit of measurement,36718,r011,False,False,False,False,True
Joe,Joe,PROPN,PERSON,A person's name,36718,r003,False,True,False,False,True
take,takes,VERB,,To require a certain amount of time,36718,r016,False,False,False,True,True
paint,paint,VERB,,To apply color to a surface,36718,r012,False,False,False,False,True
wall,wall,NOUN,technical term,A vertical structural element that encloses an area,36718,r019,False,False,True,True,False
dimension,dimensions,NOUN,TECHNICAL TERM,A measurable extent of something,36718,r008,False,False,True,True,True
take,takes,VERB,,To require a certain amount of time,36718,r016,False,False,False,True,True
paint,paint,VERB,,To apply color to a surface,36718,r012,False,False,False,False,True
wall,wall,NOUN,technical term,A vertical structural element that encloses an area,36718,r019,False,False,True,True,False
dimensions,dimensions,PROPN,Technical Term,"Measurements of length, width, and height",36718,r009,False,False,True,False,True
paint,paint,VERB,,To apply color to a surface,36718,r012,False,False,False,False,True
ceiling,ceiling,NOUN,TECHNICAL TERM,The upper surface of a room,36718,r006,False,False,False,True,True
dimension,dimensions,NOUN,TECHNICAL TERM,A measurable extent of something,36718,r008,False,False,True,True,True
Joe,Joe,PROPN,PERSON,A person's name,36718,r003,False,True,False,False,True
work,works,VERB,,To engage in physical or mental labor,36718,r020,False,False,False,True,True
constant,constant,ADJ,TECHNICAL TERM,Remaining at a steady level or rate,36718,r007,False,False,True,True,True
rate,rate,NOUN,technical term,Speed or pace of work ,36718,r013,False,False,True,True,True
then,then,ADV,,At that time or subsequently,36718,r017,False,False,False,True,True
volume,volume,NOUN,technical term,Amount of space occupied by a three-dimensional object,36718,r018,False,False,False,True,True
room,room,NOUN,technical term ,An enclosed space within a building,36718,r015,False,True,True,False,False
value,value,NOUN,technical term,variable representing an equation result,69327,r001,False,False,False,True,True
average,average,NOUN,technical term,Mathematical concept representing the central value of a set of numbers,49968,r001,False,False,False,True,True
certain,certain,ADJ,technical term,Determined or specific,71969,r007,False,True,True,False,False
research,research,NOUN,organization name,Academic Investigation,71969,r021,False,False,False,True,True
group,group,NOUN,Organization Name,a collection of individuals working together toward a common goal,71969,r012,False,False,False,True,False
plan,plans,VERB,Technical Term,to devise a scheme or outline for a future action,71969,r019,False,False,False,False,True
create,create,VERB,technical term,Bring into existence,71969,r009,False,False,True,False,True
computer,computer,NOUN,individual name,Electronic device for processing information.,71969,r008,False,True,False,True,True
model,models,NOUN,Technical Term,a representation or simplified version of something complex,71969,r018,False,False,False,True,True
x%,x%,NOUN,NORP,Percentage value,71969,r025,False,True,False,False,True
list,list,NOUN,Organization Name,a ranked collection of items,71969,r016,False,False,False,False,True
bacterial,bacterial,ADJ,technical term,Relating to bacteria or their processes.,71969,r004,False,False,True,True,True
specie,species,NOUN,technical term,Type of organism,71969,r023,False,True,False,False,False
know,known,VERB,Technical Term,to have knowledge or understanding of something,71969,r015,False,True,True,True,True
inhabit,inhabit,VERB,Technical Term,to reside in or occupy a particular place,71969,r014,False,False,True,True,True
human,human,ADJ,Technical Term,relating to humans or humankind,71969,r013,False,False,False,True,False
body,body,NOUN,organization name,Human Anatomy,71969,r005,False,False,True,True,True
budget,budget,NOUN,organization name,Financial resources allocated to a project or activity.,71969,r006,False,False,True,True,True
cut,cut,NOUN,organization name,Reduction in amount or size.,71969,r010,False,False,False,True,True
group,group,NOUN,Organization Name,a collection of individuals working together toward a common goal,71969,r012,False,False,False,True,False
find,finds,VERB,Technical Term,to discover or locate through research,71969,r011,False,False,False,False,False
reduce,reduce,VERB,Technical Term,to make smaller or less in amount,71969,r020,False,False,True,True,True
selection,selection,NOUN,technical term,Chosen subset of items,71969,r022,False,False,False,False,True
8)%,8)%,PROPN,organization name,Percentage,71969,r001,False,False,False,False,True
term,terms,NOUN,technical term,Defined concept within a field,71969,r024,False,False,True,True,True
many,many,ADJ,Technical Term,a large or significant number,71969,r017,False,False,True,True,True
specie,species,NOUN,technical term,Type of organism,71969,r023,False,True,False,False,False
bacteria,bacteria,NOUN,technical term,"Microscopic, single-celled organisms belonging to the kingdom Bacteria.",71969,r003,False,False,False,False,True
group,group,NOUN,Organization Name,a collection of individuals working together toward a common goal,71969,r012,False,False,False,True,False
able,able,ADJ,technical term,Capable,71969,r002,False,False,False,True,True
model,model,VERB,Technical Term,a representation or simplified version of something complex,71969,r018,False,False,False,True,True
many,many,ADJ, ,A large amount or number of,13250,r002,False,False,True,True,True
way,ways,NOUN,Organization Name,A method or manner of doing something,13250,r009,False,False,True,True,True
people,people,NOUN,Individual Name,"Humans beings, individuals",13250,r005,False,True,False,False,True
seat,seated,VERB,  ,To place oneself or be placed in a seat,13250,r007,False,False,True,False,True
row,row,NOUN, ,A line of things arranged one behind the other,13250,r006,False,False,False,True,False
such,such,ADJ, ,"Of that kind, similar to what has been mentioned",13250,r008,False,False,False,True,True
seat,seated,VERB,  ,To place oneself or be placed in a seat,13250,r007,False,False,True,False,True
next,next,ADV, ,Immediately following in time or order,13250,r003,False,False,False,True,True
other,other,ADJ, ,Different from those already mentioned,13250,r004,False,False,False,False,False
as,as,ADV,  ,Used to introduce a comparison or state something figuratively,13250,r001,False,True,True,False,True
well,well,ADV, ,In a good manner or to a high degree,13250,r010,False,False,False,True,True
seat,seated,VERB,  ,To place oneself or be placed in a seat,13250,r007,False,False,True,False,True
next,next,ADV, ,Immediately following in time or order,13250,r003,False,False,False,True,True
other,other,ADJ, ,Different from those already mentioned,13250,r004,False,False,False,False,False
value,value,NOUN,technical term,mathematical expression,3450,r001,False,False,False,True,True
morning,morning,NOUN,TIME,Part of Day,15858,r007,False,True,False,False,True
John,John,PROPN,PERSON,Person,15858,r001,False,False,False,True,True
begin,begin,VERB,Technical Term,"Start, Commence",15858,r003,False,False,True,True,False
camping,camping,NOUN,Activity,Outdoor Recreation,15858,r004,False,False,True,True,False
vacation,vacation,NOUN,Technical Term,A period of time dedicated to leisure and travel.,15858,r011,False,False,False,False,True
return,return,VERB,,,15858,r010,False,False,True,False,True
home,home,ADV,Location,Residence,15858,r006,False,True,False,True,True
rain,rains,VERB,technical term,Weather phenomenon,15858,r009,False,False,True,True,True
vacation,vacation,NOUN,Technical Term,A period of time dedicated to leisure and travel.,15858,r011,False,False,False,False,True
rain,rain,NOUN,technical term,Weather phenomenon,15858,r009,False,False,True,True,True
Malachi,Malachi,PROPN,PERSON,Person,15858,r002,False,False,False,True,True
return,return,VERB,,,15858,r010,False,False,True,False,True
home,home,ADV,Location,Residence,15858,r006,False,True,False,True,True
following,following,ADJ,,,15858,r005,False,False,False,False,True
can,can,NOUN,organization name,Container,56794,r003,False,False,False,True,True
be,is,VERB,technical term,Existence state,56794,r001,False,False,False,False,True
mixture,mixture,NOUN,technical term,Combination,56794,r010,False,True,False,False,True
milk,milk,NOUN,technical term,Liquid,56794,r009,False,False,False,True,True
water,water,NOUN,technical term,Liquid,56794,r012,False,False,True,False,False
ratio,ratio,NOUN,technical term,Proportion,56794,r011,False,False,False,True,True
fill,filled,VERB,technical term,Complete,56794,r005,False,False,True,False,True
litre,litres,NOUN,technical term,Measurement unit,56794,r008,False,False,True,True,True
milk,milk,NOUN,technical term,Liquid,56794,r009,False,False,False,True,True
full,full,ADJ,technical term,Completeness,56794,r007,False,True,False,False,True
ratio,ratio,NOUN,technical term,Proportion,56794,r011,False,False,False,True,True
milk,milk,NOUN,technical term,Liquid,56794,r009,False,False,False,True,True
water,water,NOUN,technical term,Liquid,56794,r012,False,False,True,False,False
become,become,VERB,technical term,Transformation,56794,r002,False,False,True,True,False
find,Find,VERB,technical term,Discover,56794,r006,False,False,True,True,True
capacity,capacity,NOUN,technical term,Measurement,56794,r004,False,False,False,True,True
can,can,NOUN,organization name,Container,56794,r003,False,False,False,True,True
company,company,NOUN,organization name,business entity,14968,r003,False,True,False,True,True
employee,employees,NOUN,individual name,member of a workforce,14968,r005,False,False,False,False,False
female,females,NOUN,individual name,sex at birth classification,14968,r006,False,False,False,False,True
total,total,NOUN,technical term,Combined number of employees,14968,r012,False,False,True,True,False
employee,employees,NOUN,individual name,member of a workforce,14968,r005,False,False,False,False,False
have,have,VERB,,possession or experience,14968,r007,False,False,False,False,True
advanced,advanced,ADJ,technical term,high level of education or skill,14968,r001,False,False,False,True,True
degree,degrees,NOUN,technical term,level of academic achievement,14968,r004,False,False,True,False,True
rest,rest,NOUN,technical term,Group of people without advanced degrees,14968,r011,False,True,False,True,True
have,have,VERB,,possession or experience,14968,r007,False,False,False,False,True
college,college,NOUN,organization name,educational institution,14968,r002,False,False,True,False,True
degree,degree,NOUN,technical term,level of academic achievement,14968,r004,False,False,True,False,True
only,only,ADV,,exclusive possession or application,14968,r010,False,False,True,True,True
employee,employees,NOUN,individual name,member of a workforce,14968,r005,False,False,False,False,False
male,males,NOUN,individual name,sex at birth classification,14968,r008,False,False,False,True,True
college,college,NOUN,organization name,educational institution,14968,r002,False,False,True,False,True
degree,degree,NOUN,technical term,level of academic achievement,14968,r004,False,False,True,False,True
only,only,ADV,,exclusive possession or application,14968,r010,False,False,True,True,True
many,many,ADJ,,a large amount or number,14968,r009,False,False,True,True,True
employee,employees,NOUN,individual name,member of a workforce,14968,r005,False,False,False,False,False
female,females,NOUN,individual name,sex at birth classification,14968,r006,False,False,False,False,True
advanced,advanced,ADJ,technical term,high level of education or skill,14968,r001,False,False,False,True,True
degree,degrees,NOUN,technical term,level of academic achievement,14968,r004,False,False,True,False,True
time,times,NOUN,Technical Term,"The indefinite continued progress of existence and events in the past, present, and future considered as a whole",96669,r006,False,False,False,True,True
as,as,ADV,,In the manner of; similar to,96669,r003,False,False,True,True,False
old,old,ADJ,Technical Term,Advanced in years; not young.,96669,r004,False,False,False,True,True
old,older,ADJ,Technical Term,Advanced in years; not young.,96669,r004,False,False,False,True,True
age,age,NOUN,Technical Term,A measure of time elapsed since birth or another significant event.,96669,r002,False,False,False,False,True
term,terms,NOUN,Technical Term,A word or phrase with a specific meaning in a particular context or field.,96669,r005,False,True,True,False,True
diesel,Diesel,NOUN,ORG,Fuel type,36071,r003,False,True,True,False,False
cost,costs,VERB,,Financial expenditure,36071,r002,False,False,True,True,True
rs.4per,Rs.4per,NOUN,PERSON,"Company, Selling",36071,r011,False,True,False,False,True
light,lit,VERB,,To illuminate,36071,r004,False,False,True,False,True
petrol,petrol,NOUN,ORG,Fuel type,36071,r008,False,False,False,True,True
cost,costs,NOUN,,Financial expenditure,36071,r002,False,False,True,True,True
litre,litre,NOUN,,Unit of volume,36071,r005,False,False,False,True,True
price,price,NOUN,,Value of something,36071,r009,False,False,False,True,True
diesel,diesel,NOUN,ORG,Fuel type,36071,r003,False,True,True,False,False
rise,rise,NOUN,,Increase in value or amount,36071,r010,False,False,True,True,False
month,month,NOUN,,Time period,36071,r006,False,True,False,True,True
price,price,NOUN,,Value of something,36071,r009,False,False,False,True,True
petrol,petrol,NOUN,ORG,Fuel type,36071,r008,False,False,False,True,True
unchanged,unchanged,ADJ,,,36071,r013,False,False,False,False,False
take,take,VERB,,,36071,r012,False,False,False,False,True
litre,litre,NOUN,,Unit of volume,36071,r005,False,False,False,True,True
Diesel,Diesel,PROPN,ORG,Fuel type,36071,r001,False,False,True,True,True
cost,costs,VERB,,Financial expenditure,36071,r002,False,False,True,True,True
more,more,ADJ,,Greater quantity or amount,36071,r007,False,False,False,True,True
litre,litre,NOUN,,Unit of volume,36071,r005,False,False,False,True,True
petrol,petrol,NOUN,ORG,Fuel type,36071,r008,False,False,False,True,True
coordinate,coordinate,NOUN,technical term,Mathematics,94035,r004,False,True,True,False,True
plane,plane,NOUN,technical term,geometry,94035,r008,False,False,True,True,True
be,is,VERB,Technical Term,Mathematical State,94035,r003,False,False,True,True,True
parabola,parabola,NOUN,technical term,Mathematical curve,94035,r007,False,False,False,True,True
follow,following,VERB,Organization Name,Adhere to Instructions,94035,r006,False,True,False,True,False
point,points,NOUN,general concept,Specific location,94035,r009,False,False,False,False,True
region,region,NOUN,,Area on a graph,94035,r010,False,False,True,False,True
enclose,enclosed,VERB,technical term,Graphical representation,94035,r005,False,False,False,True,True
parabola,parabola,NOUN,technical term,Mathematical curve,94035,r007,False,False,False,True,True
III,III,PROPN,organization name,Referring to the third option,94035,r002,False,False,False,False,False
sale,sale,NOUN,technical term,Promotional event with reduced prices,78610,r005,False,False,True,True,True
price,price,NOUN,technical term,Cost of an item,78610,r004,False,True,False,False,True
saree,sarees,NOUN,,Traditional garment,78610,r006,False,False,False,True,True
list,listed,VERB,,To present a document or set of items,78610,r003,False,False,True,False,True
Rs.390,Rs.390,PROPN,organization name,Financial amount,78610,r001,False,False,True,True,True
successive,successive,ADJ,,Following one after another in order,78610,r007,False,False,False,True,True
discount,discount,NOUN,technical term,Reduction in price,78610,r002,False,False,False,False,False
garrison,garrison,NOUN,Organization Name,Military Unit,40410,r003,False,True,False,True,True
man,men,NOUN,Individual Name,Soldier,40410,r006,False,False,True,True,True
have,has,VERB,,Possession,40410,r004,False,False,False,False,True
provision,provisions,NOUN,Technical Term,Supplies,40410,r010,False,False,False,False,True
reinforcement,reinforcement,NOUN,technical term,Additional support or troops added to an existing force.,40410,r011,False,False,False,False,False
arrive,arrives,VERB,Technical Term,Supplementation,40410,r001,False,False,False,True,True
now,now,ADV,,Present Time,40410,r008,False,False,True,True,True
find,found,VERB,,Discovery,40410,r002,False,False,True,True,True
provision,provisions,NOUN,Technical Term,Supplies,40410,r010,False,False,False,False,True
last,last,VERB,,Duration,40410,r005,False,False,False,False,False
only,only,ADV,,Exclusivity,40410,r009,False,False,False,True,True
more,more,ADJ,,Quantity,40410,r007,False,True,True,True,True
reinforcement,reinforcement,NOUN,technical term,Additional support or troops added to an existing force.,40410,r011,False,False,False,False,False
average,average,ADJ,technical term,Typical or mean salary value,2370,r002,False,False,False,True,False
salary,salary,NOUN,technical term,Compensation for work,2370,r015,False,True,False,True,True
employee,employees,NOUN,organizational name,A worker for a company or organization,2370,r004,False,False,True,True,True
office,office,NOUN,organization name,Work environment,2370,r011,False,False,True,True,True
rs.120,Rs.120,NOUN,technical term,Average salary of employees in the office,2370,r014,False,False,True,False,True
month,month,NOUN,technical term,Time period for salary calculation,2370,r006,False,True,True,False,False
avg,avg,ADJ,technical term,Short for average salary,2370,r003,False,True,False,True,True
salary,salary,NOUN,technical term,Compensation for work,2370,r015,False,True,False,True,True
officer,officers,NOUN,individual name,Person with authority in an organization,2370,r012,False,False,True,False,True
non,non,ADJ,individual name,Employees who are not officers,2370,r009,False,False,False,False,True
officer,officers,NOUN,individual name,Person with authority in an organization,2370,r012,False,False,True,False,True
rs 110,Rs 110,ADP,PRODUCT,Salary of non-officers,2370,r013,False,False,False,True,True
no.of,no.of,NOUN,organization name,Number of employees,2370,r008,False,False,False,True,True
officer,officers,NOUN,individual name,Person with authority in an organization,2370,r012,False,False,True,False,True
find,find,VERB,,,2370,r005,False,False,True,True,True
no,No,NOUN,technical term,Number of,2370,r007,False,False,False,False,False
nonofficer,nonofficers,NOUN,organizational name,Employee not holding an officer position,2370,r010,False,False,False,False,True
office,office,NOUN,organization name,Work environment,2370,r011,False,False,True,True,True
cricketer,cricketer,NOUN,Technical Term,A person who plays cricket,44277,r003,False,True,False,False,True
have,has,VERB,,Possess or own,44277,r004,False,False,True,True,False
certain,certain,ADJ,,Specific or definite,44277,r002,False,True,True,True,True
average,average,NOUN,Technical Term,Performance measurement in sports,44277,r001,False,False,False,False,False
inning,innings,NOUN,Technical Term,A period of play in a cricket match,44277,r006,False,False,False,False,True
inning,inning,NOUN,Technical Term,A period of play in a cricket match,44277,r006,False,False,False,False,True
score,scored,VERB,,Gain a particular amount of points or achieve success,44277,r009,False,False,False,True,True
run,runs,NOUN,Technical Term,A scored point in cricket,44277,r008,False,False,True,True,True
thereby,thereby,ADV,,"Consequently, by this means",44277,r010,False,False,False,True,True
increase,increasing,VERB,Technical Term,Grow larger or higher in value,44277,r005,False,False,True,True,True
average,average,NOUN,Technical Term,Performance measurement in sports,44277,r001,False,False,False,False,False
run,runs,NOUN,Technical Term,A scored point in cricket,44277,r008,False,False,True,True,True
new,new,ADJ,,"Recently made, introduced or formed",44277,r007,False,False,False,False,True
average,average,NOUN,Technical Term,Performance measurement in sports,44277,r001,False,False,False,False,False
be,are,VERB,,Exist,46007,r005,False,False,True,True,True
friend,friends,NOUN,,A person with whom one has a bond of mutual affection.,46007,r006,False,False,False,True,True
Peter,Peter,PROPN,PERSON,A person,46007,r002,False,False,True,False,True
Paul,Paul,PROPN,PERSON,A person,46007,r001,False,False,False,True,True
Peter,Peter,PROPN,PERSON,A person,46007,r002,False,False,True,False,True
age,age,NOUN,Technical Term,measurement of time passed,46007,r003,False,False,True,True,False
twice,twice,ADV,technical term,Double the value of something,46007,r012,False,True,False,False,True
as,as,ADV,,,46007,r004,False,False,False,False,True
old,old,ADJ,Technical Term,Advanced in years,46007,r008,False,False,False,True,True
Paul,Paul,PROPN,PERSON,A person,46007,r001,False,False,False,True,True
peter,peter,PROPN,PERSON,A person,46007,r009,False,False,False,True,False
as,as,ADV,,,46007,r004,False,False,False,False,True
old,old,ADJ,Technical Term,Advanced in years,46007,r008,False,False,False,True,True
Paul,Paul,PROPN,PERSON,A person,46007,r001,False,False,False,True,True
now,now,ADV,,Currently,46007,r007,False,False,True,False,True
sum,Sum,NOUN,technical term,Addition,46007,r011,False,False,False,False,True
present,present,ADJ,,Existing now or currently,46007,r010,False,True,True,True,True
age,ages,NOUN,Technical Term,measurement of time passed,46007,r003,False,False,True,True,False
Peter,Peter,PROPN,PERSON,A person,46007,r002,False,False,True,False,True
Paul,Paul,PROPN,PERSON,A person,46007,r001,False,False,False,True,True
present,present,ADJ,,Existing now or currently,46007,r010,False,True,True,True,True
age,age,NOUN,Technical Term,measurement of time passed,46007,r003,False,False,True,True,False
Peter,Peter,PROPN,PERSON,A person,46007,r002,False,False,True,False,True
triangle,triangle,NOUN,technical term,Geometric Shape,84482,r011,False,False,True,True,True
mark,marked,VERB,technical term,Label/Indicate,84482,r007,False,False,False,False,False
side,sides,NOUN,technical term,Portion of Shape,84482,r010,False,True,True,True,True
color,colors,NOUN,technical term,Visual Attribute,84482,r002,False,False,False,False,True
grey,grey,PROPN,individual name,Color Shade,84482,r005,False,True,True,True,True
violet,violet,NOUN,color,Purple hue,84482,r013,False,False,False,False,True
purple,purple,NOUN,color,Color Shade,84482,r009,False,False,False,True,True
use,used,VERB,,,84482,r012,False,False,False,True,False
paint,paint,VERB,technical term,Cover/Decorate with Color,84482,r008,False,True,True,True,True
side,sides,NOUN,technical term,Portion of Shape,84482,r010,False,True,True,True,True
triangle,triangle,NOUN,technical term,Geometric Shape,84482,r011,False,False,True,True,True
adjacent,adjacent,ADJ,technical term,Position/Relationship,84482,r001,False,False,False,False,True
face,faces,NOUN,technical term,Part of Shape,84482,r004,False,False,True,False,False
paint,painted,VERB,technical term,Cover/Decorate with Color,84482,r008,False,True,True,True,True
different,different,ADJ,technical term,Dissimilar,84482,r003,False,False,False,True,True
color,colors,NOUN,technical term,Visual Attribute,84482,r002,False,False,False,False,True
many,many,ADJ,technical term,Quantity,84482,r006,False,False,False,True,True
way,ways,NOUN,,Method,84482,r014,False,False,True,False,True
triangle,triangle,NOUN,technical term,Geometric Shape,84482,r011,False,False,True,True,True
side,sides,NOUN,technical term,Portion of Shape,84482,r010,False,True,True,True,True
paint,painted,VERB,technical term,Cover/Decorate with Color,84482,r008,False,True,True,True,True
letter,letter,NOUN,technical term,Symbol representing a sound,57035,r007,False,False,False,True,True
alphabet,alphabet,NOUN,technical term,Set of letters,57035,r003,False,False,True,False,True
have,has,VERB,technical term,Exhibit a characteristic or property,57035,r005,False,True,False,False,True
number,number,NOUN,TECHNICAL TERM,Quantifiable entity,57035,r009,False,False,False,True,True
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015,False,False,False,True,True
equal,equal,ADJ,technical term,Possess the same value,57035,r004,False,False,False,True,False
place,place,NOUN,technical term,position or location in a system or structure,57035,r011,False,False,False,False,True
alphabet,alphabet,NOUN,technical term,Set of letters,57035,r003,False,False,True,False,True
thus,Thus,ADV,technical term,"therefore, as a consequence",57035,r014,False,True,True,True,True
letter,letter,NOUN,technical term,Symbol representing a sound,57035,r007,False,False,False,True,True
have,has,VERB,technical term,Exhibit a characteristic or property,57035,r005,False,True,False,False,True
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015,False,False,False,True,True
letter,letter,NOUN,technical term,Symbol representing a sound,57035,r007,False,False,False,True,True
have,has,VERB,technical term,Exhibit a characteristic or property,57035,r005,False,True,False,False,True
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015,False,False,False,True,True
letter,letter,NOUN,technical term,Symbol representing a sound,57035,r007,False,False,False,True,True
have,has,VERB,technical term,Exhibit a characteristic or property,57035,r005,False,True,False,False,True
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015,False,False,False,True,True
number,number,NOUN,TECHNICAL TERM,Quantifiable entity,57035,r009,False,False,False,True,True
value,value,NOUN,technical term,"importance, worth, or numerical representation",57035,r015,False,False,False,True,True
word,word,NOUN,technical term,unit of language consisting of one or more spoken sounds or written letters.,57035,r016,False,False,True,True,True
obtain,obtained,VERB,technical term,Acquire possession of,57035,r010,False,False,True,True,True
add,adding,VERB,technical term,Perform mathematical summation,57035,r002,False,False,True,False,True
