lemma,word,part_of_speech,category,meaning,code
calculate,calculated,VERB,,Determine mathematically,r015
subtract,subtracting,VERB,technical term,To remove a quantity from another quantity,r050
number,number,NOUN,organization name,A specific quantity or amount.,r028
unit,units,NOUN,,a single item or quantity,r054
remain,remaining,VERB,technical term,To persist or continue to exist,r041
unsold,unsold,ADJ,,not sold,r055
production,production,NOUN,technical term,the process of creating goods,r036
volume,volume,NOUN,,the amount of space that something occupies or the quantity of something produced or consumed,r056
i.e.,i.e.,X,technical term,"Abbreviation for 'id est,' which means 'that is.'",r023
sale,sales,NOUN,technical term,The act of selling something,r044
price,price,NOUN,technical term,"the amount of money expected, required, or paid for something",r035
model,model,NOUN,technical term,A representation or prototype of something.,r027
subject,subject,ADJ,technical term,Related to or pertaining to a specific topic or area,r049
recall,recall,NOUN,technical term,"an act of remembering something or summoning it into one's mind,",r039
calculate,calculated,VERB,,Determine mathematically,r015
divide,dividing,VERB,,Separate into parts,r018
plan,planned,VERB,technical term,a detailed proposal for doing or achieving something,r031
sale,sales,NOUN,technical term,The act of selling something,r044
revenue,revenue,NOUN,technical term,Income generated from business activities,r043
model,model,NOUN,technical term,A representation or prototype of something.,r027
total,total,NOUN,organization name,,r052
production,production,NOUN,technical term,the process of creating goods,r036
plan,plan,NOUN,technical term,a detailed proposal for doing or achieving something,r031
volume,volume,NOUN,,the amount of space that something occupies or the quantity of something produced or consumed,r056
inventory,inventory,NOUN,technical term,A complete list of items or stock.,r025
volume,volume,NOUN,,the amount of space that something occupies or the quantity of something produced or consumed,r056
i.e.,i.e.,X,technical term,"Abbreviation for 'id est,' which means 'that is.'",r023
cost,costs,NOUN,,,r017
such,such,ADJ,,,r051
part,parts,NOUN,,,r030
repair,repairs,NOUN,,,r042
transportation,transportation,NOUN,,,r053
other,other,ADJ,,,r029
expense,expenses,NOUN,,,r020
post-recall,post-recall,ADJ,,,r034
sale,sales,NOUN,,,r044
volume,volume,NOUN,,,r056
estimate,estimated,VERB,,,r019
reduction,reduction,NOUN,,,r040
rate,rate,NOUN,,,r038
simulation,Simulation,NOUN,,,r048
let,Let,VERB,,,r026
production,production,NOUN,,,r036
volume,volume,NOUN,,,r056
production,production,NOUN,,,r036
plan,plan,NOUN,,,r031
volume,volume,NOUN,,,r056
inventory,inventory,NOUN,,,r025
volume,volume,NOUN,,,r056
plan,planned,VERB,,,r031
revenue,revenue,NOUN,,,r043
planned,planned,ADJ,,,r032
revenue,revenue,NOUN,,,r043
model,model,NOUN,,,r027
subject,subject,ADJ,,,r049
recall,recall,NOUN,,,r039
number,number,NOUN,,,r028
unit,units,NOUN,,,r054
sell,sold,VERB,,,r045
subject,subject,ADV,,,r049
recall,recall,NOUN,,,r039
calculate,calculated,VERB,,,r015
subtract,subtracting,VERB,,,r050
number,number,NOUN,,,r028
unit,units,NOUN,,,r054
remain,remaining,VERB,,,r041
unsold,unsold,ADJ,,,r055
production,production,NOUN,,,r036
volume,volume,NOUN,,,r056
i.e.,i.e.,X,,,r023
sale,sales,NOUN,,,r044
price,price,NOUN,,,r035
model,model,NOUN,,,r027
subject,subject,ADJ,,,r049
recall,recall,NOUN,,,r039
calculate,calculated,VERB,,,r015
divide,dividing,VERB,,,r018
plan,planned,VERB,,,r031
sale,sales,NOUN,,,r044
revenue,revenue,NOUN,,,r043
model,model,NOUN,,,r027
total,total,NOUN,,,r052
production,production,NOUN,,,r036
plan,plan,NOUN,,,r031
volume,volume,NOUN,,,r056
inventory,inventory,NOUN,,,r025
volume,volume,NOUN,,,r056
i.e.,i.e.,X,,,r023
