word,part_of_speech,category,meaning,question_id, part_of_speech,Category,part_of_practice,example,object,part_of speech
declare,VERB,Action/Process,Act of formally stating something,5,,,,,,
dissolve,VERB,Action/Process,To cease to exist as a unified whole,5,,,,,,
earth,NOUN,Technical Term,The planet Earth - contextually referring to global power dynamics,5,,,,,,
economic,ADJ,Technical Term,Relating to the system of making and using money and goods.,5,,,,,,
educational,ADJ,Technical Term,relating to education or schooling.,5,,,,,,
entitle,VERB,Action/Process,To give someone a right or claim to something,5,,,,,,
equal,ADJ,Concept,Having the same rights and status,5,,,,,,
event,NOUN,Action/Process,Significant occurrence or happening,5,,,,,,
human,ADJ,Concept,Belonging to or relating to people.,5,,,,,,
impel,VERB,Action/Process,To drive or urge someone forward,5,,,,,,
improvement,NOUN,Technical Term,Enhancement or progress in a specific area,5,,,,,,
mankind,NOUN,Organization Name,The collective human population,5,,,,,,
military,ADJ,Technical Term,Relating to the armed forces or military affairs,5,,,,,,
necessary,ADJ,Technical Term,Essential or required for a particular purpose,5,,,,,,
opinion,NOUN,Technical Term,Belief or judgment based on personal views and experiences,5,,,,,,
people,NOUN,Organization Name,Human beings collectively,5,,,,,,
political,ADJ,Technical Term,"Relating to government, governance, or public affairs",5,,,,,,
power,NOUN,Technical Term,Ability to influence or control events or people,5,,,,,,
require,VERB,Technical Term,To need or demand something as essential,5,,,,,,
one,NUM,CARDINAL,1,5,,,,,,
respect,NOUN,higher-level concept,Consideration for others,5,,,,,,
separate,ADJ,higher-level concept,"Distinct, independent",5,,,,,,
separation,NOUN,higher-level concept,Act of dividing or becoming detached,5,,,,,,
state,VERB,higher-level concept,To present or declare officially,5,,,,,,
station,NOUN,higher-level concept,Position or role in society,5,,,,,,
support,NOUN,higher-level concept,Assistance or encouragement,5,,,,,,
the Declaration of Independence,DET,WORK_OF_ART,Political Document,5,,,,,,
the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophical Concept,5,,,,,,
God,PROPN,individual name,"Higher power, deity",6,,,,,,
a,NOUN,technical term,A generic placeholder for an unspecified entity or concept.,6,,,,,,
appropriate,ADJ,technical term,"Suitable, relevant to a specific context or purpose.",6,,,,,,
assume,VERB,organization name,"Take on a role, responsibility, or identity.",6,,,,,,
band,NOUN,organization name,A group of connected individuals or entities.,6,,,,,,
become,VERB,technical term,To undergo a transformation or change in state.,6,,,,,,
cause,NOUN,individual name,"Origin, motivation, or reason behind an event or action.",6,,,,,,
choose,VERB,technical term,To select something from a set of options based on preference.,6,,,,,,
connect,VERB,organization name,To establish a link or relationship between two things.,6,,,,,,
conquer,VERB,technical term,To overcome or subdue something through force or strategy.,6,,,,,,
course,NOUN,technical term,Series of events,6,,,,,,
decent,ADJ,,Acceptable,6,,,,,,
declare,VERB,,To formally state something ,6,,,,,,
dissolve,VERB,,To break apart,6,,,,,,
earth,NOUN,technical term,Planet,6,,,,,,
entitle,VERB,,To give someone a right to something,6,,,,,,
equal,ADJ,,Same value or quantity ,6,,,,,,
event,NOUN,technical term,Significant occurrence,6,,,,,,
fill,VERB,,To make full or whole,6,,,,,,
force,NOUN,technical term,Strength or power ,6,,,,,,
history,NOUN,technical term,study of past events,6,,,,,,
human,ADJ,individual name,relating to people,6,,,,,,
impel,VERB,technical term,to force or drive,6,,,,,,
join,VERB,technical term,to combine or unite,6,,,,,,
land,NOUN,organization name,a piece of ground,6,,,,,,
law,NOUN,technical term,system of rules,6,,,,,,
life,NOUN,technical term,the state of being alive,6,,,,,,
mankind,NOUN,organization name,all people,6,,,,,,
migrate,VERB,technical term,to move from one place to another,6,,,,,,
nation,NOUN,organization name,a country or nation-state,6,,,,,,
nature,NOUN,technical term,Laws governing the universe,6,,,,,,
necessary,ADJ,,Essential for a purpose,6,,,,,,
new,ADJ,,Something recently created or encountered,6,,,,,,
one,NUM,,A single unit or individual,6,,,,,,
opinion,NOUN,higher level concept,Belief or judgment formed about something,6,,,,,,
people,NOUN,organization name,A group of humans living together in a community,6,,,,,,
phrase,NOUN,,A group of words used as a unit,6,,,,,,
political,ADJ,,Relating to government or public affairs,6,,,,,,
power,NOUN,higher level concept,The ability to influence or control something,6,,,,,,
require,VERB,,To make something necessary,6,,,,,,
respect,NOUN,higher-level concept,"Esteem, regard",6,,,,,,
seek,VERB,higher-level concept,"Aspire for, pursue",6,,,,,,
separation,NOUN,higher-level concept,"Dividing, the act of separating",6,,,,,,
station,NOUN,higher-level concept,"Position, status",6,,,,,,
world,NOUN,higher-level concept,"Global society, entirety of existence",6,,,,,,
separate,ADJ,technical term,political independence or self-governance,6,,,,,,
the Laws of Nature and of Nature’s,DET,WORK_OF_ART,A foundational text outlining the principles of morality and governance.,6,,,,,,
well,ADJ,,In a good or satisfactory manner.,6,,,,,,
God,PROPN,Individual Name,Deity,7,,,,,,
Propose,VERB,Technical Term,Suggest a plan or action,7,,,,,,
accord,NOUN,Organization Name,Agreement,7,,,,,,
alliance,NOUN,Organization Name,Mutual agreement between nations or groups for common good,7,,,,,,
assume,VERB,Technical Term,Take on a role or responsibility,7,,,,,,
band,NOUN,Organization Name,Group of people united for a purpose,7,,,,,,
become,VERB,Technical Term,Develop into a particular state or form,7,,,,,,
cause,NOUN,Technical Term,Agent or reason for an action,7,,,,,,
compel,VERB,Technical Term,Force someone to act in a certain way,7,,,,,,
connect,VERB,Technical Term,Establish a relationship or link between,7,,,,,,
course,NOUN,technical term,Historical Events,7,,,,,,
decent,ADJ,technical term,Respectful Behavior,7,,,,,,
declare,VERB,technical term,Formal Announcement,7,,,,,,
dissolve,VERB,technical term,Legal Disbanding,7,,,,,,
do,VERB,technical term,Take Action,7,,,,,,
earth,NOUN,technical term,Planet,7,,,,,,
economic,ADJ,technical term,Financial Matters,7,,,,,,
entitle,VERB,technical term,Grant Rights,7,,,,,,
equal,ADJ,technical term,"Fairness, Equality",7,,,,,,
event,NOUN,organization name,"Occurrence, Happening  ",7,,,,,,
explain,VERB,technical term,Provide an account or justification for actions.,7,,,,,,
form,VERB,technical term,Create a structure or organization.,7,,,,,,
human,ADJ,individual name,Relating to humankind.,7,,,,,,
impel,VERB,technical term,Drive or motivate towards a specific action.,7,,,,,,
independence,NOUN,organization name,The state of being free from external control.,7,,,,,,
mankind,NOUN,individual name,All human beings collectively.,7,,,,,,
military,ADJ,organization name,Relating to armed forces or warfare.,7,,,,,,
nation,NOUN,organization name,A sovereign state with a defined territory and population.,7,,,,,,
necessary,ADJ,technical term,Essential or crucial for a particular outcome.,7,,,,,,
one,NUM,cardinal number,The quantity representing a single item.,7,,,,,,
opinion,NOUN,higher-level concept,Beliefs or judgments,7,,,,,,
people,NOUN,Individual Name,Human beings,7,,,,,,
political,ADJ,higher-level concept,Relating to government or power,7,,,,,,
power,NOUN,higher-level concept,Ability to influence or control,7,,,,,,
preamble,NOUN,Technical Term,Introduction to a formal document,7,,,,,,
reason,NOUN,higher-level concept,Justification or cause,7,,,,,,
request,VERB,,To ask for something,7,,,,,,
require,VERB,,Need or demand,7,,,,,,
respect,NOUN,higher-level concept,Esteem or consideration,7,,,,,,
seek,VERB,,To search for or attempt to find,7,,,,,,
separate,ADJ,organization name,Distinct from others,7,,,,,,
separation,NOUN,technical term,Act of dividing,7,,,,,,
station,NOUN,organization name,Position,7,,,,,,
support,NOUN,technical term,Assistance,7,,,,,,
world,NOUN,organization name,Global Community,7,,,,,,
the Declaration of Independence,DET,WORK_OF_ART,Historical Document,7,,,,,,
the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophical Concept,7,,,,,,
God,PROPN,Individual Name,Concept of a higher being,8,,,,,,
accord,VERB,,Alignment,8,,,,,,
assume,VERB,,Take on responsibility,8,,,,,,
band,NOUN,Organization Name,Group united by common purpose,8,,,,,,
become,VERB,,Transformation,8,,,,,,
cause,NOUN,Technical Term,Factor leading to change,8,,,,,,
connect,VERB,,Bring together,8,,,,,,
consider,VERB,,Reflect upon,8,,,,,,
course,NOUN,Technical Term,"Pathway, development",8,,,,,,
decent,ADJ,,"Respectful, suitable",8,,,,,,
declare,VERB,Technical Term,Act of formal announcement or separation,8,,,,,,
dissolve,VERB,Technical Term,Formal termination or ending of a political union,8,,,,,,
earth,NOUN,Technical Term,Planet,8,,,,,,
entitle,VERB,Technical Term,To give a right or entitlement,8,,,,,,
equal,ADJ,Organization Name,Possessing the same rights or status,8,,,,,,
event,NOUN,Technical Term,Significant occurrence,8,,,,,,
human,ADJ,Individual Name,Relating to mankind,8,,,,,,
impel,VERB,Technical Term,To drive or motivate,8,,,,,,
independence,NOUN,Technical Term,State of freedom and self-governance,8,,,,,,
mankind,NOUN,Individual Name,Humankind,8,,,,,,
military,ADJ,technical term,Warfare,8,,,,,,
nation,NOUN,organization name,Country,8,,,,,,
necessary,ADJ,technical term,Required,8,,,,,,
need,VERB,technical term,Requisition,8,,,,,,
one,NUM,cardinal,Single Instance,8,,,,,,
opinion,NOUN,higher-level concept,Belief,8,,,,,,
people,NOUN,organization name,Group of Individuals,8,,,,,,
political,ADJ,technical term,Governmental,8,,,,,,
power,NOUN,higher-level concept,Authority,8,,,,,,
preamble,NOUN,technical term,Introduction,8,,,,,,
property,NOUN,technical term,"Ownership, Asset",8,,,,,,
require,VERB,organization name,"Mandate, Obligation",8,,,,,,
respect,NOUN,technical term,"Esteem, Regarded",8,,,,,,
separate,ADJ,organization name,"Distinct, Independent",8,,,,,,
separation,NOUN,technical term,"Division, Disconnection",8,,,,,,
state,VERB,organization name,"Define, Express",8,,,,,,
station,NOUN,technical term,"Position, Rank",8,,,,,,
the Declaration of Independence,DET,WORK_OF_ART,United States Founding Document,8,,,,,,
the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Fundamental Principles,8,,,,,,
world,NOUN,technical term,Global Sphere,8,,,,,,
Fundamental,PROPN,technical term,Basic Principles,9,,,,,,
Human,PROPN,individual name,People,9,,,,,,
"Life, Liberty",PROPN,organization name,Philosophical Concepts,9,,,,,,
Natural,PROPN,technical term,Born or Existing Inherent,9,,,,,,
Revolution,PROPN,organization name,Political Upheaval,9,,,,,,
Rights,PROPN,technical term,Permissions or Allowances,9,,,,,,
Social Contract,PROPN,organization name,Agreement between Citizens and Government,9,,,,,,
below,ADV,,,9,,,,,,
certain,ADJ,,,9,,,,,,
choose,VERB,,,9,,,,,,
concept,NOUN,,A general idea or understanding.,9,,,,,,
create,VERB,,To bring something new into existence.,9,,,,,,
creator,NOUN,Individual Name,The person or thing that brings something into existence.,9,,,,,,
endow,VERB,,"To provide with a quality, ability, or asset.",9,,,,,,
equal,ADJ,,"Having the same value, rights, or status.",9,,,,,,
happiness,NOUN,Organization Name,A state of well-being and contentment.,9,,,,,,
hold,VERB,,To grasp or keep in one's possession.,9,,,,,,
man,NOUN,Individual Name,"A human being, especially a male.",9,,,,,,
option,NOUN,,A choice or possibility.,9,,,,,,
pursuit,NOUN,,The act of chasing or seeking something.,9,,,,,,
represent,VERB,technical term,To symbolize or depict a concept,9,,,,,,
right,NOUN,technical term,A fundamental entitlement or principle,9,,,,,,
self-evident,ADJ,technical term,Immediately understandable without proof,9,,,,,,
sentence,NOUN,technical term,A grammatical structure expressing a complete thought,9,,,,,,
truth,NOUN,technical term,"Fact or reality, often philosophical",9,,,,,,
unalienable,ADJ,technical term,Inherent and cannot be taken away,9,,,,,,
Rights,PROPN,ORG,Fundamental Permissions or Entitlements,10,,,,,,
create,VERB,TECHNICAL TERM,Construct or Bring into Existence,10,,,,,,
creator,NOUN,TECHNICAL TERM,One who Makes or Originates,10,,,,,,
endow,VERB,TECHNICAL TERM,Provide with a Quality or Attribute,10,,,,,,
equal,ADJ,TECHNICAL TERM,Having the Same Value or Status,10,,,,,,
happiness,NOUN,ORG,State of Well-being and Contentment,10,,,,,,
hold,VERB,TECHNICAL TERM,Retain or Possess,10,,,,,,
accord,VERB,,Agreement,10,,,,,,
certain,ADJ,,Some,10,,,,,,
knowledge,NOUN,technical term,Understanding,10,,,,,,
life,NOUN,individual name,Existence,10,,,,,,
man,NOUN,individual name,Human,10,,,,,,
power,NOUN,technical term,Capability,10,,,,,,
pursuit,NOUN,,Goal-driven activity,10,,,,,,
right,NOUN,technical term,Privilege,10,,,,,,
self-evident,NOUN,technical term,Clearly understandable,10,,,,,,
truth,NOUN,technical term,Factual correctness,10,,,,,,
mention,VERB,,,10,,,,,,
text,NOUN,,,10,,,,,,
unalienable,ADJ,technical term,rights inherent to all people,10,,,,,,
wealth,NOUN,technical term,abundance of valuable possessions or resources,10,,,,,,
Superior,NOUN,Technical Term,Excelling or surpassing others,11,,,,,,
certain,ADJ,Technical Term,Specific or definite,11,,,,,,
create,VERB,Technical Term,Bring something into existence,11,,,,,,
creator,NOUN,Technical Term,One who brings something into existence,11,,,,,,
different,ADJ,Technical Term,Not the same as something else,11,,,,,,
endow,VERB,Technical Term,Provide with a quality or attribute,11,,,,,,
equal,ADJ,Technical Term,"Having the same value, amount or rights",11,,,,,,
happiness,NOUN,ORG,State of well-being and contentment,11,,,,,,
hold,VERB,Technical Term,To possess or keep something,11,,,,,,
independent,ADJ,technical term,Describes a system or entity not relying on external control,11,,,,,,
man,NOUN,individual name,Human being,11,,,,,,
pursuit,NOUN,technical term,The act of chasing or striving for something,11,,,,,,
right,NOUN,technical term,Fundamental entitlement or legal protection,11,,,,,,
self-evident,ADJ,technical term,Clearly understood without needing proof,11,,,,,,
state,VERB,technical term,To declare or express formally,11,,,,,,
text,NOUN,technical term,Written or printed communication,11,,,,,,
truth,NOUN,higher-level concept,Fact or reality,11,,,,,,
unalienable,ADJ,technical term,Not able to be taken away or given up,11,,,,,,
certain,ADJ,,"Specific, not general",12,,,,,,
create,VERB,,To bring into existence,12,,,,,,
creator,NOUN,,One who brings something into being,12,,,,,,
endow,VERB,,"To provide with something, especially a quality",12,,,,,,
equal,ADJ,,The same in value or status,12,,,,,,
family,NOUN,ORG,A group of people related by blood or marriage,12,,,,,,
government,NOUN,ORG,The system of ruling a country or society,12,,,,,,
happiness,NOUN,ORG,A state of well-being and contentment,12,,,,,,
hold,VERB,,To possess or have in one's power,12,,,,,,
man,NOUN,individual name,Human Being,12,,,,,,
people,NOUN,individual name,Humans,12,,,,,,
pursuit,NOUN,technical term,Act of Seeking,12,,,,,,
right,NOUN,technical term,Fundamental Permission,12,,,,,,
say,VERB,,Expresses,12,,,,,,
self-evident,ADJ,technical term,Clearly True,12,,,,,,
text,NOUN,technical term,Written Work,12,,,,,,
truth,NOUN,technical term,"Fact, Reality",12,,,,,,
unalienable,ADJ,technical term,"Inherent, Indivisible",12,,,,,,
Happiness,NOUN,ORG,Emotional state of well-being,13,,,,,,
Liberty,NOUN,ORG,"Freedom, autonomy",13,,,,,,
"Life, Liberty",PROPN,ORG,Fundamental rights and freedoms,13,,,,,,
certain,ADJ,TECH TERM,"Specific, definite",13,,,,,,
create,VERB,TECH TERM,Bring into existence,13,,,,,,
creator,NOUN,TECH TERM,One who originates or brings something into being,13,,,,,,
endow,VERB,TECH TERM,"Equip with qualities, talents, or rights",13,,,,,,
equal,ADJ,TECH TERM,"Equivalent in status, value, or amount",13,,,,,,
give,VERB,TECH TERM,Present as a gift or provide,13,,,,,,
happiness,NOUN,ORG,"State of joy, contentment, fulfillment",13,,,,,,
hold,VERB,,Retain possession,13,,,,,,
idea,NOUN,,Concept or notion,13,,,,,,
important,ADJ,,Significant or meaningful,13,,,,,,
life,NOUN,,Existence,13,,,,,,
main,ADJ,,Principal or most significant,13,,,,,,
man,NOUN,Individual name,Human being,13,,,,,,
