lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_5_masked,p_10_masked,p_15_masked,p_20_masked,p_25_masked,p_30_masked,p_35_masked,p_40_masked,p_45_masked,p_50_masked,p_55_masked,p_60_masked,p_65_masked,p_70_masked,p_75_masked,p_80_masked,p_85_masked,p_90_masked,p_95_masked,p_100_masked
Discount,Discount,PROPN,Technical Term,Price Reduction,27658,r007,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,True,True,True
Discount,Discount,PROPN,technical term,Price Reduction,27658,r007,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,True,True,True
%,%,NOUN,technical term,Percentage,27658,r001,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,False,True,True
ANSWER,ANSWER,PROPN,,,27658,r005,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True
c,C,NOUN,Organization Name,Product,27658,r012,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True
b,B,NOUN,,,54084,r010,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
b,B,NOUN,,,54084,r010,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
=,=,NOUN,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
c,C,NOUN,,An entity in a given transaction/setting.,54084,r011,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True
=,=,VERB,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
A,A,PROPN,,,54084,r003,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True,True,True
b,B,NOUN,,,54084,r010,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
=,=,NOUN,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
B,B,PROPN,,,54084,r005,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True
C,C,PROPN,,,54084,r006,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
a,A,NOUN,,,54084,r008,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True
b,B,NOUN,,,54084,r010,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
b,B,NOUN,,,54084,r010,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
c,C,NOUN,,An entity in a given transaction/setting.,54084,r011,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True
=,=,NOUN,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
a,A,NOUN,,,54084,r008,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True
b,B,NOUN,,,54084,r010,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
c,C,NOUN,,An entity in a given transaction/setting.,54084,r011,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True
A;s,A;s,PROPN,ORG,Company Name,54084,r004,False,True,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True
share,share,NOUN,Organization Name,A portion assigned to an individual in a group distribution.,54084,r016,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True
=,=,PROPN,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
=,=,NOUN,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
r,Rs,NOUN,", NORP",A potential outcome of the division/allocation.,54084,r014,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True
b,B,NOUN,,,54084,r010,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
share,share,NOUN,Organization Name,A portion assigned to an individual in a group distribution.,54084,r016,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True
=,=,NOUN,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
=,=,NOUN,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
r,Rs,NOUN,", NORP",A potential outcome of the division/allocation.,54084,r014,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True
c,C,NOUN,,An entity in a given transaction/setting.,54084,r011,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True
share,share,NOUN,Organization Name,A portion assigned to an individual in a group distribution.,54084,r016,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True
=,=,NOUN,,Equality,54084,r002,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
r,Rs,NOUN,NORP,A potential outcome of the division/allocation.,54084,r014,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True
answer,Answer,NOUN,,Solution/Result,54084,r009,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True
b,B,NOUN,,,54084,r010,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
let,Let,VERB,technical term,Introduction of a variable or assumption into a calculation,13920,r010,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True
initial,initial,ADJ,technical term,Value denoting the starting point or initial state of something,13920,r008,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True
price,price,NOUN,technical term,The amount of money needed to buy something,13920,r012,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,True,False,True
price,Price,NOUN,technical term,The amount of money needed to buy something,13920,r012,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,True,False,True
discount,discount,NOUN,technical term,Reduction in the original price of an item or service,13920,r007,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True
=,=,NOUN,technical term,Operator signifying equality or assignment,13920,r002,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True
price,Price,NOUN,technical term,The amount of money needed to buy something,13920,r012,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,True,False,True
discount,discount,NOUN,technical term,Reduction in the original price of an item or service,13920,r007,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True
=,=,NOUN,technical term,Operator signifying equality or assignment,13920,r002,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True
Price,Price,PROPN,individual name,Value representing the cost of an item in a transaction,13920,r003,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,True,True
discount,discount,NOUN,technical term,Reduction in the original price of an item or service,13920,r007,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True
=,=,NOUN,technical term,Operator signifying equality or assignment,13920,r002,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True
so,So,ADV,,Therefore,13920,r014,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True
price,Price,NOUN,technical term,The amount of money needed to buy something,13920,r012,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,True,False,True
percentage,percentage,NOUN,technical term,A ratio or proportion expressed as a fraction of 100,13920,r011,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True
sale,sale,NOUN,,The act of selling or being sold,13920,r013,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True
price,price,NOUN,technical term,The amount of money needed to buy something,13920,r012,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,True,False,True
=,=,PROPN,technical term,Operator signifying equality or assignment,13920,r002,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True
*,*,NOUN,technical term,Placeholder for unknown value,13920,r001,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,True,True,True
answer,Answer,NOUN,ORG,Solution or response to a question,13920,r004,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True
definitely,definitely,ADV,technical term,Expresses certainty or conviction in a statement,13920,r006,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,True,True
d,D,NOUN,individual name,Shorthand for 'day' within the text context,13920,r005,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True
sum,sum,NOUN,Technical Term,The total value obtained by adding multiple quantities,81305,r008,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,True,True,True
number,numbers,NOUN,Technical Term,A mathematical value typically for counting or measuring,81305,r006,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True
number,number,NOUN,Technical Term,A mathematical value typically for counting or measuring,81305,r006,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True
multiply,multiplied,VERB,,To perform a mathematical operation of combining values,81305,r004,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
new,new,ADJ,,Recently produced or created,81305,r005,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False,True,True
sum,sum,NOUN,Technical Term,The total value obtained by adding multiple quantities,81305,r008,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,True,True,True
average,average,NOUN,Technical Term,A central value from data points,81305,r003,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True
then,then,ADV,,Indicates a chronological sequence,81305,r009,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,True,True,True,True
answer,answer,NOUN,,The solution to a problem or question,81305,r002,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True
D.,D.,PROPN,NORP,A specific answer,81305,r001,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,True,True,True,True
term,term,NOUN,technical term,Individual element or component within a series (a mathematical sequence).,18645,r010,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True
term,term,NOUN,technical term,Individual element or component within a series (a mathematical sequence).,18645,r010,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True
=,=,VERB,technical term,expression of equality,18645,r001,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True
a+3d)+(a+11d,a+3d)+(a+11d,NOUN,technical term,a general representation of mathematical expressions used within arithmetic progressions,18645,r003,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,False,True,True
=,=,VERB,technical term,expression of equality,18645,r001,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True
now,Now,ADV,technical term,Indicates a point in time relative to the progression.,18645,r007,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True
Sum,Sum,PROPN,organization name,represents the result of adding together terms in a sequence,18645,r002,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True
term,terms,NOUN,technical term,Individual element or component within a series (a mathematical sequence).,18645,r010,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True
=,=,PROPN,technical term,expression of equality,18645,r001,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True
=,=,PROPN,technical term,expression of equality,18645,r001,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True
=,=,PROPN,technical term,expression of equality,18645,r001,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True
answer,Answer,NOUN,technical term,solution to a problem or question typically presented in an arithmetic context,18645,r004,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,True,True
b,B,NOUN,individual name,"Could be a variable, but within this context, it likely stands in for an answer value.",18645,r006,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True
explanation,Explanation,NOUN,,Statement clarifying a concept,12383,r012,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True
Sum,Sum,PROPN,Technical Term,Mathematical operation used to calculate the total temperature over a period.,12383,r005,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,True,True,True,True
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r017,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True
day,days,NOUN,technical term,Time periods for measurement,12383,r011,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
=,=,VERB,Technical Term,Represents equality or calculation result,12383,r002,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
Sum,Sum,PROPN,Technical Term,Mathematical operation used to calculate the total temperature over a period.,12383,r005,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,True,True,True,True
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r017,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True
day,days,NOUN,technical term,Time periods for measurement,12383,r011,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
=,=,VERB,Technical Term,Represents equality or calculation result,12383,r002,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
Subtracting,Subtracting,PROPN,Technical Term,Mathematical operation used to find the difference between temperatures,12383,r004,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True
get,get,VERB,,Obtain something,12383,r013,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,False,True,True,True,True,True
Temp,Temp,PROPN,PERSON,Symbol representing Temperature,12383,r006,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True
day,day,NOUN,technical term,Time periods for measurement,12383,r011,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
Temp,Temp,PROPN,Technical Term,Symbol representing Temperature,12383,r006,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True
=,=,VERB,Technical Term,Represents equality or calculation result,12383,r002,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
let,Let,VERB,,Permit or allow something,12383,r014,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,True,True
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r017,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True
day,days,NOUN,technical term,Time periods for measurement,12383,r011,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
be,be,VERB,Technical Term,State of being or mathematical equivalence,12383,r010,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True
respectively,respectively,ADV,,In the order mentioned,12383,r016,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,True,True,False,True,True,True
then,Then,ADV,,Subsequent event or action,12383,r018,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True,True,True,True
7x,7x,PROPN,Technical Term,Variable representing temperature on the 1st day,12383,r001,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True
x,x,NOUN,technical term,Variable representing a value,12383,r020,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True
=,=,NOUN,Technical Term,Represents equality or calculation result,12383,r002,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
answer,Answer,NOUN,Technical Term,Solution to the mathematical problem,12383,r008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True
D,D,PROPN,Individual Name,The variable 'x' represents the answer to the puzzle.,12383,r003,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True
Temperature,Temperature,PROPN,Technical Term,Metric for measuring heat intensity,12383,r007,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True
day,day,NOUN,technical term,Time periods for measurement,12383,r011,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
=,=,NOUN,Technical Term,Represents equality or calculation result,12383,r002,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
=,=,VERB,Technical Term,Represents equality or calculation result,12383,r002,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
time,Time,NOUN,,Duration,36718,r036,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True
paint,paint,VERB,technical term,To apply coating to a surface,36718,r029,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True
wall,wall,NOUN,,A vertical surface that encloses a space,36718,r039,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True
give,given,VERB,technical term,To provide or supply,36718,r026,False,False,False,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True
problem,problem,NOUN,technical term,A situation or question requiring solution,36718,r030,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True
AC,AC,PROPN,ORG,UNKNOWN,36718,r007,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True
4 hour,4 hours,NUM,TIME, duration,36718,r002,False,False,True,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
BC,BC,PROPN,ORG,UNKNOWN,36718,r009,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True
2 hour,2 hours,NUM,TIME, duration,36718,r001,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,True,True,True
AB,AB,PROPN,OTHER,UNKNOWN,36718,r005,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,False,True,True
=,=,VERB,MATHEMATICAL OPERATOR, equality,36718,r004,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True
6 hour,6 hours,NUM,TIME, duration,36718,r003,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True
work,works,VERB,,To perform labor or activity,36718,r040,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True
constant,constant,ADJ,technical term,Maintaining a steady rate,36718,r022,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True
rate,rate,NOUN,,Speed or efficiency of work,36718,r031,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True
take,takes,VERB,,To require a specific amount of time to complete,36718,r034,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True
twice,twice,ADV,,Double the amount,36718,r037,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
as,as,ADV,CONNECTION WORD,introduces a comparison,36718,r015,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,True
long,long,ADJ,technical term,Extended in duration or measurement,36718,r027,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True
paint,paint,VERB,technical term,To apply coating to a surface,36718,r029,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True
AC,AC,PROPN,ORG,UNKNOWN,36718,r007,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True
compare,compared,VERB,technical term,To analyze or evaluate,36718,r021,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,False,True
BC,BC,PROPN,ORG,UNKNOWN,36718,r009,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True
AC=2BC,AC=2BC,PROPN,ORG,relationship between variables,36718,r008,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True
a,A,NOUN,technical term,Dimension,36718,r013,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True
find,find,VERB,technical term,To discover or locate through investigation,36718,r025,False,False,False,False,False,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True
paint,painting,VERB,technical term,To apply coating to a surface,36718,r029,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True
AB,AB,PROPN,OTHER,UNKNOWN,36718,r005,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,False,True,True
take,takes,VERB,,To require a specific amount of time to complete,36718,r034,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True
time,times,NOUN,,Duration,36718,r036,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True
as,as,ADV,CONNECTION WORD,introduces a comparison,36718,r015,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,True
long,long,ADJ,technical term,Extended in duration or measurement,36718,r027,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True
compare,compared,VERB,technical term,To analyze or evaluate,36718,r021,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,False,True
BC,BC,PROPN,ORG,UNKNOWN,36718,r009,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True
a,A,NOUN,technical term,Dimension,36718,r013,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True
b,B,NOUN,technical term,Dimension,36718,r016,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True
find,find,VERB,technical term,To discover or locate through investigation,36718,r025,False,False,False,False,False,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True
C=2,C=2,PROPN,EQUATION,relationship between variables,36718,r010,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,True
answer,Answer,NOUN,technical term,A solution or response to a question or problem.,36718,r014,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True
c,C,NOUN,technical term,Dimension,36718,r017,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,True,False,True,True,True,True
x,X,NOUN,Technical Term,Unknown Value,69327,r008,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True
x,X,NOUN,Technical Term,Unknown Value,69327,r008,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True
=,=,NOUN,Technical Term,Equation Symbol,69327,r005,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True
=,=,NOUN,Technical Term,Equation Symbol,69327,r005,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True
5X,5X,PROPN,Technical Term,Mathematical Expression,69327,r004,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True
+,+,PROPN,Technical Term,Mathematical Operation,69327,r001,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True
35/3,35/3,PROPN,Individual Name,Result of Calculation,69327,r002,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True
42/3,42/3,PROPN,Organization Name,Company Name,69327,r003,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True
E,E,PROPN,Individual Name,Variable,69327,r006,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True
Sum,Sum,PROPN,technical term,Operation for combining values,49968,r004,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True
average,Average,ADJ,technical term,Central tendency value,49968,r005,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True
=,=,PROPN,technical term,Comparison operation,49968,r001,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True
