lemma,word,part_of_speech,category,meaning,question_id,code
x)*(108,x)*(108,PROPN,,Not applicable as it is an incomplete term based on context.,71969,r045
x,x,PROPN,NORP,"Used as a variable for an unknown quantity or factor, often related to representing specific data points within the texts. The meaning can be interpreted differently depending on the context.",71969,r043
Ans,Ans,PROPN,Individual Name,"The answer to the problem. In this case, it refers to the value derived through calculation.",71969,r006
C.,C.,PROPN,Organization Name,"A letter designation, often used to represent a specific option or result.  Here, it signifies the correct answer.",71969,r008
total,Total,ADJ,technical term,Summation,13250,r039
arrangement,arrangements,NOUN,Technical Term,A particular order or configuration,13250,r016
people,people,NOUN,individual name,Humans,13250,r033
row,row,NOUN,technical term,Linear arrangement or sequence,13250,r034
now,Now,ADV,,At the present moment,13250,r030
let,let,VERB,,To allow or permit,13250,r026
find,find,VERB,,To discover or determine,13250,r024
arrangement,arrangements,NOUN,Technical Term,A particular order or configuration,13250,r016
C,C,PROPN,Individual Name,,13250,r007
d,D,NOUN,individual name,Person or entity,13250,r023
as,as,ADV,Technical Term,Used to indicate a comparison or resemblance in function,13250,r018
well,well,ADV,technical term,effectively,13250,r042
A,A,PROPN,Individual Name,,13250,r002
b,B,NOUN,Individual Name,Person,13250,r019
seat,seated,VERB,,,13250,r035
next,next,ADV,,Following immediately,13250,r029
other,other,ADJ,,,13250,r032
consider,Consider,VERB,,To think about or take into account,13250,r022
single,single,ADJ,technical term,expressing a unit or entity composed of one part,13250,r036
unit,unit,NOUN,technical term,A combined or assembled entity,13250,r040
AB,AB,PROPN,Organization Name,,13250,r003
cd,CD,NOUN,organization name,Group of people or entities,13250,r021
E,E,PROPN,Individual Name,Person,13250,r011
F.,F.,PROPN,Technical Term,Abbreviation for Fahrenheit,13250,r013
now,Now,ADV,,At the present moment,13250,r030
unit,units,NOUN,technical term,A combined or assembled entity,13250,r040
arrange,arranged,VERB,Technical Term,"To put into order, to organize",13250,r015
multiply,multiply,VERB,,To increase in size or value,13250,r028
number,number,NOUN,technical term,Quantitative value,13250,r031
a,A,NOUN,Organizational Name,Represents a quantity or a specific instance,13250,r014
B,B,PROPN,Individual Name,,13250,r005
as,as,ADV,Technical Term,Used to indicate a comparison or resemblance in function,13250,r018
well,well,ADV,technical term,effectively,13250,r042
C,C,PROPN,Individual Name,,13250,r007
unit,unit,NOUN,technical term,A combined or assembled entity,13250,r040
arrange,arranged,VERB,Technical Term,"To put into order, to organize",13250,r015
way,ways,NOUN,technical term,method,13250,r041
AB,AB,PROPN,Organization Name,,13250,r003
BA,BA,PROPN,Organization Name,,13250,r006
cd,CD,NOUN,organization name,Group of people or entities,13250,r021
DC,DC,PROPN,Organization Name,,13250,r010
hence,Hence,ADV,,As a result,13250,r025
total,total,ADJ,technical term,Summation,13250,r039
case,case,NOUN,Technical Term,A specific situation or example,13250,r020
*,*,PROPN,,,13250,r001
Answer,Answer,PROPN,Technical Term,Solution,13250,r004
D.,D.,PROPN,NORP,Designation,13250,r009
f(a)=3a+6,f(a)=3a+6,PROPN,Technical Term,Mathematical expression representing a function.,3450,r006
=,=,VERB,Technical Term,Comparison/Assignment,3450,r001
=,=,NOUN,Technical Term,Comparison/Assignment,3450,r001
Answer,Answer,PROPN,LOC,Solution/Result,3450,r002
d,D,NOUN,Technical Term,"Variable, Solution Option",3450,r003
re-phrase,Re-phrasing,VERB,,,15858,r015
question,question,NOUN,individual name,A query asking for information.,15858,r013
probability,probability,NOUN,technical term,The likelihood of an event occurring,15858,r012
rain,rain,NOUN,technical term,Precipitation in the form of water droplets,15858,r014
rain,rain,NOUN,technical term,Precipitation in the form of water droplets,15858,r014
rain,Rain,NOUN,technical term,Precipitation in the form of water droplets,15858,r014
Probability,Probability,PROPN,Technical Term,Statistical measure,15858,r004
rain,rain,NOUN,technical term,Precipitation in the form of water droplets,15858,r014
=,=,VERB,Technical Term,mathematical operation,15858,r001
therefore,Therefore,ADV,,,15858,r017
probability,probability,NOUN,technical term,The likelihood of an event occurring,15858,r012
rain,rain,NOUN,technical term,Precipitation in the form of water droplets,15858,r014
=,=,NOUN,Technical Term,mathematical operation,15858,r001
hence,Hence,ADV,,Consequently,15858,r009
c,C,NOUN,,Variable or placeholder,15858,r006
let,Let,VERB,technical term,"Allow or permit a specific action or state to occur (in this context, setting the initial quantity)",56794,r014
capacity,capacity,NOUN,TECHNICAL TERM,Volume,56794,r010
t,T,NOUN,technical term,Variable representing the capacity of the can,56794,r020
litre,litres,NOUN,technical term,Unit of volume,56794,r015
Quantity,Quantity,PROPN,TECHNICAL TERM,Amount,56794,r003
milk,milk,NOUN,technical term,Dairy product used in the mixture,56794,r016
mixture,mixture,NOUN,technical term,"Combination of substances (in this case, milk and water)",56794,r017
add,adding,VERB,,Increase,56794,r006
milk,milk,NOUN,technical term,Dairy product used in the mixture,56794,r016
=,=,NOUN,,Comparison,56794,r001
T,T,PROPN,TECHNICAL TERM,Capacity,56794,r004
add,adding,VERB,,Increase,56794,r006
milk,milk,NOUN,technical term,Dairy product used in the mixture,56794,r016
quantity,quantity,NOUN,technical term,Amount or volume of something,56794,r018
milk,milk,NOUN,technical term,Dairy product used in the mixture,56794,r016
mixture,mixture,NOUN,technical term,"Combination of substances (in this case, milk and water)",56794,r017
=,=,NOUN,,Comparison,56794,r001
t,T,NOUN,technical term,Variable representing the capacity of the can,56794,r020
=,=,NOUN,,Comparison,56794,r001
t,T,NOUN,technical term,Variable representing the capacity of the can,56794,r020
=,=,NOUN,,Comparison,56794,r001
ANSWER:D,ANSWER:D,PROPN,ORG,,56794,r002
number,number,NOUN,,Quantity or magnitude of something,14968,r012
male,males,NOUN,Individual Name,Gender Identity,14968,r010
number,number,NOUN,,Quantity or magnitude of something,14968,r012
male,males,NOUN,Individual Name,Gender Identity,14968,r010
advanced,advanced,ADJ,Technical Term,Educational Level,14968,r002
degree,degrees,NOUN,Technical Term,Educational Qualification,14968,r006
number,number,NOUN,,Quantity or magnitude of something,14968,r012
female,females,NOUN,Individual Name,Gender Identity,14968,r008
advanced,advanced,ADJ,Technical Term,Educational Level,14968,r002
degree,degrees,NOUN,Technical Term,Educational Qualification,14968,r006
answer,answer,NOUN,Technical Term,Solution or Response,14968,r003
D.,D.,PROPN,NORP,Answer Choice,14968,r001
=,=,NOUN,,Equality,96669,r003
5Q,5Q,PROPN,,Variable representing a quantity,96669,r002
Q,Q,PROPN,,Variable representing a quantity,96669,r006
=,=,NOUN,,Equality,96669,r003
=,=,NOUN,,Equality,96669,r003
=,=,VERB,,Equality,96669,r003
+,+,PROPN,Technical Term,Addition,96669,r001
answer,answer,NOUN,,The solution to a problem or question,96669,r009
C.,C.,PROPN,NORP,"Represents a specific entity or concept,",96669,r004
explanation,Explanation,NOUN,,'Reasoning' or 'Justification',36071,r006
price,price,NOUN,Technical Term,Monetary value assigned to a commodity or service,36071,r013
diesel,diesel,NOUN,ORG,Fuel,36071,r005
price,price,NOUN,Technical Term,Monetary value assigned to a commodity or service,36071,r013
diesel,diesel,NOUN,ORG,Fuel,36071,r005
price,price,NOUN,Technical Term,Monetary value assigned to a commodity or service,36071,r013
diesel,diesel,NOUN,ORG,Fuel,36071,r005
price,price,NOUN,Technical Term,Monetary value assigned to a commodity or service,36071,r013
diesel,diesel,NOUN,ORG,Fuel,36071,r005
high,higher,ADJ,,Elevated value or level,36071,r007
price,price,NOUN,Technical Term,Monetary value assigned to a commodity or service,36071,r013
petrol,petrol,NOUN,Technical Term,Type of fuel,36071,r012
answer,Answer,NOUN,,Response to a question,36071,r002
d,D,NOUN,,Letter in the Alphabet,36071,r004
co-efficient,co-efficient,NOUN,Technical Term,Mathematical Constant or Factor,94035,r008
x^2,x^2,PROPN,Technical Term,Mathematical expression for a squared variable,94035,r026
negative,negative,ADJ,technical term,"Expressing or indicating a lack of something, below zero , or opposite positivity.",94035,r015
parabola,parabola,NOUN,technical term,A symmetrical curve obtained from an equation.,94035,r016
downward,downward,ADJ,Technical Term,Direction of Descent or Lowering,94035,r010
face,facing,VERB,,To turn or orient oneself towards something.,94035,r012
so,So,ADV, ,Therefore,94035,r021
parabola,parabola,NOUN,technical term,A symmetrical curve obtained from an equation.,94035,r016
x,x,PROPN,Technical Term,Mathematical variable representing an unknown value.,94035,r022
axis,axis,NOUN,Technical Term,Reference Line or Coordinates,94035,r006
enclose,enclose,VERB,technical term,To surround or contain within a boundary,94035,r011
point,points,NOUN,technical term,A location or mark on a surface,94035,r018
y-value,y-values,NOUN,Technical Term,Value corresponding to the y coordinate on a graph,94035,r028
parabola,parabola,NOUN,technical term,A symmetrical curve obtained from an equation.,94035,r016
positive,positive,ADJ,technical term,"Expressing or indicating an amount, quality, or value above zero.",94035,r019
y,y,PROPN,Technical Term,Mathematical variable representing an unknown value.,94035,r027
lie,lies,VERB,,To be in a horizontal position,94035,r014
parabola,parabola,NOUN,technical term,A symmetrical curve obtained from an equation.,94035,r016
so,so,ADV, ,Therefore,94035,r021
enclose,enclosed,VERB,technical term,To surround or contain within a boundary,94035,r011
parabola,parabola,PROPN,technical term,A symmetrical curve obtained from an equation.,94035,r016
axis,axis,ADJ,Technical Term,Reference Line or Coordinates,94035,r006
y,y,PROPN,Technical Term,Mathematical variable representing an unknown value.,94035,r027
lie,lies,VERB,,To be in a horizontal position,94035,r014
parabola,parabola,NOUN,technical term,A symmetrical curve obtained from an equation.,94035,r016
so,so,ADV, ,Therefore,94035,r021
enclose,enclosed,VERB,technical term,To surround or contain within a boundary,94035,r011
parabola,parabola,PROPN,technical term,A symmetrical curve obtained from an equation.,94035,r016
axis,axis,ADJ,Technical Term,Reference Line or Coordinates,94035,r006
y,y,PROPN,Technical Term,Mathematical variable representing an unknown value.,94035,r027
lie,lies,VERB,,To be in a horizontal position,94035,r014
parabola,parabola,NOUN,technical term,A symmetrical curve obtained from an equation.,94035,r016
so,so,ADV, ,Therefore,94035,r021
enclose,enclosed,VERB,technical term,To surround or contain within a boundary,94035,r011
parabola,parabola,PROPN,technical term,A symmetrical curve obtained from an equation.,94035,r016
axis,axis,ADJ,Technical Term,Reference Line or Coordinates,94035,r006
answer,answer,NOUN,Technical Term,Correct Solution or Output,94035,r005
C.,C.,PROPN,NORP,Choice or Option,94035,r002
answer,Answer,NOUN,multiple possible,Result,78610,r002
c,C,NOUN,technical term,Option,78610,r003
-----5,-----5,PROPN,Individual Name,A numerical designation,40410,r001
x*5,x*5,VERB,,Calculation,40410,r015
answer,Answer,NOUN,Technical Term,The solution to a problem or question presented,40410,r002
e,E,NOUN,Individual Name,The letter 'E' is considered,40410,r004
let,Let,VERB,Technical Term,To permit or allow to happen.,2370,r009
.,.,PROPN,Organization Name,End of sentence.,2370,r001
officer,officers,NOUN,Individual Name,Person in a position of authority,2370,r016
=,=,PROPN,Organization Name,Symbol for equality or equivalence.,2370,r003
=,=,NOUN,Organization Name,Symbol for equality or equivalence.,2370,r003
e,E,NOUN,Individual Name,A single instance or example of something.,2370,r006
=,=,NOUN,,,44277,r001
x,x,PROPN,Technical Term,Variable,44277,r018
=,=,NOUN,,,44277,r001
short,shortest,ADJ,,Concept of length being minimal,44277,r014
way,way,NOUN,Technical Term,Method or approach,44277,r017
run,runs,VERB,Technical Term,Action of running in a game,44277,r012
inning,innings,NOUN,Technical Term,A portion of a cricket match,44277,r009
innings,innings,NOUN,Technical Term,Multiple innings within a cricket match,44277,r010
then,then,ADV,,Sequence indicating a point in time following another,44277,r015
run,runs,NOUN,Technical Term,Action of running in a game,44277,r012
ANSWER,ANSWER,PROPN,ORG,Organization that provides the answer,44277,r002
c,C,NOUN,,A variable representing a letter grade,44277,r004
let,let,VERB,Technical Term,Instruction,46007,r021
pauls,pauls,ADJ,Technical Term,Age of Paul,46007,r025
age,age,NOUN,Technical Term,Duration of Life,46007,r008
peters,peters,PROPN,,,46007,r027
e,e,NOUN,PRODUCT,Current Age of Peter,46007,r012
',',NOUN,Technical Term,Variable,46007,r001
e+a=35,e+a=35,NOUN,TECHNICAL TERM,Sum of ages of Paul and Peter,46007,r013
give,given,VERB,ACTION,Transfer of possession,46007,r019
e=35-a,e=35-a,PROPN,PRODUCT,Relative Age - Peter's Age based on Paul's,46007,r016
------eq1,------eq1,NOUN,Technical Term,Equation,46007,r002
peter,peter,PROPN,PERSON,Person,46007,r026
as,as,ADV,,Comparison,46007,r009
old,old,ADJ,Organization Name,Age,46007,r023
paul,paul,PROPN,PERSON,Person,46007,r024
peter,peter,PROPN,PERSON,Person,46007,r026
age,age,NOUN,Technical Term,Duration of Life,46007,r008
pauls,pauls,ADJ,Technical Term,Age of Paul,46007,r025
age,age,NOUN,Technical Term,Duration of Life,46007,r008
=,=,VERB,,Assignment,46007,r003
now,now,ADV,Technical Term,Current Time,46007,r022
peters,peters,PROPN,,,46007,r027
age,age,NOUN,Technical Term,Duration of Life,46007,r008
e=4a-2e,e=4a-2e,PROPN,TECHNICAL TERM,Formula for Calculation,46007,r017
a=15,a=15,PROPN,,Specific Age,46007,r007
hence,hence,ADV,CONJUNCTION,Therefore,46007,r020
e=20,e=20,PROPN,INDIVIDUAL NAME,Peter's current age,46007,r015
ANSWER,ANSWER,PROPN,,Solution,46007,r004
c,C,NOUN,PRODUCT,Current Age of Paul,46007,r011
base,base,NOUN,Technical Term,Bottom of the triangle,84482,r009
triangle,triangle,NOUN,technical term,three-sided shape,84482,r026
grey,grey,ADJ,Technical Term,Light Color,84482,r013
then,then,ADV,other,sequence marker,84482,r023
order,order,NOUN,Technical Term,Sequence,84482,r019
adjacent,adjacent,ADJ,Technical Term,Sides touching,84482,r006
face,faces,NOUN,Technical Term,Side of a Shape,84482,r012
paint,painted,VERB,,Apply Color,84482,r020
different,different,ADJ,Technical Term,Distinct,84482,r011
color,colors,NOUN,Technical Term,Hue used in painting,84482,r010
then,Then,ADV,other,sequence marker,84482,r023
side,sides,NOUN,organization name,portion of a shape,84482,r022
paint,painted,VERB,,Apply Color,84482,r020
Violet-Purple,Violet-Purple,PROPN,Organization Name,Combination of colors used,84482,r005
Purple-Violet- Purple-Violet,Purple-Violet- Purple-Violet,PROPN,PERSON,Combination of colors used,84482,r004
option,options,NOUN,Technical Term,Choice,84482,r018
have,have,VERB,,Possess,84482,r014
