word,part_of_speech,category,meaning,question_id
=,"VERB, PROPN",technical term,expression of equality,18645
Sum,PROPN,organization name,represents the result of adding together terms in a sequence,18645
a+3d)+(a+11d,NOUN,technical term,a general representation of mathematical expressions used within arithmetic progressions,18645
answer,NOUN,technical term,solution to a problem or question typically presented in an arithmetic context,18645
arithmetic,ADJ,technical term,refers to the branch of mathematics dealing with operations and relationships involving numbers and quantities,18645
b,NOUN,individual name,"Could be a variable, but within this context, it likely stands in for an answer value.",18645
now,ADV,technical term,Indicates a point in time relative to the progression.,18645
progression,NOUN,technical term,A sequence of terms arranged according to a specific rule or pattern (like arithmetic series).,18645
sum,NOUN,technical term,The total value obtained by adding all the elements in a sequence.,18645
term,NOUN,technical term,Individual element or component within a series (a mathematical sequence).,18645
7x,PROPN,Technical Term,Variable representing temperature on the 1st day,12383
=,"VERB, NOUN",Technical Term,Represents equality or calculation result,12383
D,PROPN,Individual Name,The variable 'x' represents the answer to the puzzle.,12383
Subtracting,PROPN,Technical Term,Mathematical operation used to find the difference between temperatures,12383
Sum,PROPN,Technical Term,Mathematical operation used to calculate the total temperature over a period.,12383
Temp,PROPN,Technical Term,Symbol representing Temperature,12383
Temperature,PROPN,Technical Term,Metric for measuring heat intensity,12383
answer,NOUN,Technical Term,Solution to the mathematical problem,12383
average,"ADJ, NOUN",Technical Term,Central value representing a group of temperatures,12383
be,VERB,Technical Term,State of being or mathematical equivalence,12383
day,NOUN,technical term,Time periods for measurement,12383
explanation,NOUN,,Statement clarifying a concept,12383
get,VERB,,Obtain something,12383
let,VERB,,Permit or allow something,12383
ratio,NOUN,technical term,Relationship between quantities,12383
respectively,ADV,,In the order mentioned,12383
temperature,NOUN,technical term,Heat intensity,12383
then,ADV,,Subsequent event or action,12383
town,NOUN,organization name,Collective housing area,12383
x,NOUN,technical term,Variable representing a value,12383
2 hour,NUM,TIME, duration,36718
4 hour,NUM,TIME, duration,36718
6 hour,NUM,TIME, duration,36718
=,"VERB, NOUN",MATHEMATICAL OPERATOR, equality,36718
AB,PROPN,OTHER,UNKNOWN,36718
AC,PROPN,ORGANIZATION,UNKNOWN,36718
AC=2BC,PROPN,EQUATION,relationship between variables,36718
BC,PROPN,ORGANIZATION,UNKNOWN,36718
C=2,PROPN,EQUATION,relationship between variables,36718
answer,NOUN,technical term,A solution or response to a question or problem.,36718
as,ADP,CONNECTION WORD,introduces a comparison,36718
plug,VERB,ACTION,to insert into a socket or opening,36718
Joe,PROPN,Individual Name,Person,36718
a,NOUN,technical term,Dimension,36718
b,"NOUN, PROPN",technical term,Dimension,36718
c,NOUN,technical term,Dimension,36718
c and 6 hour,NOUN,TIME,Time duration,36718
c.,PROPN,technical term,Specific wall or part of the room,36718
ceiling,NOUN,technical term,Part of the room structure,36718
compare,VERB,technical term,To analyze or evaluate,36718
constant,ADJ,technical term,Maintaining a steady rate,36718
dimension,NOUN,technical term,"A measurable extent, size, or attribute",36718
dimensions,PROPN,organization name,The specifications and measurements of a structure,36718
find,VERB,technical term,To discover or locate through investigation,36718
give,VERB,technical term,To provide or supply,36718
long,ADJ,technical term,Extended in duration or measurement,36718
meter,NOUN,technical term,A unit of length or measurement,36718
paint,VERB,technical term,To apply coating to a surface,36718
problem,NOUN,technical term,A situation or question requiring solution,36718
rate,NOUN,,Speed or efficiency of work,36718
rectangular,ADJ,technical term,Shape with four right angles,36718
room,NOUN,,Enclosed space for living or working,36718
take,VERB,,To require a specific amount of time to complete,36718
then,ADV,,Next in sequence,36718
time,NOUN,,Duration,36718
twice,ADV,,Double the amount,36718
volume,NOUN,technical term,Amount of space a three-dimensional object occupies,36718
wall,NOUN,,A vertical surface that encloses a space,36718
work,VERB,,To perform labor or activity,36718
+,NOUN,Technical Term,Mathematical Operation,69327
35/3,PROPN,Individual Name,Result of Calculation,69327
42/3,PROPN,Organization Name,Company Name,69327
5X,NOUN,Technical Term,Mathematical Expression,69327
=,NOUN,Technical Term,Equation Symbol,69327
E,PROPN,Individual Name,Variable,69327
value,NOUN,Organization Name,Result,69327
x,NOUN,Technical Term,Unknown Value,69327
Sum,NOUN,technical term,Operation for combining values,49968
average,NOUN,technical term,Central tendency value,49968
Answer,NOUN,individual name,Correct response,49968
C,PROPN,organization name,Unknown - context-dependent,49968
=,PUNCT,technical term,Comparison operation,49968
reduce,VERB,,"To lessen or decrease something. In this context, it refers to reducing the number of bacteria species.",71969
BY,PREP,,Indicates a measure or amount by which something is reduced.,71969
Ans,PROPN,Individual Name,"The answer to the problem. In this case, it refers to the value derived through calculation.",71969
C.,PROPN,Organization Name,"A letter designation, often used to represent a specific option or result.  Here, it signifies the correct answer.",71969
*,SYMBOL,,Multiplication operator,71969
%,SYMBOL,,Symbol representing percentage,71969
8)%,ADJ,organization name,percentage of bacterial species,71969
8)/100,NOUN,technical term,percentage reduction,71969
able,ADJ,technical term,capable of being reduced,71969
andreduce,NOUN,technical term,process of reduction,71969
bacteria,NOUN,technical term,Microorganisms,71969
bacterial,ADJ,technical term,Relating to bacteria,71969
body,NOUN,common term,Physical structure of a living being,71969
budget,NOUN,common term,Financial resources allocated for a specific purpose,71969
certain,ADJ,common term,Specific or particular,71969
computer,NOUN,technical term,Electronic device for processing information,71969
create,VERB,common term,To bring something into existence,71969
cut,NOUN,common term,Reduction or subtraction,71969
betweenreduce,NOUN,technical term,Mathematical operation representing reduction between values,71969
by[means,PROPN,technical term,Indicates a percentage or portion decrease from an original value,71969
difference,NOUN,technical term,The deviation or disparity between values,71969
find,VERB,organization name,Discover or locate a specific group,71969
group,NOUN,organization name,A collection of individuals or entities working together,71969
human,ADJ,individual name,Relating to or belonging to humans,71969
inhabit,VERB,technical term,To reside or live in a particular place,71969
initial,ADJ,technical term,Beginning or first,71969
know,VERB,technical term,To have knowledge or understanding of (something),71969
list,NOUN,organization name,A sequential arrangement of items,71969
many,ADJ,technical term,A considerable or large number,71969
model,"NOUN, VERB",technical term,A representation or imitation of something,71969
note,NOUN,technical term,Explanation or clarification,71969
number,NOUN,technical term,Quantity of something,71969
percentage,NOUN,technical term,Proportion or fraction expressed as a percentage,71969
plan,VERB,organization name,To devise or arrange,71969
reduce,NOUN,technical term,Decrease or diminution,71969
remain,NOUN,technical term,Quantity left after a deduction or change,71969
research,NOUN,organization name,Systematic investigation or inquiry,71969
selection,NOUN,technical term,Choosing or identifying a particular set,71969
so,ADV,,Conjunction indicating consequence,71969
specie,NOUN,technical term,A specific kind or type of organism,71969
term,NOUN,Technical Term,A word or phrase with a specialized meaning in a particular field or context.,71969
x,NOUN,NORP,"Used as a variable for an unknown quantity or factor, often related to representing specific data points within the texts. The meaning can be interpreted differently depending on the context.",71969
x%,NOUN,NORP,"Represents a percentage value determined by an unknown quantity (x), likely expressing proportions or relative amounts within the texts.",71969
x)*(108,PROPN,,Not applicable as it is an incomplete term based on context.,71969
x)/100,PROPN,,Not applicable as it is an incomplete term based on context.,71969
−,PROPN,,"Used as a separator or symbol representing subtraction, but not significant enough to be categorized.",71969
Answer,PROPN,Technical Term,Solution,13250
D.,PROPN,NORP,Designation,13250
*,PROPN,,,13250
A,PROPN,Individual Name,,13250
AB,PROPN,Organization Name,,13250
B,PROPN,Individual Name,,13250
BA,PROPN,Organization Name,,13250
C,PROPN,Individual Name,,13250
DC,PROPN,Organization Name,,13250
E,PROPN,Individual Name,Person,13250
F,PROPN,Individual Name,Person,13250
F.,PROPN,Technical Term,Abbreviation for Fahrenheit,13250
a,NOUN,Organizational Name,Represents a quantity or a specific instance,13250
arrange,VERB,Technical Term,"To put into order, to organize",13250
arrangement,NOUN,Technical Term,A particular order or configuration,13250
as,ADV,Technical Term,Used to indicate a comparison or resemblance in function,13250
b,NOUN,Individual Name,Person,13250
case,NOUN,Technical Term,A specific situation or example,13250
cd,NOUN,organization name,Group of people or entities,13250
consider,VERB,,To think about or take into account,13250
d,NOUN,individual name,Person or entity,13250
find,VERB,,To discover or determine,13250
hence,ADV,,As a result,13250
let,VERB,,To allow or permit,13250
many,ADJ,,A large number,13250
multiply,VERB,,To increase in size or value,13250
next,ADV,,Following immediately,13250
now,ADV,,At the present moment,13250
Total,ADJ,technical term,Represents the sum or aggregate of something,13250
number,NOUN,technical term,Quantitative value,13250
people,NOUN,individual name,Humans,13250
row,NOUN,technical term,Linear arrangement or sequence,13250
unit,NOUN,technical term,A combined or assembled entity,13250
So,ADV,technical term,"Therefore, consequently",13250
total,ADJ,technical term,Summation,13250
single,ADJ,technical term,expressing a unit or entity composed of one part,13250
other,ADJ,,,13250
seat,VERB,,,13250
such,ADJ,,,13250
way,NOUN,technical term,method,13250
well,ADV,technical term,effectively,13250
=,VERB,Technical Term,Comparison/Assignment,3450
Answer,PROPN,Individual Name,Solution/Result,3450
d,NOUN,Technical Term,"Variable, Solution Option",3450
f(2a),PROPN,Technical Term,Function with Input '2a',3450
f(2a)+f(a),PROPN,Technical Term,Sum of Functions f(2a) and f(a),3450
(f(2a)+f(a)),PROPN,Technical Term,Sum of Functions f(2a) and f(a),3450
value,NOUN,Technical Term,Numerical Result/Output,3450
f(a)=3a+6,FORMULA,Technical Term,Mathematical expression representing a function.,3450
=,"VERB, NOUN",Technical Term,mathematical operation,15858
Probability,PROPN,Technical Term,Statistical measure,15858
begin,VERB,,Initiate action,15858
c,NOUN,,Variable or placeholder,15858
camping,NOUN,,Recreational activity,15858
following,ADJ,,Subsequent,15858
hence,ADV,,Consequently,15858
home,ADV,,Residence,15858
John,Proper Noun,Individual Name,A person's name,15858
Malachi,Proper Noun,Individual Name,A person's name,15858
probability,NOUN,technical term,The likelihood of an event occurring,15858
rain,"NOUN, VERB",technical term,Precipitation in the form of water droplets,15858
vacation,NOUN,technical term,A period of time spent away from work or school for leisure and relaxation,15858
re-phrase,VERB,,,15858
return,VERB,,,15858
therefore,ADV,,,15858
morning,NOUN,TIME,A period of the day,15858
question,NOUN,individual name,A query asking for information.,15858
=,SYMBOL,,Comparison,56794
Quantity,NOUN,TECHNICAL TERM,Amount,56794
T,NOUN,TECHNICAL TERM,Capacity,56794
add,VERB,,Increase,56794
be,VERB,,Exist,56794
become,VERB,,Change,56794
can,NOUN,TECHNICAL TERM,Container,56794
capacity,NOUN,TECHNICAL TERM,Volume,56794
ANSWER:D,PROPN,ORGANIZATION NAME,,56794
fill,VERB,technical term,To completely occupy a space or container,56794
find,VERB,technical term,Determine the capacity or volume of something,56794
full,ADJ,technical term,Completely filled or occupied,56794
let,VERB,technical term,"Allow or permit a specific action or state to occur (in this context, setting the initial quantity)",56794
litre,NOUN,technical term,Unit of volume,56794
milk,NOUN,technical term,Dairy product used in the mixture,56794
mixture,NOUN,technical term,"Combination of substances (in this case, milk and water)",56794
quantity,NOUN,technical term,Amount or volume of something,56794
ratio,NOUN,technical term,Proportion or mathematical relationship between two quantities,56794
t,NOUN,technical term,Variable representing the capacity of the can,56794
water,NOUN,technical term,Liquids,56794
D.,PROPN,NORP,Answer Choice,14968
advanced,ADJ,Technical Term,Educational Level,14968
answer,NOUN,Technical Term,Solution or Response,14968
college,NOUN,Organization Name,Educational Institution,14968
company,NOUN,Organization Name,Business Entity,14968
degree,NOUN,Technical Term,Educational Qualification,14968
employee,NOUN,Organization Name,Worker or Staff Member,14968
female,NOUN,Individual Name,Gender Identity,14968
have,VERB,Technical Term,Possession or Acquisition,14968
male,NOUN,Individual Name,Gender Identity,14968
many,ADJ,,A large amount or number,14968
number,NOUN,,Quantity or magnitude of something,14968
only,ADV,,Solely or exclusively,14968
rest,NOUN,,The remaining part of something,14968
total,NOUN,,The entire amount or sum of something,14968
+,VERB,Technical Term,Addition,96669
5Q,PROPN,,Variable representing a quantity,96669
=,"NOUN, VERB",,Equality,96669
C.,PROPN,NORP,"Represents a specific entity or concept,",96669
P,PROPN,ORG,Variable representing a quantity,96669
Q,PROPN,,Variable representing a quantity,96669
R.,PROPN,NORP,Represents a specific entity or concept,96669
age,NOUN,,An amount of time elapsed since birth,96669
answer,NOUN,,The solution to a problem or question,96669
as,ADV,,Indicating comparison,96669
P,NOUN,Technical Term,Numerical value,96669
R,NOUN,Technical Term,Input Variable,96669
z,NOUN,Technical Term,Variable representing age,96669
time,NOUN,Technical Term,Duration,96669
old,ADJ,None ,,96669
term,NOUN,None,,96669
Diesel,PROPN,ORG,Fuel,36071
answer,NOUN,,Response to a question,36071
cost,"VERB, NOUN",,Estimate price or expenditure,36071
d,NOUN,,Letter in the Alphabet,36071
diesel,NOUN,ORG,Fuel,36071
explanation,NOUN,,'Reasoning' or 'Justification',36071
high,ADJ,,Elevated value or level,36071
light,VERB,,To illuminate,36071
litre,NOUN,,Unit of Volume,36071
month,NOUN,,Time Period,36071
more,ADJ,Technical Term,Comparative expression indicating a higher value,36071
petrol,NOUN,Technical Term,Type of fuel,36071
price,NOUN,Technical Term,Monetary value assigned to a commodity or service,36071
rise,NOUN,Technical Term,Increase in value or level,36071
rs.4per,NOUN,Individual Name,Price of Diesel,36071
take,VERB,,Acquire or possess,36071
unchanged,ADJ,Technical Term,Maintain a constant value,36071
===,PROPN,ORG,Testing or Evaluation Organization,94035
C.,PROPN,NORP,Choice or Option,94035
I.,PROPN,ORG,Answering Mechanism or Process,94035
III,PROPN,NORP,Point in a Sequence or Range,94035
answer,NOUN,Technical Term,Correct Solution or Output,94035
axis,"NOUN, ADJ",Technical Term,Reference Line or Coordinates,94035
be,VERB,Technical Term,Existence or State of Being,94035
co-efficient,NOUN,Technical Term,Mathematical Constant or Factor,94035
coordinate,NOUN,Technical Term,Location or Position on a Plane,94035
downward,ADJ,Technical Term,Direction of Descent or Lowering,94035
enclose,VERB,technical term,To surround or contain within a boundary,94035
face,VERB,,To turn or orient oneself towards something.,94035
follow,VERB,,To go or travel behind someone or something,94035
lie,VERB,,To be in a horizontal position,94035
negative,ADJ,technical term,"Expressing or indicating a lack of something, below zero , or opposite positivity.",94035
parabola,"NOUN, PROPN",technical term,A symmetrical curve obtained from an equation.,94035
plane,NOUN,technical term,A flat surface that extends infinitely in all directions,94035
point,NOUN,technical term,A location or mark on a surface,94035
positive,ADJ,technical term,"Expressing or indicating an amount, quality, or value above zero.",94035
region,NOUN,,An area or section of space,94035
so,ADV, ,Therefore,94035
x^2,NOUN,Technical Term,Mathematical expression for a squared variable,94035
y-value,NOUN,Technical Term,Value corresponding to the y coordinate on a graph,94035
x-axis,NOUN,Technical Term,The horizontal line in a coordinate plane,94035
x,Variable,Technical Term,Mathematical variable representing an unknown value.,94035
y,Variable,Technical Term,Mathematical variable representing an unknown value.,94035
Rs.390,PROPN,individual name,Price,78610
answer,NOUN,multiple possible,Result,78610
c,NOUN,technical term,Option,78610
discount,NOUN,technical term,Price Reduction,78610
list,VERB,multiple possible,To include,78610
price,NOUN,technical term,Cost,78610
sale,NOUN,multiple possible,Discount Event,78610
saree,NOUN,technical term,Clothing Garment,78610
successive,ADJ,multiple possible,Following in Order,78610
-----5,ADJ,Individual Name,A numerical designation,40410
answer,NOUN,Technical Term,The solution to a problem or question presented,40410
arrive,VERB,Technical Term,To reach a destination or state,40410
e,NOUN,Individual Name,The letter 'E' is considered,40410
find,VERB,Technical Term,To determine the answer or solution to something,40410
garrison,NOUN,Organization Name,Military troops stationed in a particular location,40410
have,VERB,Technical Term,To possess or include,40410
last,VERB,Technical Term,To remain until a particular time or situation comes to an end,40410
man,NOUN,Individual Name,"A male human being, typically seen as a member of the military",40410
more,ADJ,Technical Term,Beyond a certain point or limit,40410
now,ADV,,Time,40410
only,ADV,,Quantity Limitation,40410
provision,NOUN,technical term,"Supplies, Food",40410
reinforcement,NOUN,,Additional Support,40410
x*5,VERB,,Calculation,40410
.,PROPN,Organization Name,End of sentence.,2370
=,"PROPN, NOUN",Organization Name,Symbol for equality or equivalence.,2370
average,ADJ,Technical Term,Average value or calculation.,2370
avg,ADJ,Technical Term,Abbreviation for average.,2370
e,NOUN,Individual Name,A single instance or example of something.,2370
employee,NOUN,Organization Name,Someone who works for a company.,2370
find,VERB,Technical Term,To discover or locate something.,2370
let,VERB,Technical Term,To permit or allow to happen.,2370
month,NOUN,Organization Name,A specific period of time (four weeks).,2370
no,NOUN,Individual Name,Number of,2370
non,ADJ,,Not,2370
nonofficer,NOUN,Organization Name,Employee without official rank,2370
office,NOUN,Organization Name,Workplace Location,2370
officer,NOUN,Individual Name,Person in a position of authority,2370
rs 110,ADP,Technical Term,Salary Amount,2370
rs.120,NOUN,Product,Monetary Value,2370
salary,NOUN,Technical Term,Payment for work,2370
no.of,NOUN,technical term,quantity of (used in a formula or technical context),2370
ANSWER,PROPN,ORG,Organization that provides the answer,44277
average,NOUN,,Indicates a central tendency or mathematical concept,44277
c,NOUN,,A variable representing a letter grade,44277
certain,ADJ,,Describes something with confidence or conviction,44277
cricketer,NOUN,Individual Name,Person who plays the sport of cricket,44277
have,VERB,,To possess something or to engage in an action,44277
increase,VERB,,Represents a change that results in more or higher values,44277
inning,NOUN,Technical Term,A portion of a cricket match,44277
innings,NOUN,Technical Term,Multiple innings within a cricket match,44277
=,NOUN,,,44277
x,PROPN,Technical Term,Variable,44277
way,NOUN,Technical Term,Method or approach,44277
new,ADJ,None,Concept of something recently created or introduced,44277
run,"VERB, NOUN",Technical Term,Action of running in a game,44277
score,VERB,None,Act of achieving a specific result within a contest or game,44277
short,ADJ,None,Concept of length being minimal,44277
then,ADV,None,Sequence indicating a point in time following another,44277
thereby,ADV,None,Concept showing consequence or result of a preceding event,44277
',NOUN,Technical Term,Variable,46007
------eq1,NOUN,Technical Term,Equation,46007
=,VERB,,Assignment,46007
ANSWER,PROPN,,Solution,46007
Paul,PROPN,Individual Name,Person,46007
Peter,PROPN,Individual Name,Person,46007
a=15,PROPN,,Specific Age,46007
age,NOUN,Technical Term,Duration of Life,46007
as,ADV,,Comparison,46007
be,VERB,,Existence,46007
c,NOUN,PRODUCT,Current Age of Paul,46007
e,NOUN,PRODUCT,Current Age of Peter,46007
e+a=35,NOUN,TECHNICAL TERM,Sum of ages of Paul and Peter,46007
e=2(2a-e),NOUN,TECHNICAL TERM,Mathematical Relationship between ages,46007
e=20,PROPN,INDIVIDUAL NAME,Peter's current age,46007
e=35-a,PROPN,PRODUCT,Relative Age - Peter's Age based on Paul's,46007
e=4a-2e,PROPN,TECHNICAL TERM,Formula for Calculation,46007
friend,NOUN,ORGANIZATION NAME,Social Relationship Description,46007
give,VERB,ACTION,Transfer of possession,46007
hence,ADV,CONJUNCTION,Therefore,46007
let,VERB,Technical Term,Instruction,46007
now,ADV,Technical Term,Current Time,46007
old,ADJ,Organization Name,Age,46007
paul,PROPN,Individual Name,Person,46007
pauls,ADJ,Technical Term,Age of Paul,46007
peter,PROPN,Individual Name,Person,46007
present,ADJ,Technical Term,Current state,46007
sum,NOUN,Technical Term,Total,46007
twice,ADV,Technical Term,Multiplicity,46007
peters,PROPN,,,46007
*,NOUN,Technical Term,Geometry,84482
A,PROPN,Individual Name,Label for a point on the triangle,84482
C,PROPN,Individual Name,Label for a point on the triangle,84482
Purple-Violet- Purple-Violet,PROPN,Organization Name,Combination of colors used,84482
Violet-Purple,PROPN,Organization Name,Combination of colors used,84482
adjacent,ADJ,Technical Term,Sides touching,84482
answer: a.,NOUN,Organization Name,Selection indicating the correct answer,84482
b,NOUN,Individual Name,Label for a point on the triangle,84482
base,NOUN,Technical Term,Bottom of the triangle,84482
color,NOUN,Technical Term,Hue used in painting,84482
different,ADJ,Technical Term,Distinct,84482
face,NOUN,Technical Term,Side of a Shape,84482
grey,ADJ,Technical Term,Light Color,84482
have,VERB,,Possess,84482
many,ADJ,,Multiple,84482
mark,VERB,,Label,84482
number,NOUN,Technical Term,Quantity,84482
option,NOUN,Technical Term,Choice,84482
order,NOUN,Technical Term,Sequence,84482
paint,VERB,,Apply Color,84482
purple,ADJ,technical term,color,84482
side,NOUN,organization name,portion of a shape,84482
then,ADV,other,sequence marker,84482
thus,ADV,other,consequently,84482
total,ADJ,organization name,summation,84482
triangle,NOUN,technical term,three-sided shape,84482
use,VERB,other,apply,84482
violet,ADJ,technical term,color,84482
way,NOUN,other,method,84482
=,SYMBOL,,Mathematical operator,57035
CAT,PROPN,ORG,Refers to an organization,57035
D.,PROPN,NORP,Represents a person or entity,57035
alphabet,NOUN,TECHNICAL TERM,System of written characters,57035
a,NOUN,technical term,Represents a quantity or value,57035
add,VERB,Technical Term,To combine numerical values together,57035
answer,NOUN,technical term,The solution or result of a mathematical calculation,57035
equal,ADJ,Technical Term,Indicates values with the same numerical representation,57035
B,PROPN,Individual Name,A person named B,57035
C,PROPN,Individual Name,A person named C,57035
have,VERB,Technical Term,Possession of a mathematical quantity or attribute,57035
length,NOUN,Technical Term,"Dimension of an object, often measured in units",57035
letter,NOUN,,Character in an alphabet used to represent sounds or symbols,57035
multiply,VERB,Technical Term,Operation of repeated addition,57035
number,NOUN,Technical Term,Quantitative value representing a magnitude or amount,57035
obtain,VERB,,"To acquire or attain something, often through effort or calculation",57035
place,NOUN,Technical Term,Position or location within a sequence or system,57035
sum,NOUN,Technical Term,Result of adding together multiple quantities,57035
then,ADV,,Indicates a subsequent event or action,57035
thus,ADV,Technical Term,Consequence or implication resulting from previous statements or events,57035
value,NOUN,Technical Term,The assigned numerical representation of a letter or word according to a specific system.,57035
*,NOUN,Organization Name,"represents an asterisk, often used as a wildcard or placeholder",78816
0.7)^2,PROPN,Technical Term,mathematical equation representing the square of 0.7,78816
=,"VERB, PROPN, NOUN",Technical Term; Sign for Equality,represents mathematical equality or comparison; a symbol of balance and equivalence,78816
B.,PROPN,"Organization Name, Letter as Symbol",a named option or answer choice,78816
C.,PROPN,"Organization Name, Letter as Symbol",a named option or answer choice,78816
D.,PROPN,NORP,a named option or answer choice,78816
E.,PROPN,"Organization Name, Letter as Symbol",a named option or answer choice,78816
H,PROPN,ORG,likely refers to 'Height' in relation to a cylinder,78816
Pi,PROPN,Technical Term,mathematical constant representing the ratio of a circle's circumference to its diameter,78816
Q.,PROPN,"Organization Name, Letter as Symbol",a named option or question choice,78816
R,PROPN,Individual name,Radius of the cylinder,78816
a.,NOUN,Technical term,Option,78816
c,NOUN,Technical term,Option,78816
change,NOUN,Higher-level concept,Modification or alteration,78816
check,NOUN,Action,Review or examination,78816
cylinder,NOUN,Technical term, Three-dimensional shape with a circular base and a straight side.,78816
decrease,NOUN,Higher-level concept,Reduction in size or amount,78816
follow,VERB,Action,To go after or adhere to something,78816
R^2.H,PROPN,Technical Term,Formula for the volume of a cylinder,78816
give,VERB,Technical Term,To impart or provide information or instructions,78816
great,ADJ,Technical Term,Significantly large or important,78816
height,NOUN,Technical Term,Dimension in a vertical direction,78816
increase,NOUN,Technical Term,"A rise or augmentation in value, size, or amount",78816
maximum,ADJ,Technical Term,The greatest achievable value or extent,78816
option,NOUN,Technical Term,A choice or possibility among several alternatives,78816
radius,NOUN,Technical Term,The distance from the center of a circle or sphere to its circumference,78816
reshape,VERB,Technical Term,To alter the form or shape of something,78816
result,NOUN,Technical Term,"An outcome or consequence of an action, process, or event",78816
value,NOUN,Technical Term,"The significance, worth, or inherent qualities of something",78816
volume,NOUN,technical term,The amount of three-dimensional space enclosed by a shape or substance.,78816
+39,PROPN,organization name,"Person, numerical value in a group calculation",29338
=,PROPN,technical term,"Comparison, equation sign",29338
Ans,PROPN,organization name,Answer to a question or problem,29338
R*23,PROPN,technical term,"Unknown numerical value, part of an equation",29338
a,NOUN,individual name,Refers to a specific person,29338
add,VERB,technical term,Mathematical operation,29338
addition,NOUN,technical term,Process of combining numbers,29338
age,"VERB, NOUN",individual name,Time elapsed since birth,29338
average,ADJ,technical term,Central tendency of a dataset,29338
decrease,VERB,technical term,Reduction in value or amount,29338
divide,VERB,technical term,To separate into parts.,29338
elegant,ADJ,individual name,A sophisticated and stylish individual.,29338
group,NOUN,organization name,A collection of individuals.,29338
have,VERB,technical term,To possess or control something.,29338
increase,NOUN,organization name,An increment or rise in a quantity or value.,29338
instead,ADV,technical term,In place of something else.,29338
lie,VERB,technical term,To rest or be positioned in a particular place.,29338
mean,"NOUN, VERB",technical term,An average value or the concept of intention.,29338
n,"NOUN, PROPN",organization name,A numerical representation typically used for a quantity.,29338
now,ADV,technical term,At the present time.,29338
