word,part_of_speech,category,lemma,word_count,index,question_id,mask_col,is_content_word
C,NOUN,,c,1,[32],54084,rationale,True
=,NOUN,,=,1,[33],54084,rationale,True
=,SYM,,=,1,[35],54084,rationale,False
"
",SPACE,,"
",0,[37],54084,rationale,False
A,NOUN,,a,1,[38],54084,rationale,True
:,PUNCT,,:,0,[39],54084,rationale,False
B,NOUN,,b,1,[40],54084,rationale,True
:,PUNCT,,:,0,[41],54084,rationale,False
C,NOUN,,c,1,[42],54084,rationale,True
=,NUM,,=,1,[43],54084,rationale,False
"
",SPACE,,"
",0,[45],54084,rationale,False
A;s,PROPN,ORG,A;s,1,[46],54084,rationale,True
share,NOUN,,share,1,[47],54084,rationale,True
=,PROPN,,=,1,[48],54084,rationale,True
*,NUM,,*,1,[50],54084,rationale,False
=,NOUN,,=,1,[52],54084,rationale,True
Rs,NOUN,,r,1,[53],54084,rationale,True
.,PROPN,,.,1,[54],54084,rationale,True
"
",SPACE,,"
",0,[56],54084,rationale,False
B,NOUN,,b,1,[57],54084,rationale,True
's,PART,,'s,1,[58],54084,rationale,False
share,NOUN,,share,1,[59],54084,rationale,True
=,NOUN,,=,1,[60],54084,rationale,True
*,NUM,,*,1,[62],54084,rationale,False
=,NOUN,,=,1,[64],54084,rationale,True
Rs,NOUN,,r,1,[65],54084,rationale,True
.,PROPN,,.,1,[66],54084,rationale,True
"
",SPACE,,"
",0,[68],54084,rationale,False
C,NOUN,,c,1,[69],54084,rationale,True
's,PART,,'s,1,[70],54084,rationale,False
share,NOUN,,share,1,[71],54084,rationale,True
=,NOUN,,=,1,[72],54084,rationale,True
*,NUM,,*,1,[74],54084,rationale,False
=,SYM,,=,1,[76],54084,rationale,False
Rs,NOUN,NORP,r,1,[77],54084,rationale,True
.,PROPN,,.,1,[78],54084,rationale,True
.,PUNCT,,.,0,[80],54084,rationale,False
"
",SPACE,,"
",0,[81],54084,rationale,False
Answer,NOUN,,answer,1,[82],54084,rationale,True
:,PUNCT,,:,0,[83],54084,rationale,False
B,NOUN,,b,1,[84],54084,rationale,True
Let,VERB,,let,1,[0],13920,rationale,True
initial,ADJ,,initial,1,[1],13920,rationale,True
price,NOUN,,price,1,[2],13920,rationale,True
be,AUX,,be,1,[3],13920,rationale,False
"
",SPACE,,"
",0,[5],13920,rationale,False
Price,NOUN,,price,1,[6],13920,rationale,True
in,ADP,,in,1,[7],13920,rationale,False
after,ADP,,after,1,[10],13920,rationale,False
discount,NOUN,,discount,1,[13],13920,rationale,True
=,NOUN,,=,1,[14],13920,rationale,True
"
",SPACE,,"
",0,[16],13920,rationale,False
Price,NOUN,,price,1,[17],13920,rationale,True
in,ADP,,in,1,[18],13920,rationale,False
after,ADP,,after,1,[21],13920,rationale,False
discount,NOUN,,discount,1,[24],13920,rationale,True
=,NOUN,,=,1,[25],13920,rationale,True
"
",SPACE,,"
",0,[27],13920,rationale,False
Price,PROPN,,Price,1,[28],13920,rationale,True
in,ADP,,in,1,[29],13920,rationale,False
after,SCONJ,,after,1,[32],13920,rationale,False
discount,NOUN,,discount,1,[35],13920,rationale,True
=,NOUN,,=,1,[36],13920,rationale,True
"
",SPACE,,"
",0,[38],13920,rationale,False
So,ADV,,so,1,[39],13920,rationale,True
",",PUNCT,,",",0,[40],13920,rationale,False
Price,NOUN,,price,1,[41],13920,rationale,True
in,ADP,,in,1,[42],13920,rationale,False
as,ADP,,as,1,[45],13920,rationale,False
percentage,NOUN,,percentage,1,[46],13920,rationale,True
of,ADP,,of,1,[47],13920,rationale,False
the,DET,,the,1,[48],13920,rationale,False
sale,NOUN,,sale,1,[49],13920,rationale,True
price,NOUN,,price,1,[50],13920,rationale,True
on,ADP,,on,1,[51],13920,rationale,False
will,AUX,,will,1,[54],13920,rationale,False
be,AUX,,be,1,[55],13920,rationale,False
=,PROPN,,=,1,[56],13920,rationale,True
82.94/96,NUM,,82.94/96,1,[57],13920,rationale,False
*,NOUN,,*,1,[58],13920,rationale,True
=,SYM,,=,1,[60],13920,rationale,False
>,X,,>,1,[61],13920,rationale,False
"
",SPACE,,"
",0,[64],13920,rationale,False
Answer,NOUN,ORG,answer,1,[65],13920,rationale,True
will,AUX,,will,1,[66],13920,rationale,False
definitely,ADV,,definitely,1,[67],13920,rationale,True
be,AUX,,be,1,[68],13920,rationale,False
(,PUNCT,,(,0,[69],13920,rationale,False
D,NOUN,,d,1,[70],13920,rationale,True
),PUNCT,,),0,[71],13920,rationale,False
The,DET,,the,1,[0],81305,rationale,False
sum,NOUN,,sum,1,[1],81305,rationale,True
of,ADP,,of,1,[2],81305,rationale,False
the,DET,,the,1,[3],81305,rationale,False
numbers,NOUN,,number,1,[5],81305,rationale,True
is,AUX,,be,1,[6],81305,rationale,False
*,SYM,,*,1,[8],81305,rationale,False
=,SYM,,=,1,[10],81305,rationale,False
"
",SPACE,,"
",0,[12],81305,rationale,False
If,SCONJ,,if,1,[13],81305,rationale,False
each,DET,,each,1,[14],81305,rationale,False
number,NOUN,,number,1,[15],81305,rationale,True
is,AUX,,be,1,[16],81305,rationale,False
multiplied,VERB,,multiply,1,[17],81305,rationale,True
by,ADP,,by,1,[18],81305,rationale,False
",",PUNCT,,",",0,[20],81305,rationale,False
the,DET,,the,1,[21],81305,rationale,False
new,ADJ,,new,1,[22],81305,rationale,True
sum,NOUN,,sum,1,[23],81305,rationale,True
is,AUX,,be,1,[24],81305,rationale,False
),PUNCT,,),0,[26],81305,rationale,False
.,PUNCT,,.,0,[27],81305,rationale,False
"
",SPACE,,"
",0,[28],81305,rationale,False
The,DET,,the,1,[29],81305,rationale,False
average,NOUN,,average,1,[30],81305,rationale,True
is,AUX,,be,1,[31],81305,rationale,False
then,ADV,,then,1,[32],81305,rationale,True
*,SYM,,*,1,[34],81305,rationale,False
=,NUM,,=,1,[36],81305,rationale,False
"
",SPACE,,"
",0,[38],81305,rationale,False
The,DET,,the,1,[39],81305,rationale,False
answer,NOUN,,answer,1,[40],81305,rationale,True
is,AUX,,be,1,[41],81305,rationale,False
D.,PROPN,NORP,D.,1,[42],81305,rationale,True
term,NOUN,,term,1,[1],18645,rationale,True
term,NOUN,,term,1,[4],18645,rationale,True
=,VERB,,=,1,[5],18645,rationale,True
"
",SPACE,,"
",0,[7],18645,rationale,False
i.e.,X,,i.e.,1,[8],18645,rationale,False
",",PUNCT,,",",0,[9],18645,rationale,False
(,PUNCT,,(,0,[10],18645,rationale,False
a+3d)+(a+11d,NOUN,,a+3d)+(a+11d,1,[11],18645,rationale,True
),PUNCT,,),0,[12],18645,rationale,False
=,VERB,,=,1,[13],18645,rationale,True
"
",SPACE,,"
",0,[15],18645,rationale,False
Now,ADV,,now,1,[16],18645,rationale,True
",",PUNCT,,",",0,[17],18645,rationale,False
Sum,PROPN,,Sum,1,[18],18645,rationale,True
of,ADP,,of,1,[19],18645,rationale,False
terms,NOUN,,term,1,[22],18645,rationale,True
=,PROPN,,=,1,[23],18645,rationale,True
(,PUNCT,,(,0,[24],18645,rationale,False
),PUNCT,,),0,[26],18645,rationale,False
*,PUNCT,,*,0,[27],18645,rationale,False
[,X,,[,1,[28],18645,rationale,False
+,PUNCT,,+,0,[30],18645,rationale,False
(,PUNCT,,(,0,[31],18645,rationale,False
15-1)d,NUM,,15-1)d,1,[32],18645,rationale,False
],PUNCT,,],0,[33],18645,rationale,False
"
",SPACE,,"
",0,[34],18645,rationale,False
=,PROPN,,=,1,[35],18645,rationale,True
(,PUNCT,,(,0,[36],18645,rationale,False
),PUNCT,,),0,[38],18645,rationale,False
*,PUNCT,,*,0,[39],18645,rationale,False
[,X,,[,1,[40],18645,rationale,False
],PUNCT,,],0,[44],18645,rationale,False
"
",SPACE,,"
",0,[45],18645,rationale,False
=,PROPN,,=,1,[46],18645,rationale,True
(,PUNCT,,(,0,[47],18645,rationale,False
),PUNCT,,),0,[49],18645,rationale,False
*,PUNCT,,*,0,[50],18645,rationale,False
---------------,PUNCT,,---------------,0,[52],18645,rationale,False
From,ADP,,from,1,[53],18645,rationale,False
(,PUNCT,,(,0,[54],18645,rationale,False
),PUNCT,,),0,[56],18645,rationale,False
"
",SPACE,,"
",0,[57],18645,rationale,False
=,SYM,,=,1,[58],18645,rationale,False
"
",SPACE,,"
",0,[60],18645,rationale,False
Answer,NOUN,,answer,1,[61],18645,rationale,True
:,PUNCT,,:,0,[62],18645,rationale,False
B,NOUN,,b,1,[63],18645,rationale,True
Explanation,NOUN,,explanation,1,[0],12383,rationale,True
:,PUNCT,,:,0,[1],12383,rationale,False
"
",SPACE,,"
",0,[2],12383,rationale,False
Sum,PROPN,,Sum,1,[3],12383,rationale,True
of,ADP,,of,1,[4],12383,rationale,False
temperatures,NOUN,,temperature,1,[5],12383,rationale,True
on,ADP,,on,1,[6],12383,rationale,False
",",PUNCT,,",",0,[10],12383,rationale,False
and,CCONJ,,and,1,[12],12383,rationale,False
days,NOUN,,day,1,[14],12383,rationale,True
=,PRON,,=,1,[15],12383,rationale,False
(,PUNCT,,(,0,[16],12383,rationale,False
*,SYM,,*,1,[18],12383,rationale,False
),PUNCT,,),0,[20],12383,rationale,False
=,VERB,,=,1,[21],12383,rationale,True
...,PUNCT,,...,0,[24],12383,rationale,False
(,PUNCT,,(,0,[25],12383,rationale,False
),PUNCT,,),0,[27],12383,rationale,False
"
",SPACE,,"
",0,[28],12383,rationale,False
Sum,PROPN,,Sum,1,[29],12383,rationale,True
of,ADP,,of,1,[30],12383,rationale,False
temperatures,NOUN,,temperature,1,[31],12383,rationale,True
on,ADP,,on,1,[32],12383,rationale,False
",",PUNCT,,",",0,[34],12383,rationale,False
",",PUNCT,,",",0,[36],12383,rationale,False
and,CCONJ,,and,1,[38],12383,rationale,False
days,NOUN,,day,1,[40],12383,rationale,True
-,PUNCT,,-,0,[41],12383,rationale,False
(,PUNCT,,(,0,[42],12383,rationale,False
*,SYM,,*,1,[44],12383,rationale,False
),PUNCT,,),0,[46],12383,rationale,False
=,VERB,,=,1,[47],12383,rationale,True
....,PUNCT,,....,0,[50],12383,rationale,False
(,PUNCT,,(,0,[51],12383,rationale,False
),PUNCT,,),0,[53],12383,rationale,False
"
",SPACE,,"
",0,[54],12383,rationale,False
Subtracting,PROPN,,Subtracting,1,[55],12383,rationale,True
(,PUNCT,,(,0,[56],12383,rationale,False
),PUNCT,,),0,[58],12383,rationale,False
From,ADP,,from,1,[59],12383,rationale,False
(,PUNCT,,(,0,[60],12383,rationale,False
),PUNCT,,),0,[62],12383,rationale,False
",",PUNCT,,",",0,[63],12383,rationale,False
we,PRON,,we,1,[64],12383,rationale,False
get,VERB,,get,1,[65],12383,rationale,True
:,PUNCT,,:,0,[66],12383,rationale,False
"
",SPACE,,"
",0,[67],12383,rationale,False
Temp,PROPN,PERSON,Temp,1,[68],12383,rationale,True
",",PUNCT,,",",0,[69],12383,rationale,False
on,ADP,,on,1,[70],12383,rationale,False
day,NOUN,,day,1,[72],12383,rationale,True
-,PUNCT,,-,0,[73],12383,rationale,False
Temp,PROPN,,Temp,1,[74],12383,rationale,True
on,ADP,,on,1,[75],12383,rationale,False
=,VERB,,=,1,[78],12383,rationale,True
.,PUNCT,,.,0,[81],12383,rationale,False
"
",SPACE,,"
",0,[82],12383,rationale,False
Let,VERB,,let,1,[83],12383,rationale,True
the,DET,,the,1,[84],12383,rationale,False
temperatures,NOUN,,temperature,1,[85],12383,rationale,True
on,ADP,,on,1,[86],12383,rationale,False
and,CCONJ,,and,1,[88],12383,rationale,False
days,NOUN,,day,1,[90],12383,rationale,True
be,VERB,,be,1,[91],12383,rationale,True
and,CCONJ,,and,1,[93],12383,rationale,False
respectively,ADV,,respectively,1,[96],12383,rationale,True
.,PUNCT,,.,0,[97],12383,rationale,False
"
",SPACE,,"
",0,[98],12383,rationale,False
Then,ADV,,then,1,[99],12383,rationale,True
",",PUNCT,,",",0,[100],12383,rationale,False
-,PUNCT,,-,0,[102],12383,rationale,False
7x,PROPN,,7x,1,[103],12383,rationale,True
=,SYM,,=,1,[104],12383,rationale,False
or,CCONJ,,or,1,[106],12383,rationale,False
x,NOUN,,x,1,[107],12383,rationale,True
=,NOUN,,=,1,[108],12383,rationale,True
.,PUNCT,,.,0,[110],12383,rationale,False
Answer,NOUN,,answer,1,[111],12383,rationale,True
:,PUNCT,,:,0,[112],12383,rationale,False
D,PROPN,,D,1,[113],12383,rationale,True
"
",SPACE,,"
",0,[114],12383,rationale,False
Temperature,PROPN,,Temperature,1,[115],12383,rationale,True
on,ADP,,on,1,[116],12383,rationale,False
the,DET,,the,1,[117],12383,rationale,False
day,NOUN,,day,1,[119],12383,rationale,True
=,NOUN,,=,1,[120],12383,rationale,True
=,VERB,,=,1,[122],12383,rationale,True
.,PUNCT,,.,0,[125],12383,rationale,False
Time,NOUN,,time,1,[0],36718,rationale,True
to,PART,,to,1,[1],36718,rationale,False
paint,VERB,,paint,1,[2],36718,rationale,True
each,DET,,each,1,[3],36718,rationale,False
wall,NOUN,,wall,1,[4],36718,rationale,True
as,SCONJ,,as,1,[5],36718,rationale,False
given,VERB,,give,1,[6],36718,rationale,True
in,ADP,,in,1,[7],36718,rationale,False
problem,NOUN,,problem,1,[8],36718,rationale,True
:,PUNCT,,:,0,[9],36718,rationale,False
"
",SPACE,,"
",0,[10],36718,rationale,False
AC,PROPN,ORG,AC,1,[11],36718,rationale,True
=,AUX,,=,1,[12],36718,rationale,False
4 hours,NUM,TIME,4 hour,2,"[13, 14]",36718,rationale,True
"
",SPACE,,"
",0,[15],36718,rationale,False
BC,PROPN,ORG,BC,1,[16],36718,rationale,True
=,SYM,,=,1,[17],36718,rationale,False
2 hours,NUM,TIME,2 hour,2,"[18, 19]",36718,rationale,True
"
",SPACE,,"
",0,[20],36718,rationale,False
AB,PROPN,,AB,1,[21],36718,rationale,True
=,VERB,,=,1,[22],36718,rationale,True
6 hours,NUM,TIME,6 hour,2,"[23, 24]",36718,rationale,True
"
",SPACE,,"
",0,[25],36718,rationale,False
Since,SCONJ,,since,1,[26],36718,rationale,False
he,PRON,,he,1,[27],36718,rationale,False
works,VERB,,work,1,[28],36718,rationale,True
at,ADP,,at,1,[29],36718,rationale,False
constant,ADJ,,constant,1,[30],36718,rationale,True
rate,NOUN,,rate,1,[31],36718,rationale,True
and,CCONJ,,and,1,[32],36718,rationale,False
it,PRON,,it,1,[33],36718,rationale,False
takes,VERB,,take,1,[34],36718,rationale,True
him,PRON,,he,1,[35],36718,rationale,False
twice,ADV,,twice,1,[36],36718,rationale,True
as,ADV,,as,1,[37],36718,rationale,True
long,ADJ,,long,1,[38],36718,rationale,True
to,PART,,to,1,[39],36718,rationale,False
paint,VERB,,paint,1,[40],36718,rationale,True
AC,PROPN,ORG,AC,1,[41],36718,rationale,True
compared,VERB,,compare,1,[42],36718,rationale,True
to,ADP,,to,1,[43],36718,rationale,False
BC,PROPN,ORG,BC,1,[44],36718,rationale,True
"
",SPACE,,"
",0,[45],36718,rationale,False
AC=2BC,PROPN,ORG,AC=2BC,1,[46],36718,rationale,True
"
",SPACE,,"
",0,[47],36718,rationale,False
Plug,PROPN,,Plug,1,[48],36718,rationale,True
in,ADP,,in,1,[49],36718,rationale,False
for,ADP,,for,1,[51],36718,rationale,False
A,NOUN,,a,1,[52],36718,rationale,True
and,CCONJ,,and,1,[53],36718,rationale,False
you,PRON,,you,1,[54],36718,rationale,False
find,VERB,,find,1,[55],36718,rationale,True
that,SCONJ,,that,1,[56],36718,rationale,False
B=3,X,,b=3,1,[57],36718,rationale,False
"
",SPACE,,"
",0,[58],36718,rationale,False
Since,SCONJ,,since,1,[59],36718,rationale,False
painting,VERB,,paint,1,[60],36718,rationale,True
AB,PROPN,,AB,1,[61],36718,rationale,True
takes,VERB,,take,1,[62],36718,rationale,True
times,NOUN,,time,1,[64],36718,rationale,True
as,ADV,,as,1,[65],36718,rationale,True
long,ADJ,,long,1,[66],36718,rationale,True
compared,VERB,,compare,1,[67],36718,rationale,True
to,ADP,,to,1,[68],36718,rationale,False
BC,PROPN,ORG,BC,1,[69],36718,rationale,True
",",PUNCT,,",",0,[70],36718,rationale,False
"
",SPACE,,"
",0,[71],36718,rationale,False
"AB=3BC
Plug",PROPN,PRODUCT,"AB=3BC
Plug",2,"[72, 73, 74]",36718,rationale,True
in,ADP,,in,1,[75],36718,rationale,False
for,ADP,,for,1,[77],36718,rationale,False
A,NOUN,,a,1,[78],36718,rationale,True
and,CCONJ,,and,1,[79],36718,rationale,False
for,ADP,,for,1,[81],36718,rationale,False
B,NOUN,,b,1,[82],36718,rationale,True
and,CCONJ,,and,1,[83],36718,rationale,False
you,PRON,,you,1,[84],36718,rationale,False
find,VERB,,find,1,[85],36718,rationale,True
that,SCONJ,,that,1,[86],36718,rationale,False
C=2,PROPN,,C=2,1,[87],36718,rationale,True
"
",SPACE,,"
",0,[88],36718,rationale,False
A*B*C=6,NUM,,a*b*c=6,1,[89],36718,rationale,False
*,NUM,,*,1,[90],36718,rationale,False
*,SYM,,*,1,[92],36718,rationale,False
"
",SPACE,,"
",0,[96],36718,rationale,False
Answer,NOUN,,answer,1,[97],36718,rationale,True
:,PUNCT,,:,0,[98],36718,rationale,False
C,NOUN,,c,1,[99],36718,rationale,True
X,NOUN,,x,1,[0],69327,rationale,True
=,SYM,,=,1,[1],69327,rationale,False
),PUNCT,,),0,[7],69327,rationale,False
),PUNCT,,),0,[8],69327,rationale,False
"
",SPACE,,"
",0,[9],69327,rationale,False
=,SYM,,=,1,[10],69327,rationale,False
),PUNCT,,),0,[16],69327,rationale,False
"
",SPACE,,"
",0,[17],69327,rationale,False
=,SYM,,=,1,[18],69327,rationale,False
"
",SPACE,,"
",0,[22],69327,rationale,False
X,NOUN,,x,1,[23],69327,rationale,True
=,NOUN,,=,1,[24],69327,rationale,True
=,NOUN,,=,1,[26],69327,rationale,True
=,X,,=,1,[27],69327,rationale,False
>,X,,>,1,[28],69327,rationale,False
5X,PROPN,,5X,1,[29],69327,rationale,True
+,PROPN,,+,1,[30],69327,rationale,True
7/3,NUM,,7/3,1,[31],69327,rationale,False
=,SYM,,=,1,[32],69327,rationale,False
>,X,,>,1,[33],69327,rationale,False
),PUNCT,,),0,[35],69327,rationale,False
+,PUNCT,,+,0,[36],69327,rationale,False
7/3,NUM,,7/3,1,[37],69327,rationale,False
"
",SPACE,,"
",0,[38],69327,rationale,False
=,X,,=,1,[39],69327,rationale,False
=,X,,=,1,[40],69327,rationale,False
>,X,,>,1,[41],69327,rationale,False
35/3,PROPN,,35/3,1,[42],69327,rationale,True
+,NUM,,+,1,[43],69327,rationale,False
7/3,NUM,,7/3,1,[44],69327,rationale,False
"
",SPACE,,"
",0,[45],69327,rationale,False
=,X,,=,1,[46],69327,rationale,False
=,X,,=,1,[47],69327,rationale,False
>,X,,>,1,[48],69327,rationale,False
42/3,PROPN,,42/3,1,[49],69327,rationale,True
"
",SPACE,,"
",0,[50],69327,rationale,False
=,X,,=,1,[51],69327,rationale,False
=,X,,=,1,[52],69327,rationale,False
>,X,,>,1,[53],69327,rationale,False
.,PUNCT,,.,0,[55],69327,rationale,False
"
",SPACE,,"
",0,[56],69327,rationale,False
E,PROPN,,E,1,[57],69327,rationale,True
),PUNCT,,),0,[58],69327,rationale,False
Sum,PROPN,,Sum,1,[0],49968,rationale,True
of,ADP,,of,1,[1],49968,rationale,False
=,SYM,,=,1,[3],49968,rationale,False
"
",SPACE,,"
",0,[5],49968,rationale,False
Average,ADJ,,average,1,[6],49968,rationale,True
=,PROPN,,=,1,[7],49968,rationale,True
*,PUNCT,,*,0,[9],49968,rationale,False
=,NUM,,=,1,[11],49968,rationale,False
"
",SPACE,,"
",0,[13],49968,rationale,False
Answer,PROPN,,Answer,1,[14],49968,rationale,True
C,PROPN,,C,1,[15],49968,rationale,True
8/15,NUM,,8/15,1,[16],49968,rationale,False
Initial,ADJ,,initial,1,[0],71969,rationale,True
:,PUNCT,,:,0,[1],71969,rationale,False
(,PUNCT,,(,0,[2],71969,rationale,False
=,SYM,,=,1,[4],71969,rationale,False
(,PUNCT,,(,0,[6],71969,rationale,False
bacterial,ADJ,,bacterial,1,[7],71969,rationale,True
species,NOUN,,specie,1,[8],71969,rationale,True
),PUNCT,,),0,[9],71969,rationale,False
"
",SPACE,,"
",0,[10],71969,rationale,False
After,ADP,,after,1,[11],71969,rationale,False
reduce,NOUN,,reduce,1,[12],71969,rationale,True
BY,PROPN,,BY,1,[13],71969,rationale,True
(,PUNCT,,(,0,[14],71969,rationale,False
x,PROPN,,x,1,[15],71969,rationale,True
-,PUNCT,,-,0,[16],71969,rationale,False
8)%,PROPN,,8)%,1,[17],71969,rationale,True
",",PUNCT,,",",0,[18],71969,rationale,False
the,DET,,the,1,[19],71969,rationale,False
percentage,NOUN,,percentage,1,[20],71969,rationale,True
of,ADP,,of,1,[21],71969,rationale,False
bacterial,ADJ,,bacterial,1,[22],71969,rationale,True
species,NOUN,,specie,1,[23],71969,rationale,True
=,VERB,,=,1,[24],71969,rationale,True
-,PUNCT,,-,0,[26],71969,rationale,False
(,PUNCT,,(,0,[27],71969,rationale,False
x,PROPN,,x,1,[28],71969,rationale,True
-,PUNCT,,-,0,[29],71969,rationale,False
8)%,PROPN,,8)%,1,[30],71969,rationale,True
=,SYM,,=,1,[31],71969,rationale,False
-,PUNCT,,-,0,[33],71969,rationale,False
(,PUNCT,,(,0,[34],71969,rationale,False
x,NOUN,,x,1,[35],71969,rationale,True
-,NOUN,,-,1,[36],71969,rationale,True
8)/100,NOUN,,8)/100,1,[37],71969,rationale,True
=,NOUN,,=,1,[38],71969,rationale,True
(,PUNCT,,(,0,[39],71969,rationale,False
-,PUNCT,,-,0,[41],71969,rationale,False
x)/100,NUM,,x)/100,1,[42],71969,rationale,False
"
",SPACE,,"
",0,[43],71969,rationale,False
Note,NOUN,,note,1,[44],71969,rationale,True
:,PUNCT,,:,0,[45],71969,rationale,False
Difference,NOUN,,difference,1,[46],71969,rationale,True
betweenreduce,NOUN,,betweenreduce,1,[47],71969,rationale,True
to[means,VERB,NORP,to[mean,1,[48],71969,rationale,True
:,PUNCT,,:,0,[49],71969,rationale,False
the,DET,,the,1,[50],71969,rationale,False
remain,NOUN,,remain,1,[51],71969,rationale,True
],PUNCT,,],0,[52],71969,rationale,False
andreduce,NOUN,,andreduce,1,[53],71969,rationale,True
by[means,PROPN,,by[means,1,[54],71969,rationale,True
:,PUNCT,,:,0,[55],71969,rationale,False
the,DET,,the,1,[56],71969,rationale,False
