word,part_of_speech,category,meaning,question_id,live,double
paint,VERB,none,To apply a colorant to a surface,36718,,
problem,NOUN,none,A question or issue requiring a solution,36718,,
rate,NOUN,technical term,Speed or frequency of occurrence,36718,,
rectangular,ADJ,technical term,Shape,36718,,
room,NOUN,organization name,Container,36718,,
take,VERB,,Action,36718,,
time,NOUN,,Duration,36718,,
twice,ADV,,Multiplicity,36718,,
volume,NOUN,technical term,Space,36718,,
wall,NOUN,organization name,Structure,36718,,
work,VERB,,Labor,36718,,
then,ADV,Organization Name,Indicates a sequence of events or actions.,36718,,
+,SYMBOL,Technical Term,Mathematical operation: addition,69327,,
35/3,NOUN,Technical Term,Numerical result,69327,,
42/3,NOUN,Technical Term,Numerical result,69327,,
5X,NOUN,Technical Term,Mathematical expression,69327,,
=,SYMBOL,Technical Term,Mathematical operation: equality,69327,,
>,SYMBOL,Technical Term,Mathematical operation: greater than,69327,,
value,NOUN,Technical Term,Numerical result or output,69327,,
x,VARIABLE,Technical Term,Unknown quantity in a mathematical expression,69327,,
Sum,NOUN,technical term,The result of adding numbers together,49968,,
average,ADJ,technical term,A central or typical value calculated from data,49968,,
Average,NOUN,technical term,The average of a series of numbers,49968,,
=,punct,technical term,Mathematical operation; comparison,49968,,
reduce,"VERB, NOUN",technical term,The act of decreasing the number or amount of something.,71969,,
-reduce,NOUN,technical term,A reduction in value or amount.,71969,,
bacteria,NOUN,technical term,Single-celled microorganisms that exist in various environments,71969,,
bacterial,,technical term,Relating to bacteria.,71969,,
BY,ADP (preposition),,Indicates reduction relative to a value,71969,,
8)/100,NOUN,,Percentage or proportion represented numerically.,71969,,
=,"VERB, NOUN, PROPN",,Indicates equality or comparison.,71969,,
able,ADJ,,Capable of doing something or possessing a certain quality.,71969,,
andreduce,NOUN,,,71969,,
8)%,PERCENTAGE,Technical Term,Percentage reduction,71969,,
betweenreduce,NOUN,technical term,"The act of reducing something by a certain percentage, particularly in the context of bacterial analysis.",71969,,
body,NOUN,individual name,"Refers to the human body as a whole, specifically regarding its microbial ecosystem.",71969,,
budget,NOUN,technical term,Financial allocation specifically for scientific research tasks.,71969,,
certain,ADJ,organization name,"A group of researchers or scientists who are carrying out specific experiments or tasks, likely in a field related to microbiology or bioinformatics.",71969,,
computer,NOUN,technical term,"A digital device used for processing information, particularly for modeling and analyzing complex biological systems.",71969,,
create,VERB,technical term,"To develop or construct, especially as pertains to computer simulations or models.",71969,,
cut,NOUN,technical term,A reduction in funding or resources allocated for a specific project or research endeavor.,71969,,
difference,NOUN,technical term,"Discrepancy or contrast between quantities, values, or concepts, often expressed in numerical terms.",71969,,
find,VERB,technical term,To discover or locate through investigation or analysis.,71969,,
group,NOUN,organization name,A collection of people working together on a specific task or goal.,71969,,
human,ADJ,Individual name, Relating to or characteristic of humans.,71969,,
inhabit,VERB,technical term,To live in or occupy a place.,71969,,
initial,ADJ,,Existing at the beginning or starting point.,71969,,
know,VERB,,To have knowledge of something; to be familiar with something.,71969,,
list,NOUN,,"A collection of items, arranged in a particular order.",71969,,
many,ADJ,,A large or unspecified quantity.,71969,,
model,"NOUN, VERB",technical term,"A simplified representation of something, used for understanding or explaining it; to create a representation of something.",71969,,
note,NOUN,technical term,A written observation or remark; a significant fact or detail.,71969,,
number,NOUN,,A quantity or amount expressed numerically; a representative symbol representing an individual element in a set or sequence.,71969,,
percentage,NOUN,technical term,A measure of proportion or extent,71969,,
plan,VERB,organization name,To conceive and organize an undertaking,71969,,
reduce,"NOUN, VERB",technical term,To lessen in amount or intensity,71969,,
remain,NOUN,technical term,To persist or continue to exist,71969,,
research,NOUN,organization name,Systematic inquiry into a subject to discover facts and principles,71969,,
selection,NOUN,technical term,The act of choosing something from a set,71969,,
so,ADV,,Therefore or consequently,71969,,
specie,NOUN,technical term,A species or variety of a living organism,71969,,
term,NOUN,technical term,a word or phrase with a specific meaning,71969,,
to[mean,VERB,NORP,To intend or have in mind ,71969,,
x,NOUN,Technical Term,Unknown Quantity or Variable Representing Bacterial Species,71969,,
x%,NOUN,NORP,Percent of Bacterial Species,71969,,
(x)/100,PROPN,Technical Term,Fraction of Bacterial Species,71969,,
−,PROPN,Technical Term,Minus Sign/Difference Operator in Math,71969,,
AB,PROPN,Organization Name,Individuals A and B as a unit,13250,,
BA,PROPN,Organization Name,Individuals B and A as a unit,13250,,
DC,PROPN,Organization Name,Individuals D and C as a unit,13250,,
*,PROPN,,,13250,,
A,PROPN,Individual Name,,13250,,
B,PROPN,Individual Name,,13250,,
C,PROPN,Individual Name,,13250,,
D,PROPN,Individual Name,,13250,,
E,PROPN,Individual Name,,13250,,
F,PROPN,Individual Name,,13250,,
F.,PROPN,Individual Name,Person,13250,,
a,NOUN,Technical Term,Number,13250,,
arrange,VERB,,Order,13250,,
arrangement,NOUN,Technical Term,Formation,13250,,
arrangements}={total}-{restriction}=6!-4!*2,PROPN,,Mathematical Expression,13250,,
as,ADV,,Comparative,13250,,
b,NOUN,Individual Name,Person,13250,,
case,NOUN,Technical Term,Scenario,13250,,
cd,NOUN,Organization Name,Musical group,13250,,
consider,VERB,,Evaluation,13250,,
d,NOUN,individual name,person,13250,,
find,VERB,none,locate or discover,13250,,
hence,ADV,none,"therefore, consequently",13250,,
let,VERB,none,assume or suppose,13250,,
many,ADJ,none,a large quantity,13250,,
multiply,VERB,none,to increase or enlarge,13250,,
next,ADV,none,following in order,13250,,
now,ADV,none,at the present time,13250,,
number,NOUN,none,a quantity,13250,,
other,ADJ,none,different from one already mentioned,13250,,
people,NOUN,organization name,Human beings considered collectively as a social group,13250,,
row,NOUN,organization name,A line of seats or places arranged in a row,13250,,
seat,VERB,technical term,To place oneself in a seat,13250,,
single,ADJ,technical term,"One, or existing as one unit",13250,,
so,ADV,organization name,To such an extent; in this way,13250,,
such,ADJ,technical term,"Of that kind, or to that degree",13250,,
total,ADJ,organization name,The sum total; the complete amount,13250,,
unit,NOUN,technical term,"A single, inseparable part or member of a whole, as opposed to parts",13250,,
way,NOUN,organization name,"A method, way, or manner of doing something",13250,,
well,ADV,technical term,In a good or satisfactory manner; successfully,13250,,
f(2a),PROPN,Technical Term,Mathematical function,3450,,
f(a)=3a+6,"PROPN, NOUN",Technical Term,Mathematical equation,3450,,
value,NOUN,,Result or outcome,3450,,
=,"VERB, NOUN",,,3450,,
(f(2a)+f(a)),Noun,Technical Term,Sum of two mathematical expressions involving a variable 'a',3450,,
=,"VERB, NOUN",Technical Term,Comparison,15858,,
John,PROPN,Individual Name,Person,15858,,
Malachi,PROPN,Individual Name,Person,15858,,
Probability,PROPN,Technical Term,Statistical Concept,15858,,
morning,NOUN,Time,Portion of Day,15858,,
probability,NOUN,Technical Term,Statistical Concept,15858,,
begin,VERB,,,15858,,
camping,NOUN,,,15858,,
following,ADJ,,,15858,,
home,ADV,,,15858,,
question,NOUN,technical term,Query or issue addressed in a context of analysis.,15858,,
rain,"NOUN, VERB",technical term,"Precipitation occurrence, signifying meteorological factors.",15858,,
re-phrase,VERB,organization name,To clarify or modify the formulation of a query for improved understanding.,15858,,
return,VERB,technical term,To revert to an initial state or destination after a period of absence.,15858,,
therefore,ADV,individual name,Following as a logical consequence or implication.,15858,,
vacation,NOUN,organization name,A period of leave or extended recreational absence from work or study.,15858,,
=,VERB,technical term,is equal to,56794,,
Quantity,NOUNS,technical term,amount of milk,56794,,
T,PROPN,Technical Term,Capacity of the can,56794,,
T.,PROPN,Technical Term,  ,56794,,
add,VERB,technical term,insert/include,56794,,
be,VERB,technical term,exist,56794,,
become,VERB,technical term,change to a new state,56794,,
can,NOUN,Technical Term,container for holding liquids,56794,,
capacity,NOUN,technical term,maximum volume a container can hold,56794,,
fill,VERB,technical term,make full,56794,,
find,VERB,Technical Term,Solve a problem,56794,,
full,ADJ,Organization Name,Complete,56794,,
let,VERB,Individual Name,Allow,56794,,
litre,NOUN,Technical Term,Unit of Volume,56794,,
milk,NOUN,Organization Name,Dairy Production,56794,,
mixture,NOUN,Technical Term,Combination,56794,,
quantity,NOUN,Technical Term,Amount,56794,,
ratio,NOUN,Individual Name,Proportion,56794,,
t,NOUN,Technical Term,Measurement,56794,,
water,NOUN,Organization Name,Hydrology,56794,,
advanced,ADJ,technical term,Education level,14968,,
college,NOUN,organization name,Educational institution,14968,,
company,NOUN,organization name,Business entity,14968,,
degree,NOUN,technical term,Educational qualification,14968,,
employee,NOUN,individual name,Person employed at a company,14968,,
female,NOUN,individual name,Biological sex,14968,,
have,VERB,,Possess,14968,,
male,NOUN,individual name,Biological sex,14968,,
many,ADJ,,Numerous,14968,,
number,NOUN,technical term,Quantity,14968,,
only,ADV,Technical Term,"Solely, exclusively",14968,,
rest,NOUN,Technical Term,The remaining portion or subset,14968,,
total,NOUN,Organization Name,Sum or complete amount,14968,,
+,POSTP,Technical Term,Addition,96669,,
5Q,PROPN,Individual Name,Variable representing a quantity,96669,,
P,PROPN,Organization Name,Variable Representing a quantity,96669,,
Q,PROPN,Individual Name,Variable representing a quantity,96669,,
R.,PROPN,NORP,"Individual name, Likely Represents Age",96669,,
age,NOUN,Technical Term,Measure of Duration in Lifespan,96669,,
as,ADV,Technical Term,"Comparison Relation, Similarity Indicator",96669,,
old,ADJ,Technical Term,Describes Maturity or Lifespan Stage,96669,,
p,NOUN,Technical Term,Variable Representing a quantity,96669,,
r,NOUN,individual name,Age,96669,,
term,NOUN,technical term,"Formula, Equation",96669,,
time,NOUN,technical term,Chronological measure,96669,,
z,NOUN,individual name,Age,96669,,
Diesel,PROPN,ORG,Fuel type,36071,,
cost,"VERB, NOUN",,Have a price,36071,,
diesel,NOUN,ORG,Fuel type,36071,,
explanation,NOUN,,Description or reason,36071,,
high,ADJ,,Greater in amount,36071,,
light,VERB,,Make brighter or less dark,36071,,
litre,NOUN,,Unit of volume,36071,,
month,NOUN,,Period of time,36071,,
more,ADJ,,A larger quantity,36071,,
petrol,NOUN,ORG,Fuel type,36071,,
price,NOUN,technical term,Cost,36071,,
rise,NOUN,technical term,Increase,36071,,
rs.4per,NOUN,individual name,Price of diesel per litre,36071,,
unchanged,ADJ,,Stable,36071,,
take,VERB,,,36071,,
co-efficient,NOUN,technical term,mathematical concept,94035,,
axis,NOUN,technical term,reference line in a coordinate plane,94035,,
downward,ADJ,technical term,direction towards a lower point,94035,,
enclose,VERB,None (not a specific concept),to surround or contain within a boundary,94035,,
coordinate,NOUN,technical term,a set of values for the positions of a point in space,94035,,
I,PROPN,Organization Name,text referring to an option,94035,,
III,PROPN,Organization Name,text referring to an option,94035,,
=,SYMB,Technical Term,Comparison Operator,94035,,
be,VERB,Organization Name,Company,94035,,
face,VERB,Individual Name,Person,94035,,
negative,ADJ,technical term,mathematical value less than zero,94035,,
parabola,"NOUN, PROPN",technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,,
positive,ADJ,technical term,mathematical value greater than zero,94035,,
follow,VERB,,,94035,,
lie,VERB,,,94035,,
plane,NOUN,,,94035,,
point,NOUN,,,94035,,
region,NOUN,,,94035,,
so,ADV,,,94035,,
x,PROPN,,,94035,,
x^2,NOUN,technical term,Mathematical Expression,94035,,
y,NOUN,technical term,Coordinate,94035,,
y-value,NOUN,technical term,Graph Value,94035,,
x-axis,NOUN,Technical Term,Horizontal axis on a 2D plane,94035,,
Rs.390,PROPN,organization name,Currency,78610,,
discount,NOUN,technical term,Financial Reduction,78610,,
list,VERB,technical term,To display items,78610,,
price,NOUN,technical term,Cost of an item,78610,,
sale,NOUN,technical term,Purchasing event,78610,,
saree,NOUN,organization name,Clothing,78610,,
successive,ADJ,technical term,Following in order,78610,,
-----5,PROPN,Individual Name,"A person, referring to a specific individual",40410,,
arrive,VERB,,The act of reaching a destination or coming into existence,40410,,
find,VERB,,To discover or locate something,40410,,
garrison,NOUN,Organization Name,A group of soldiers stationed in a particular place,40410,,
have,VERB,, To possess or own something,40410,,
last,VERB,,To continue for a period of time or exist until the end,40410,,
man,NOUN,Individual Name,"A human being, specifically referring to an adult male soldier",40410,,
more,ADJ,,A greater quantity or extent,40410,,
now,ADV,,At the present time,40410,,
only,ADV,,Solely or exclusively,40410,,
provision,NOUN,technical term,Resources or supplies needed for a specific purpose.,40410,,
reinforcement,NOUN,technical term,"An additional force or support, often used in military contexts or problems requiring solution enhancement.",40410,,
x*5,VERB,technical term,A mathematical operation signifying multiplication by five.  Used as a shorthand for calculations involving quantities multiplied by five.,40410,,
average,ADJ,technical term,representation of central value,2370,,
avg,ADJ,technical term,abbreviation for average,2370,,
employee,NOUN,organization name,person employed in a job,2370,,
month,NOUN,technical term,unit of time,2370,,
no,NOUN,,quantity,2370,,
.,PUNCT,,,2370,,
=,SYM,,,2370,,
find,VERB,,,2370,,
let,VERB,,,2370,,
no.of,NOUN,Technical Term,Quantity of something,2370,,
non,ADJ,Technical Term,Not an officer,2370,,
nonofficer,NOUN,Technical Term,A person who is not an officer,2370,,
office,NOUN,Organization Name,Workplace,2370,,
officer,NOUN,Individual Name,A person in a position of authority,2370,,
rs 110,ADP,PRODUCT,Currency amount,2370,,
rs.120,NOUN,PRODUCT,Currency amount,2370,,
salary,NOUN,PRODUCT,Payment for work,2370,,
average,NOUN,technical term,Mathematical calculation of central tendency,44277,,
certain,ADJ,,Specific or particular,44277,,
cricketer,NOUN,individual name,Person who plays the sport of cricket,44277,,
increase,VERB,,To make something larger or greater,44277,,
inning,NOUN,technical term,Part of a cricket match,44277,,
innings,NOUN,technical term,Plural of inning,44277,,
new,ADJ,,Recent or recently made,44277,,
run,NOUN,technical term,Score in the sport of cricket,44277,,
=,NOUN,,Equality,44277,,
have,VERB,,Possession,44277,,
x,PROPN,Technical Term,Variable representing an unknown quantity in a mathematical equation.,44277,,
way,NOUN,Technical Term,Method or approach to solving a problem.,44277,,
score,VERB,technical term,To achieve a specific amount in a game or competition.,44277,,
short,ADJ,n/a,Least extensive,44277,,
then,ADV,n/a,"Subsequently, following an action or event",44277,,
thereby,ADV,n/a,In a resulting manner; as a consequence,44277,,
Paul,PROPN,Individual Name,Person,46007,,
Peter,PROPN,Individual Name,Person,46007,,
age,NOUN,,A measurement of time passing.,46007,,
be,VERB,technical term,Equaled to,46007,,
be,VERB,technical term,Equaled to,46007,,
'e',PROPN,individual name,Value assigned for Peter's age,46007,,
e+,VERB,technical term,Sum up values,46007,,
e=,VERB,technical term,Equal to the sum of two things,46007,,
------eq1,NOUN,technical term,Mathematical Equation Identifier,46007,,
as,ADV,,Comparative Connector,46007,,
=,VERB,Technical Term,Equality Comparison,46007,,
a=15,NOUN,Technical Term,Variable Assignment,46007,,
e+a=35,NOUN,TECHNICAL TERM,Equation representing the sum of Peter's and Paul's ages.,46007,,
e=2(2a-e),NOUN,TECHNICAL TERM,Equation determining Peter's age when he was the same age as Paul currently is.,46007,,
Friend,NOUN,ORGANIZATION NAME,Refers to the relationship between Peter and Paul.,46007,,
e=20,ADJ,NORP,Represents Peter's age when Paul was the same age as him.,46007,,
e=35-a,NOUN,Technical Term,Mathematically defines Peter's current age based on Paul's age ('a').,46007,,
give,VERB,Action,To provide or bestow something to someone.,46007,,
hence,ADV,Reasoning,"As a result, therefore because of this.",46007,,
let,VERB,Action,To determine or assign a value to something.,46007,,
now,ADV,Time,"At the present time, currently.",46007,,
e=4a-2e,EQUATION,Technical Term,Mathematical representation of the relationship between Peter's age (e) and Paul's age (a),46007,,
old,ADJ,Technical Term,Age,46007,,
paul,PROPN,Individual Name,A person,46007,,
pauls,ADJ,Technical Term,belonging to Paul,46007,,
peter,PROPN,Individual Name,A person,46007,,
peters,PROPN,Technical Term,belonging to Peter,46007,,
present,ADJ,Technical Term,Current time/state,46007,,
sum,NOUN,Technical Term,Total value,46007,,
twice,ADV,Technical Term,Multiplication by 2,46007,,
*,NOUN,technical term,representation of an unspecified unit or entity,84482,,
A,PROPN,individual name,"label for a specific instance, potentially representing a vertex in this geometric context",84482,,
C,PROPN,individual name,"label for a specific instance, potentially representing a vertex in this geometric context",84482,,
Purple-Violet- Purple-Violet,PROPN,organization name,color combination used across multiple instances,84482,,
Violet-Purple,PROPN,technical term,specific color scheme,84482,,
adjacent,ADJ,technical term,relationship indicating proximity in context to specific vertexes within the triangle,84482,,
b,NOUN,technical term,"label for a specific instance, potentially representing a vertex in this geometric context",84482,,
base,NOUN,technical term,fundamental component of the triangle geometry,84482,,
color,NOUN,technical term,distinct visual attribute used in description,84482,,
different,ADJ,technical term,characteristic indicating non-equivalence of color attributes,84482,,
face,NOUN,technical term,Part of a geometrical figure,84482,,
grey,ADJ,technical term,A color,84482,,
paint,VERB,Technical Term,To apply color to a surface,84482,,
have,VERB,technical term,Possession,84482,,
number,NOUN,Technical Term,Quantifiable Value,84482,,
option,NOUN,technical term,"Choice, Possibility",84482,,
order,NOUN,Technical Term,"Sequence, Arrangement",84482,,
purple,NOUN,Technical Term,Color,84482,,
many,ADJ,,,84482,,
mark,VERB,,,84482,,
side,NOUN,technical term,Geometric Feature,84482,,
then,ADV,,Sequence Indicator,84482,,
thus,ADV,,Conclusion Indicator,84482,,
total,ADJ,,Final Amount or Sum,84482,,
triangle,NOUN,technical term,Geometric Shape,84482,,
use,VERB,,Application or Function,84482,,
violet,NOUN,color,Color Identifier,84482,,
way,NOUN,,Method or Approach,84482,,
=,PUNCT,,Comparison/Equality,57035,,
CAT,PROPN,ORG,Organization Name,57035,,
+,PUNCT,,Mathematical Operation (Addition),57035,,
*,PUNCT,,Mathematical Operation (Multiplication),57035,,
=,PUNCT,,Comparison/Equality,57035,,
B,PROPN,Individual Name,Represents a specific letter in the alphabet,57035,,
C,PROPN,Individual Name,Represents a specific letter in the alphabet,57035,,
a,NOUN,technical term,Refers to an individual letter,57035,,
add,VERB,,Perform a mathematical operation,57035,,
alphabet,NOUN,technical term,Set of letters used in writing,57035,,
equal,ADJ,,Represents mathematical equivalence,57035,,
have,VERB,,Possess or Hold,57035,,
length,NOUN,technical term,Measure of the size or extent,57035,,
letter,NOUN,technical term,Unit used in alphabets,57035,,
multiply,VERB,technical term,Operation of combining values,57035,,
number,NOUN,technical term,Symbol represented by quantitative value,57035,,
obtain,VERB,technical term,Procure or achieve a result,57035,,
place,NOUN,technical term,Position or location within a system,57035,,
sum,NOUN,technical term,Result of addition,57035,,
then,ADV,,Sequence indicator,57035,,
thus,ADV,,Consequence indicator,57035,,
value,NOUN,technical term,Numerical representation or worth,57035,,
word,NOUN,technical term,Sequence of letters forming a unit,57035,,
*,NOUN,Technical Term,Multiplication,78816,,
0.7)^2,PROPN,Technical Term,Numeric Value squared,78816,,
=,VERB,Technical Term,Equality Comparison,78816,,
B.,PROPN,Organization Name,Option choice,78816,,
C.,PROPN,Organization Name,Option choice,78816,,
D.,PROPN,NORP,Option choice,78816,,
E.,PROPN,Organization Name,Option choice,78816,,
H,PROPN,ORG,Height of cylinder,78816,,
Pi,PROPN,Technical Term,Mathematical constant,78816,,
Q.,PROPN,Individual Name,Question number indicator,78816,,
R,PROPN,Individual Name,Radius of the cylinder,78816,,
a.,NOUN,Technical Term,An option or choice,78816,,
change,NOUN,Higher-level Concept,Alteration or modification,78816,,
check,NOUN,Technical Term,Evaluate or inspect,78816,,
cylinder,NOUN,Technical Term,A three-dimensional shape with a circular base and a straight side,78816,,
decrease,NOUN,Higher-level Concept,Reduction in size or amount,78816,,
follow,VERB,Higher-level Concept,To adhere to a course of action,78816,,
give,VERB,Higher-level Concept,To provide or bestow,78816,,
R^2.H,NOUN,Technical Term,Formula for Cylinder Volume,78816,,
volume,NOUN,technical term,Amount of space filled by an object,78816,,
radius,NOUN,technical term,Distance from the center of a circle to its edge,78816,,
height,NOUN,technical term,Vertical measurement of an object,78816,,
increase,NOUN,general concept,Growth or amplification,78816,,
maximum,ADJ,general concept,Largest possible amount,78816,,
option,NOUN,general concept,Alternative choice,78816,,
reshape,VERB,general action,Alter the form or shape of something,78816,,
result,NOUN,general concept,Outcome or consequence,78816,,
great,ADJ,"multiple possible values, consider context from surrounding text","expressing a higher level concept, example: largest value",78816,,
value,NOUN,"multiple possible values, consider context from surrounding text","expresses a higher level concept, example: the maximum volume",78816,,
+39,PROPN,Individual Name,Age,29338,,
R*23,PROPN,Individual Name,Variable representing age,29338,,
add,VERB,,To increase,29338,,
addition,NOUN,Technical Term,Act of increasing a value,29338,,
average,ADJ,Technical Term,Central tendency measurement,29338,,
decrease,VERB,,To make smaller,29338,,
divide,NOUN,Technical Term,Mathematical operation to split into parts,29338,,
elegant,ADJ,,Attractive and visually pleasing,29338,,
=,"PROPN, NOUN",Technical Term,,29338,,
age,"VERB, NOUN",Individual Name,,29338,,
group,NOUN,organization name,A collection of people,29338,,
have,VERB,,To possess or own,29338,,
increase,NOUN,technical term,A rise or growth in value,29338,,
instead,ADV,,As an alternative,29338,,
lie,VERB,,To be situated or positioned,29338,,
mean,NOUN,technical term,Average value,29338,,
n,NOUN,technical term,Number of terms,29338,,
now,ADV,,At the present time,29338,,
other,ADJ,,Different from others,29338,,
people,NOUN,individual name,Humans,29338,,
person,NOUN,Individual Name,A human being,29338,,
r,NOUN,Technical Term,Represents the average age of the group before adding anyone new.,29338,,
ratio,NOUN,Technical Term,A comparison of two or more values.,29338,,
shift,NOUN,Technical Term,A change in value or position.,29338,,
side,NOUN,Technical Term,One of two contrasting aspects or positions.,29338,,
simple,ADJ,,Easy to understand or do.,29338,,
solution,NOUN,Technical Term,A way of solving a problem or dealing with a situation.,29338,,
statement,NOUN,Technical Term,A declaration or assertion that expresses something as true or real.,29338,,
term,NOUN,Technical Term,A word or phrase with a specific meaning in a particular field or context.,29338,,
value,NOUN,Technical Term,"The amount, rate, or intensity of something.",29338,,
