lemma,word,part_of_speech,category,meaning,question_id,code
=,=,NOUN,,Represents equality or comparison,54084,r002
c,C,NOUN,,A quantity or amount.,54084,r010
=,=,VERB,,Represents equality or comparison,54084,r002
b,B,NOUN,,A quantity or amount.,54084,r009
=,=,NOUN,,Represents equality or comparison,54084,r002
a,A,NOUN,,A quantity or amount.,54084,r008
b,B,NOUN,,A quantity or amount.,54084,r009
b,B,NOUN,,A quantity or amount.,54084,r009
c,C,NOUN,,A quantity or amount.,54084,r010
=,=,NOUN,,Represents equality or comparison,54084,r002
a,A,NOUN,,A quantity or amount.,54084,r008
b,B,NOUN,,A quantity or amount.,54084,r009
c,C,NOUN,,A quantity or amount.,54084,r010
A;s,A;s,PROPN,ORG,"Refers to a company, group, or institution",54084,r004
share,share,NOUN,technical term,A portion allocated from a whole,54084,r015
=,=,PROPN,,Represents equality or comparison,54084,r002
=,=,NOUN,,Represents equality or comparison,54084,r002
r,Rs,NOUN,,abbreviation for rupees,54084,r013
b,B,NOUN,,A quantity or amount.,54084,r009
share,share,NOUN,technical term,A portion allocated from a whole,54084,r015
=,=,NOUN,,Represents equality or comparison,54084,r002
=,=,NOUN,,Represents equality or comparison,54084,r002
r,Rs,NOUN,,abbreviation for rupees,54084,r013
c,C,NOUN,,A quantity or amount.,54084,r010
share,share,NOUN,technical term,A portion allocated from a whole,54084,r015
=,=,NOUN,,Represents equality or comparison,54084,r002
r,Rs,NOUN,,abbreviation for rupees,54084,r013
let,Let,VERB,Technical Term,Define Value,13920,r007
initial,initial,ADJ,technical term,Start value,13920,r005
price,price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009
price,Price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009
discount,discount,NOUN,technical term,Reduction in price,13920,r004
=,=,NOUN,Technical Term,Equality,13920,r002
price,Price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009
discount,discount,NOUN,technical term,Reduction in price,13920,r004
=,=,NOUN,Technical Term,Equality,13920,r002
discount,discount,NOUN,technical term,Reduction in price,13920,r004
=,=,NOUN,Technical Term,Equality,13920,r002
so,So,ADV,,Therefore,13920,r011
price,Price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009
percentage,percentage,NOUN,technical term,Proportion or ratio expressed as a fraction of 100,13920,r008
sale,sale,NOUN,technical term,Promotional event offering reduced prices,13920,r010
price,price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009
=,=,PROPN,Technical Term,Equality,13920,r002
*,*,NOUN,Technical Term,Placeholder,13920,r001
sum,sum,NOUN,technical term,Total value,81305,r006
number,numbers,NOUN,technical term,Quantifiable data,81305,r004
number,number,NOUN,technical term,Quantifiable data,81305,r004
multiply,multiplied,VERB,technical term,Numerical operation,81305,r002
new,new,ADJ,organization name,Set of numbers,81305,r003
sum,sum,NOUN,technical term,Total value,81305,r006
average,average,NOUN,technical term,Mathematical calculation,81305,r001
then,then,ADV,organization name,Sequence of operations,81305,r007
term,term,NOUN,technical term,"each individual element in a sequence, often referred to as a number or component",18645,r008
term,term,NOUN,technical term,"each individual element in a sequence, often referred to as a number or component",18645,r008
=,=,VERB,technical term,expression of equality,18645,r001
a+3d)+(a+11d,a+3d)+(a+11d,NOUN,technical term,the sum of the 4th and 12th terms of an arithmetic progression,18645,r003
=,=,VERB,technical term,expression of equality,18645,r001
now,Now,ADV,,at the present time,18645,r005
Sum,Sum,PROPN,individual name,the total amount obtained by adding together all elements,18645,r002
term,terms,NOUN,technical term,"each individual element in a sequence, often referred to as a number or component",18645,r008
=,=,PROPN,technical term,expression of equality,18645,r001
=,=,PROPN,technical term,expression of equality,18645,r001
=,=,PROPN,technical term,expression of equality,18645,r001
explanation,Explanation,NOUN,technical term,Describing a process or concept,12383,r011
Sum,Sum,PROPN,Technical Term,Represents the total of values,12383,r005
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r016
day,days,NOUN,Organization Name,Specifies a period of 24 hours,12383,r010
=,=,VERB,Technical Term,Represents equality or calculation,12383,r002
Sum,Sum,PROPN,Technical Term,Represents the total of values,12383,r005
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r016
day,days,NOUN,Organization Name,Specifies a period of 24 hours,12383,r010
=,=,VERB,Technical Term,Represents equality or calculation,12383,r002
Subtracting,Subtracting,PROPN,Technical Term,Mathematical operation performed on values,12383,r004
get,get,VERB,,,12383,r012
Temp,Temp,PROPN,PERSON,Short form for 'temperature',12383,r006
day,day,NOUN,Organization Name,Specifies a period of 24 hours,12383,r010
Temp,Temp,PROPN,Technical Term,Short form for 'temperature',12383,r006
=,=,VERB,Technical Term,Represents equality or calculation,12383,r002
let,Let,VERB,,,12383,r013
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r016
day,days,NOUN,Organization Name,Specifies a period of 24 hours,12383,r010
be,be,VERB,,,12383,r009
respectively,respectively,ADV,,In the order stated,12383,r015
then,Then,ADV,,,12383,r017
7x,7x,PROPN,Individual Name,Temperature on the 1st day,12383,r001
x,x,NOUN,technical term,Unknown variable,12383,r019
=,=,NOUN,Technical Term,Represents equality or calculation,12383,r002
answer,Answer,NOUN,Individual Name,Solution to Problem,12383,r007
D,D,PROPN,Individual Name,Answer to the Question,12383,r003
time,Time,NOUN,,Duration,36718,r035
paint,paint,VERB,none,To apply a colorant to a surface,36718,r028
wall,wall,NOUN,organization name,Structure,36718,r038
give,given,VERB,none,To provide or supply information,36718,r025
problem,problem,NOUN,none,A question or issue requiring a solution,36718,r029
AC,AC,PROPN,ORG,Organization name,36718,r007
4 hour,4 hours,NUM,TIME,Duration,36718,r002
BC,BC,PROPN,ORG,Organization name,36718,r009
2 hour,2 hours,NUM,TIME,Duration,36718,r001
AB,AB,PROPN,ORG,Organization name,36718,r005
=,=,VERB,,"Equality, Assignment",36718,r004
6 hour,6 hours,NUM,TIME,Duration,36718,r003
work,works,VERB,,Labor,36718,r039
constant,constant,ADJ,technical term,Rate of change or process,36718,r021
rate,rate,NOUN,technical term,Speed or frequency of occurrence,36718,r030
take,takes,VERB,,Action,36718,r033
twice,twice,ADV,,Multiplicity,36718,r036
as,as,ADV,Technical Term,Comparison,36718,r014
long,long,ADJ,technical term,Extension in length,36718,r026
paint,paint,VERB,none,To apply a colorant to a surface,36718,r028
AC,AC,PROPN,ORG,Organization name,36718,r007
compare,compared,VERB,Technical Term,Assessment,36718,r020
BC,BC,PROPN,ORG,Organization name,36718,r009
AC=2BC,AC=2BC,PROPN,ORG,Mathematical Equation,36718,r008
Plug,Plug,PROPN,Technical Term,Electrical Connection,36718,r012
a,A,NOUN,Individual Name,Dimension,36718,r013
find,find,VERB,none,To determine or discover a value,36718,r024
paint,painting,VERB,none,To apply a colorant to a surface,36718,r028
AB,AB,PROPN,ORG,Organization name,36718,r005
take,takes,VERB,,Action,36718,r033
time,times,NOUN,,Duration,36718,r035
as,as,ADV,Technical Term,Comparison,36718,r014
long,long,ADJ,technical term,Extension in length,36718,r026
compare,compared,VERB,Technical Term,Assessment,36718,r020
BC,BC,PROPN,ORG,Organization name,36718,r009
a,A,NOUN,Individual Name,Dimension,36718,r013
b,B,NOUN,Individual Name,Dimension,36718,r015
find,find,VERB,none,To determine or discover a value,36718,r024
C=2,C=2,PROPN,,Value of 'C' after calculations,36718,r010
x,X,NOUN,Technical Term,Unknown quantity in a mathematical expression,69327,r008
x,X,NOUN,Technical Term,Unknown quantity in a mathematical expression,69327,r008
=,=,NOUN,Technical Term,Mathematical operation: equality,69327,r005
=,=,NOUN,Technical Term,Mathematical operation: equality,69327,r005
5X,5X,PROPN,Technical Term,Mathematical expression,69327,r004
+,+,PROPN,Technical Term,Mathematical operation: addition,69327,r001
35/3,35/3,PROPN,Technical Term,Numerical result,69327,r002
42/3,42/3,PROPN,Technical Term,Numerical result,69327,r003
>,>,PROPN,Technical Term,Mathematical operation: greater than,69327,r006
Sum,Sum,PROPN,technical term,The result of adding numbers together,49968,r002
average,Average,ADJ,technical term,A central or typical value calculated from data,49968,r003
=,=,PROPN,technical term,Mathematical operation; comparison,49968,r001
initial,Initial,ADJ,,Existing at the beginning or starting point.,71969,r024
bacterial,bacterial,ADJ,technical term,Relating to bacteria.,71969,r010
specie,species,NOUN,technical term,A species or variety of a living organism,71969,r038
reduce,reduce,NOUN,technical term,The act of decreasing the number or amount of something.,71969,r033
reduce,reduce,NOUN,technical term,To lessen in amount or intensity,71969,r033
BY,BY,PROPN,,Indicates reduction relative to a value,71969,r006
x,x,PROPN,Technical Term,Unknown Quantity or Variable Representing Bacterial Species,71969,r041
8)%,8)%,PROPN,Technical Term,Percentage reduction,71969,r003
percentage,percentage,NOUN,technical term,A measure of proportion or extent,71969,r031
bacterial,bacterial,ADJ,technical term,Relating to bacteria.,71969,r010
specie,species,NOUN,technical term,A species or variety of a living organism,71969,r038
=,=,VERB,,Indicates equality or comparison.,71969,r005
x,x,PROPN,Technical Term,Unknown Quantity or Variable Representing Bacterial Species,71969,r041
8)%,8)%,PROPN,Technical Term,Percentage reduction,71969,r003
x,x,NOUN,Technical Term,Unknown Quantity or Variable Representing Bacterial Species,71969,r041
8)/100,8)/100,NOUN,,Percentage or proportion represented numerically.,71969,r004
=,=,NOUN,,Indicates equality or comparison.,71969,r005
note,Note,NOUN,technical term,A written observation or remark; a significant fact or detail.,71969,r029
difference,Difference,NOUN,technical term,"Discrepancy or contrast between quantities, values, or concepts, often expressed in numerical terms.",71969,r019
betweenreduce,betweenreduce,NOUN,technical term,"The act of reducing something by a certain percentage, particularly in the context of bacterial analysis.",71969,r011
to[mean,to[means,VERB,NORP,To intend or have in mind ,71969,r040
remain,remain,NOUN,technical term,To persist or continue to exist,71969,r034
andreduce,andreduce,NOUN,,,71969,r008
remain,remain,NOUN,technical term,To persist or continue to exist,71969,r034
-reduce,-reduce,NOUN,technical term,A reduction in value or amount.,71969,r002
so,So,ADV,,Therefore or consequently,71969,r037
number,number,NOUN,,A quantity or amount expressed numerically; a representative symbol representing an individual element in a set or sequence.,71969,r030
bacterial,bacterial,ADJ,technical term,Relating to bacteria.,71969,r010
specie,species,NOUN,technical term,A species or variety of a living organism,71969,r038
reduce,reducing,VERB,technical term,The act of decreasing the number or amount of something.,71969,r033
reduce,reducing,VERB,technical term,To lessen in amount or intensity,71969,r033
=,=,PROPN,,Indicates equality or comparison.,71969,r005
x,x,PROPN,Technical Term,Unknown Quantity or Variable Representing Bacterial Species,71969,r041
total,Total,ADJ,organization name,The sum total; the complete amount,13250,r037
arrangement,arrangements,NOUN,Technical Term,Formation,13250,r014
people,people,NOUN,organization name,Human beings considered collectively as a social group,13250,r031
row,row,NOUN,organization name,A line of seats or places arranged in a row,13250,r032
now,Now,ADV,none,at the present time,13250,r028
let,let,VERB,none,assume or suppose,13250,r024
find,find,VERB,none,locate or discover,13250,r022
arrangement,arrangements,NOUN,Technical Term,Formation,13250,r014
C,C,PROPN,Individual Name,,13250,r006
d,D,NOUN,individual name,person,13250,r021
as,as,ADV,,Comparative,13250,r016
well,well,ADV,technical term,In a good or satisfactory manner; successfully,13250,r040
A,A,PROPN,Individual Name,,13250,r002
b,B,NOUN,Individual Name,Person,13250,r017
seat,seated,VERB,technical term,To place oneself in a seat,13250,r033
next,next,ADV,none,following in order,13250,r027
other,other,ADJ,none,different from one already mentioned,13250,r030
consider,Consider,VERB,,Evaluation,13250,r020
single,single,ADJ,technical term,"One, or existing as one unit",13250,r034
unit,unit,NOUN,technical term,"A single, inseparable part or member of a whole, as opposed to parts",13250,r038
AB,AB,PROPN,Organization Name,Individuals A and B as a unit,13250,r003
cd,CD,NOUN,Organization Name,Musical group,13250,r019
E,E,PROPN,Individual Name,,13250,r009
F.,F.,PROPN,Individual Name,Person,13250,r011
now,Now,ADV,none,at the present time,13250,r028
unit,units,NOUN,technical term,"A single, inseparable part or member of a whole, as opposed to parts",13250,r038
arrange,arranged,VERB,,Order,13250,r013
multiply,multiply,VERB,none,to increase or enlarge,13250,r026
number,number,NOUN,none,a quantity,13250,r029
a,A,NOUN,Technical Term,Number,13250,r012
B,B,PROPN,Individual Name,,13250,r004
as,as,ADV,,Comparative,13250,r016
well,well,ADV,technical term,In a good or satisfactory manner; successfully,13250,r040
C,C,PROPN,Individual Name,,13250,r006
D,D,PROPN,Individual Name,,13250,r007
unit,unit,NOUN,technical term,"A single, inseparable part or member of a whole, as opposed to parts",13250,r038
arrange,arranged,VERB,,Order,13250,r013
way,ways,NOUN,organization name,"A method, way, or manner of doing something",13250,r039
AB,AB,PROPN,Organization Name,Individuals A and B as a unit,13250,r003
BA,BA,PROPN,Organization Name,Individuals B and A as a unit,13250,r005
cd,CD,NOUN,Organization Name,Musical group,13250,r019
DC,DC,PROPN,Organization Name,Individuals D and C as a unit,13250,r008
hence,Hence,ADV,none,"therefore, consequently",13250,r023
total,total,ADJ,organization name,The sum total; the complete amount,13250,r037
case,case,NOUN,Technical Term,Scenario,13250,r018
so,So,ADV,organization name,To such an extent; in this way,13250,r035
arrangements}={total}-{restriction}=6!-4!*2,arrangements}={total}-{restriction}=6!-4!*2,PROPN,,Mathematical Expression,13250,r015
*,*,PROPN,,,13250,r001
f(a)=3a+6,f(a)=3a+6,PROPN,Technical Term,Mathematical equation,3450,r004
=,=,VERB,,,3450,r001
=,=,NOUN,,,3450,r001
re-phrase,Re-phrasing,VERB,organization name,To clarify or modify the formulation of a query for improved understanding.,15858,r013
question,question,NOUN,technical term,Query or issue addressed in a context of analysis.,15858,r011
probability,probability,NOUN,Technical Term,Statistical Concept,15858,r010
rain,rain,NOUN,technical term,"Precipitation occurrence, signifying meteorological factors.",15858,r012
rain,rain,NOUN,technical term,"Precipitation occurrence, signifying meteorological factors.",15858,r012
rain,Rain,NOUN,technical term,"Precipitation occurrence, signifying meteorological factors.",15858,r012
Probability,Probability,PROPN,Technical Term,Statistical Concept,15858,r004
rain,rain,NOUN,technical term,"Precipitation occurrence, signifying meteorological factors.",15858,r012
=,=,VERB,Technical Term,Comparison,15858,r001
therefore,Therefore,ADV,individual name,Following as a logical consequence or implication.,15858,r015
probability,probability,NOUN,Technical Term,Statistical Concept,15858,r010
rain,rain,NOUN,technical term,"Precipitation occurrence, signifying meteorological factors.",15858,r012
=,=,NOUN,Technical Term,Comparison,15858,r001
let,Let,VERB,Individual Name,Allow,56794,r013
capacity,capacity,NOUN,technical term,maximum volume a container can hold,56794,r009
t,T,NOUN,Technical Term,Measurement,56794,r019
litre,litres,NOUN,Technical Term,Unit of Volume,56794,r014
Quantity,Quantity,PROPN,technical term,amount of milk,56794,r002
milk,milk,NOUN,Organization Name,Dairy Production,56794,r015
mixture,mixture,NOUN,Technical Term,Combination,56794,r016
add,adding,VERB,technical term,insert/include,56794,r005
milk,milk,NOUN,Organization Name,Dairy Production,56794,r015
=,=,NOUN,technical term,is equal to,56794,r001
T,T,PROPN,Technical Term,Capacity of the can,56794,r003
add,adding,VERB,technical term,insert/include,56794,r005
milk,milk,NOUN,Organization Name,Dairy Production,56794,r015
quantity,quantity,NOUN,Technical Term,Amount,56794,r017
milk,milk,NOUN,Organization Name,Dairy Production,56794,r015
mixture,mixture,NOUN,Technical Term,Combination,56794,r016
=,=,NOUN,technical term,is equal to,56794,r001
T.,T.,PROPN,Technical Term,  ,56794,r004
t,T,NOUN,Technical Term,Measurement,56794,r019
=,=,NOUN,technical term,is equal to,56794,r001
t,T,NOUN,Technical Term,Measurement,56794,r019
=,=,NOUN,technical term,is equal to,56794,r001
number,number,NOUN,technical term,Quantity,14968,r010
male,males,NOUN,individual name,Biological sex,14968,r008
number,number,NOUN,technical term,Quantity,14968,r010
male,males,NOUN,individual name,Biological sex,14968,r008
advanced,advanced,ADJ,technical term,Education level,14968,r001
degree,degrees,NOUN,technical term,Educational qualification,14968,r004
number,number,NOUN,technical term,Quantity,14968,r010
female,females,NOUN,individual name,Biological sex,14968,r006
advanced,advanced,ADJ,technical term,Education level,14968,r001
degree,degrees,NOUN,technical term,Educational qualification,14968,r004
p,P,NOUN,Technical Term,Variable Representing a quantity,96669,r010
5Q,5Q,PROPN,Individual Name,Variable representing a quantity,96669,r002
Q,Q,PROPN,Individual Name,Variable representing a quantity,96669,r005
p,P,NOUN,Technical Term,Variable Representing a quantity,96669,r010
+,+,PROPN,Technical Term,Addition,96669,r001
explanation,Explanation,NOUN,,Description or reason,36071,r004
price,price,NOUN,technical term,Cost,36071,r011
diesel,diesel,NOUN,ORG,Fuel type,36071,r003
price,price,NOUN,technical term,Cost,36071,r011
diesel,diesel,NOUN,ORG,Fuel type,36071,r003
price,price,NOUN,technical term,Cost,36071,r011
diesel,diesel,NOUN,ORG,Fuel type,36071,r003
price,price,NOUN,technical term,Cost,36071,r011
diesel,diesel,NOUN,ORG,Fuel type,36071,r003
high,higher,ADJ,,Greater in amount,36071,r005
price,price,NOUN,technical term,Cost,36071,r011
petrol,petrol,NOUN,ORG,Fuel type,36071,r010
co-efficient,co-efficient,NOUN,technical term,mathematical concept,94035,r006
x^2,x^2,PROPN,technical term,Mathematical Expression,94035,r024
negative,negative,ADJ,technical term,mathematical value less than zero,94035,r013
parabola,parabola,NOUN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
downward,downward,ADJ,technical term,direction towards a lower point,94035,r008
face,facing,VERB,Individual Name,Person,94035,r010
so,So,ADV,,,94035,r019
parabola,parabola,NOUN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
x,x,PROPN,,,94035,r020
axis,axis,NOUN,technical term,reference line in a coordinate plane,94035,r004
enclose,enclose,VERB,None (not a specific concept),to surround or contain within a boundary,94035,r009
point,points,NOUN,,,94035,r016
y-value,y-values,NOUN,technical term,Graph Value,94035,r026
parabola,parabola,NOUN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
positive,positive,ADJ,technical term,mathematical value greater than zero,94035,r017
y,y,PROPN,technical term,Coordinate,94035,r025
lie,lies,VERB,,,94035,r012
parabola,parabola,NOUN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
so,so,ADV,,,94035,r019
enclose,enclosed,VERB,None (not a specific concept),to surround or contain within a boundary,94035,r009
parabola,parabola,PROPN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
axis,axis,ADJ,technical term,reference line in a coordinate plane,94035,r004
y,y,PROPN,technical term,Coordinate,94035,r025
lie,lies,VERB,,,94035,r012
parabola,parabola,NOUN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
so,so,ADV,,,94035,r019
enclose,enclosed,VERB,None (not a specific concept),to surround or contain within a boundary,94035,r009
parabola,parabola,PROPN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
axis,axis,ADJ,technical term,reference line in a coordinate plane,94035,r004
y,y,PROPN,technical term,Coordinate,94035,r025
lie,lies,VERB,,,94035,r012
parabola,parabola,NOUN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
so,so,ADV,,,94035,r019
enclose,enclosed,VERB,None (not a specific concept),to surround or contain within a boundary,94035,r009
parabola,parabola,PROPN,technical term,a symmetrical curve formed by points equidistant from a fixed point (focus).,94035,r014
axis,axis,VERB,technical term,reference line in a coordinate plane,94035,r004
-----5,-----5,PROPN,Individual Name,"A person, referring to a specific individual",40410,r001
x*5,x*5,VERB,technical term,A mathematical operation signifying multiplication by five.  Used as a shorthand for calculations involving quantities multiplied by five.,40410,r013
let,Let,VERB,,,2370,r008
.,.,PROPN,,,2370,r001
officer,officers,NOUN,Individual Name,A person in a position of authority,2370,r015
=,=,PROPN,,,2370,r003
=,=,NOUN,,,2370,r003
=,=,NOUN,,Equality,44277,r001
x,x,PROPN,Technical Term,Variable representing an unknown quantity in a mathematical equation.,44277,r016
=,=,NOUN,,Equality,44277,r001
short,shortest,ADJ,,Least extensive,44277,r012
way,way,NOUN,Technical Term,Method or approach to solving a problem.,44277,r015
run,runs,VERB,technical term,Score in the sport of cricket,44277,r010
inning,innings,NOUN,technical term,Part of a cricket match,44277,r007
innings,innings,NOUN,technical term,Plural of inning,44277,r008
then,then,ADV,,"Subsequently, following an action or event",44277,r013
run,runs,NOUN,technical term,Score in the sport of cricket,44277,r010
let,let,VERB,Action,To determine or assign a value to something.,46007,r019
pauls,pauls,ADJ,Technical Term,belonging to Paul,46007,r023
age,age,NOUN,,A measurement of time passing.,46007,r007
peters,peters,PROPN,Technical Term,belonging to Peter,46007,r025
e+a=35,e+a=35,NOUN,TECHNICAL TERM,Equation representing the sum of Peter's and Paul's ages.,46007,r011
give,given,VERB,Action,To provide or bestow something to someone.,46007,r017
e=35-a,e=35-a,PROPN,PRODUCT,Mathematically defines Peter's current age based on Paul's age ('a').,46007,r014
------eq1,------eq1,NOUN,technical term,Mathematical Equation Identifier,46007,r002
peter,peter,PROPN,PERSON,A person,46007,r024
as,as,ADV,,Comparative Connector,46007,r008
old,old,ADJ,Technical Term,Age,46007,r021
paul,paul,PROPN,PERSON,A person,46007,r022
peter,peter,PROPN,PERSON,A person,46007,r024
age,age,NOUN,,A measurement of time passing.,46007,r007
pauls,pauls,ADJ,Technical Term,belonging to Paul,46007,r023
age,age,NOUN,,A measurement of time passing.,46007,r007
=,=,VERB,Technical Term,Equality Comparison,46007,r003
now,now,ADV,Time,"At the present time, currently.",46007,r020
peters,peters,PROPN,Technical Term,belonging to Peter,46007,r025
age,age,NOUN,,A measurement of time passing.,46007,r007
e=4a-2e,e=4a-2e,PROPN,Technical Term,Mathematical representation of the relationship between Peter's age (e) and Paul's age (a),46007,r015
a=15,a=15,PROPN,Technical Term,Variable Assignment,46007,r006
hence,hence,ADV,Reasoning,"As a result, therefore because of this.",46007,r018
e=20,e=20,PROPN,NORP,Represents Peter's age when Paul was the same age as him.,46007,r013
base,base,NOUN,technical term,fundamental component of the triangle geometry,84482,r008
triangle,triangle,NOUN,technical term,Geometric Shape,84482,r025
grey,grey,ADJ,technical term,A color,84482,r012
then,then,ADV,,Sequence Indicator,84482,r022
order,order,NOUN,Technical Term,"Sequence, Arrangement",84482,r018
adjacent,adjacent,ADJ,technical term,relationship indicating proximity in context to specific vertexes within the triangle,84482,r006
face,faces,NOUN,technical term,Part of a geometrical figure,84482,r011
paint,painted,VERB,Technical Term,To apply color to a surface,84482,r019
different,different,ADJ,technical term,characteristic indicating non-equivalence of color attributes,84482,r010
color,colors,NOUN,technical term,distinct visual attribute used in description,84482,r009
then,Then,ADV,,Sequence Indicator,84482,r022
side,sides,NOUN,technical term,Geometric Feature,84482,r021
paint,painted,VERB,Technical Term,To apply color to a surface,84482,r019
Violet-Purple,Violet-Purple,PROPN,technical term,specific color scheme,84482,r005
Purple-Violet- Purple-Violet,Purple-Violet- Purple-Violet,PROPN,PERSON,color combination used across multiple instances,84482,r004
option,options,NOUN,technical term,"Choice, Possibility",84482,r017
have,have,VERB,technical term,Possession,84482,r013
base,base,NOUN,technical term,fundamental component of the triangle geometry,84482,r008
paint,painted,VERB,Technical Term,To apply color to a surface,84482,r019
color,colors,NOUN,technical term,distinct visual attribute used in description,84482,r009
thus,thus,ADV,,Conclusion Indicator,84482,r023
total,total,ADJ,,Final Amount or Sum,84482,r024
number,number,NOUN,Technical Term,Quantifiable Value,84482,r016
way,ways,NOUN,,Method or Approach,84482,r028
paint,paint,VERB,Technical Term,To apply color to a surface,84482,r019
triangle,triangle,NOUN,technical term,Geometric Shape,84482,r025
*,*,NOUN,technical term,representation of an unspecified unit or entity,84482,r001
CAT,CAT,PROPN,ORG,Organization Name,57035,r004
=,=,PROPN,,Comparison/Equality,57035,r001
=,=,PROPN,,Comparison/Equality,57035,r001
volume,Volume,NOUN,technical term,Amount of space filled by an object,78816,r030
cylinder,cylinder,NOUN,Technical Term,A three-dimensional shape with a circular base and a straight side,78816,r017
=,=,PROPN,Technical Term,Equality Comparison,78816,r003
Pi,Pi,PROPN,Technical Term,Mathematical constant,78816,r009
R^2.H,R^2.H,PROPN,Technical Term,Formula for Cylinder Volume,78816,r013
check,Check,NOUN,Technical Term,Evaluate or inspect,78816,r016
option,options,NOUN,general concept,Alternative choice,78816,r025
give,given,VERB,Higher-level Concept,To provide or bestow,78816,r020
Q.,Q.,PROPN,Individual Name,Question number indicator,78816,r010
a.,A.,NOUN,Technical Term,An option or choice,78816,r014
=,=,VERB,Technical Term,Equality Comparison,78816,r003
decrease,decrease,NOUN,Higher-level Concept,Reduction in size or amount,78816,r018
H,H,PROPN,ORG,Height of cylinder,78816,r008
increase,increase,NOUN,general concept,Growth or amplification,78816,r023
B.,B.,PROPN,Organization Name,Option choice,78816,r004
=,=,NOUN,Technical Term,Equality Comparison,78816,r003
*,*,NOUN,Technical Term,Multiplication,78816,r001
increase,increase,NOUN,general concept,Growth or amplification,78816,r023
H,H,PROPN,ORG,Height of cylinder,78816,r008
decrease,decrease,NOUN,Higher-level Concept,Reduction in size or amount,78816,r018
R,R,PROPN,Individual Name,Radius of the cylinder,78816,r011
C.,C.,PROPN,Organization Name,Option choice,78816,r005
0.7)^2,0.7)^2,PROPN,Technical Term,Numeric Value squared,78816,r002
=,=,VERB,Technical Term,Equality Comparison,78816,r003
increase,increase,NOUN,general concept,Growth or amplification,78816,r023
H,H,PROPN,ORG,Height of cylinder,78816,r008
decrease,decrease,NOUN,Higher-level Concept,Reduction in size or amount,78816,r018
R,R,PROPN,Individual Name,Radius of the cylinder,78816,r011
D.,D.,PROPN,NORP,Option choice,78816,r006
=,=,VERB,Technical Term,Equality Comparison,78816,r003
decrease,decrease,NOUN,Higher-level Concept,Reduction in size or amount,78816,r018
