word,part_of_speech,category,meaning,question_id, word,source_text,text,source,meaning ,_meaning,"},   {",recently,rock,say
successful,ADJ,Technical Term,Successful outcome,20231124_5,,,,,,,,,,
sue,VERB,Technical Term,Initiate legal action,20231124_5,,,,,,,,,,
the Righteous Brothers,DET,Organization Name,Music Group,20231124_5,,,,,,,,,,
Bad Guy,PROPN,WORK_OF_ART,Music,20231208_3,,,,,,,,,,
Billie Eilish,PROPN,PERSON,Singer,20231208_3,,,,,,,,,,
Eilish,PROPN,"PERSON, NORP",Singer,20231208_3,,,,,,,,,,
Instagram,PROPN,SOCIAL_MEDIA,Platform,20231208_3,,,,,,,,,,
People,NOUN,ORGANIZATION,Magazine,20231208_3,,,,,,,,,,
Rolling Stone,PROPN,ORG,Music Magazine,20231208_3,,,,,,,,,,
Vanity Fair,PROPN,ORG,Magazine,20231208_3,,,,,,,,,,
Variety,PROPN,ORG,Entertainment Industry Publication,20231208_3,,,,,,,,,,
Variety's Hitmakers,PROPN,EVENT,Music Award Show,20231208_3,,,,,,,,,,
accuse,VERB,ACTION,To allege wrongdoing,20231208_3,,,,,,,,,,
ask,VERB,Organization Name,Request information or action,20231208_3,,,,,,,,,,
attract,VERB,Individual Name,Draw attention or interest,20231208_3,,,,,,,,,,
begin,VERB,Technical Term,Initiate or commence,20231208_3,,,,,,,,,,
call,VERB,Organization Name,Summon or convene,20231208_3,,,,,,,,,,
come,VERB,Technical Term,Arrive or approach,20231208_3,,,,,,,,,,
else,ADV,Individual Name,Different person or thing,20231208_3,,,,,,,,,,
end,NOUN,Organization Name,Termination or conclusion,20231208_3,,,,,,,,,,
event,NOUN,Technical Term,Significant occurrence or happening,20231208_3,,,,,,,,,,
instead,ADV,Organization Name,In place of or alternative to,20231208_3,,,,,,,,,,
intend,VERB,Technical Term,Purpose or desire,20231208_3,,,,,,,,,,
interview,NOUN,Organization Name,Media event,20231208_3,,,,,,,,,,
magazine,NOUN,Organization Name,Publication,20231208_3,,,,,,,,,,
matter,VERB,Technical Term,To be important,20231208_3,,,,,,,,,,
post,NOUN,Organization Name,Shared content online,20231208_3,,,,,,,,,,
publication,NOUN,Organization Name,Media Source,20231208_3,,,,,,,,,,
recent,ADJ,Technical Term,Time proximity,20231208_3,,,,,,,,,,
sarcastically,ADV,Technical Term,Tone of voice,20231208_3,,,,,,,,,,
sexuality,NOUN,Technical Term,Orientation or Identity,20231208_3,,,,,,,,,,
singer,NOUN,Individual Name,Music Performer,20231208_3,,,,,,,,,,
out,VERB,technical term,"to publicly reveal someone's private information, especially sexual orientation",20231208_3,,,,,,,,,,
speculation,NOUN,higher-level concept,Uncertainties or Assumptions about something,20231208_3,,,,,,,,,,
suggest,VERB,action,To propose or hint at something,20231208_3,,,,,,,,,,
talk,VERB,action,To engage in conversation,20231208_3,,,,,,,,,,
thank,VERB,action,To express gratitude,20231208_3,,,,,,,,,,
then,ADV,temporal,Following an earlier event or time,20231208_3,,,,,,,,,,
variety,NOUN,ORGANIZATION NAME,"A type of media covering various topics like music, entertainment, and news.",20231208_3,,,,,,,,,,
woman,NOUN,individual name,An adult female human being,20231208_3,,,,,,,,,,
Danish,ADJ,NORP,Nationality,20240105_14,,,,,,,,,,
King,NOUN,PERSON,Male Ruler,20240105_14,,,,,,,,,,
II,Number,Title,Ordinal Number,20240105_14,,,,,,,,,,
Crown Prince Frederik,PROPN,PERSON,Individual Name,20240105_14,,,,,,,,,,
King Salman,PROPN,PERSON,Individual Name,20240105_14,,,,,,,,,,
Britain,PROPN,GPE,Country,20240105_14,,,,,,,,,,
Felipe,PROPN,INDIVIDUAL NAME,Name of a Person,20240105_14,,,,,,,,,,
Denmark,Proper Noun,GPE,Country,20240105_14,,,,,,,,,,
Charles III,PROPN,Individual Name,,20240105_14,,,,,,,,,,
Margrethe,PROPN,Individual Name,Danish Monarch,20240105_14,,,,,,,,,,
Queen,PROPN,Organization Name,Royal Head of State,20240105_14,,,,,,,,,,
Saudi Arabia’s King Salman,PROPN,Individual Name,Ruler of Saudi Arabia,20240105_14,,,,,,,,,,
VI,PROPN,Individual Name,'King of Spain',20240105_14,,,,,,,,,,
abdication,NOUN,Technical Term,Monarch Renouncing the Throne,20240105_14,,,,,,,,,,
announce,VERB,Action,To make (something) publicly known,20240105_14,,,,,,,,,,
announcement,NOUN,Event,Official Public Declaration of News,20240105_14,,,,,,,,,,
hand,VERB,Action,To transfer power to another person,20240105_14,,,,,,,,,,
later this month,ADV,Timing,A period of time in the near future,20240105_14,,,,,,,,,,
Spain,PROPN,GPE,,20240105_14,,,,,,,,,,
monarch,NOUN,Individual Name,Ruler of a country,20240105_14,,,,,,,,,,
queen,NOUN,Individual Name,Female monarch,20240105_14,,,,,,,,,,
say,VERB,Technical Term,To express verbally,20240105_14,,,,,,,,,,
son,NOUN,Individual Name,Male offspring,20240105_14,,,,,,,,,,
surprise,NOUN,Organization Name,Unexpected event,20240105_14,,,,,,,,,,
this week,DET,DATE,Current week,20240105_14,,,,,,,,,,
throne,NOUN,Organization Name,Seat of royalty,20240105_14,,,,,,,,,,
Barbie,PROPN,PERSON,Film Character,20240105_8,,,,,,,,,,
Director,PROPN,PROFESSION,Filmmaker,20240105_8,,,,,,,,,,
America Ferrera,PROPN,PERSON,Actress,20240105_8,,,,,,,,,,
California,PROPN,LOCATION,State,20240105_8,,,,,,,,,,
Cillian Murphy,PROPN,PERSON,Actor,20240105_8,,,,,,,,,,
Emma Stone,PROPN,PERSON,Actress,20240105_8,,,,,,,,,,
Carey Mulligan,PROPN,PERSON,Actress,20240105_8,,,,,,,,,,
Christopher Nolan,PROPN,Individual Name,Film director,20240105_8,,,,,,,,,,
Emerald Fennell,PROPN,Individual Name,Film director,20240105_8,,,,,,,,,,
Greta Gerwig,PROPN,Individual Name,Film director,20240105_8,,,,,,,,,,
Margot,PROPN,PERSON,Actress,20240105_8,,,,,,,,,,
Martin Scorsese,PROPN,PERSON,Film Director,20240105_8,,,,,,,,,,
Palm Springs,PROPN,GPE,Location of Film Festival,20240105_8,,,,,,,,,,
Palm Springs International Film Festival Awards,PROPN,ORG,Annual Ceremony Recognizing Films and Performances,20240105_8,,,,,,,,,,
Robbie,PROPN,PERSON,Actress,20240105_8,,,,,,,,,,
Year,PROPN,,Time Period,20240105_8,,,,,,,,,,
actor,NOUN,,Performing Artist in Films or Theater,20240105_8,,,,,,,,,,
award,NOUN,,Recognition for Achievement,20240105_8,,,,,,,,,,
ceremony,NOUN,,Formal Event with Awards or Presentations,20240105_8,,,,,,,,,,
director,NOUN,,Filmmaker responsible for Artistic Vision,20240105_8,,,,,,,,,,
film,NOUN,technical term,"Cinema, Movies",20240105_8,,,,,,,,,,
star,NOUN,technical term,Actor,20240105_8,,,,,,,,,,
the Year,DET,EVENT,Annual Award,20240105_8,,,,,,,,,,
week,NOUN,DATE,A Specific Time Period,20240105_8,,,,,,,,,,
winner,NOUN,,Recipient of an Award,20240105_8,,,,,,,,,,
include,VERB,,,20240105_8,,,,,,,,,,
name,VERB,,,20240105_8,,,,,,,,,,
other,ADJ,,,20240105_8,,,,,,,,,,
present,VERB,,,20240105_8,,,,,,,,,,
"38,388th",ADJ,None,Ordinal number indicating position,20231222_3,,,,,,,,,,
Abdul-Jabbar,PROPN,ORG,"Basketball Player, Hall of Famer",20231222_3,,,,,,,,,,
February,PROPN,DATE,Month,20231222_3,,,,,,,,,,
James,PROPN,PERSON,"Basketball Player, Hall of Famer",20231222_3,,,,,,,,,,
Kareem Abdul-Jabbar,PROPN,ORG,"Basketball Team, Hall of Famer",20231222_3,,,,,,,,,,
Karl Malone,PROPN,PERSON,"Basketball Player, Hall of Famer",20231222_3,,,,,,,,,,
LeBron James,PROPN,PERSON,"Basketball Player, Hall of Famer",20231222_3,,,,,,,,,,
Los Angeles Lakers,PROPN,ORG,Basketbll Team,20231222_3,,,,,,,,,,
Michael Jordan,PROPN,PERSON,"Basketball Player, Hall of Famer",20231222_3,,,,,,,,,,
NBA,PROPN,ORG,Global Basketball League,20231222_3,,,,,,,,,,
career,NOUN,Technical Term,Profession or Period of Work,20231222_3,,,,,,,,,,
Wilt Chamberlain,PROPN,PERSON,Basketball Player,20231222_3,,,,,,,,,,
lead,VERB,,"Guide, Prevail",20231222_3,,,,,,,,,,
break,VERB,,"Surpass, Exceed",20231222_3,,,,,,,,,,
also,ADV,,,20231222_3,,,,,,,,,,
hold,VERB,,,20231222_3,,,,,,,,,,
become,VERB,,Achieve a New State,20231222_3,,,,,,,,,,
Laker,NOUN,PERSON,Basketball Player,20231222_3,,,,,,,,,,
play,VERB,,Participate in Basketball,20231222_3,,,,,,,,,,
point,NOUN,technical term,Score in sports,20231222_3,,,,,,,,,,
record,NOUN,technical term,Highest achieved score or performance,20231222_3,,,,,,,,,,
scorer,NOUN,technical term,Individual who scores points in sports,20231222_3,,,,,,,,,,
star,NOUN,individual name,Highly skilled and recognized athlete,20231222_3,,,,,,,,,,
attorney,NOUN,organization name,Legal profession,20231222_4,,,,,,,,,,
criminal,ADJ,,Law-Breaking Behavior,20231222_4,,,,,,,,,,
Alex Murdaugh,PROPN,Individual Name,"Former Lawyer, Involved in a High-Profile Criminal Trial",20231222_4,,,,,,,,,,
Florida,PROPN,GPE,US State,20231222_4,,,,,,,,,,
Georgia,PROPN,GPE,US State,20231222_4,,,,,,,,,,
Murdaugh,PROPN,Individual Name,Last Name of Defendant in a High-Profile Criminal Trial,20231222_4,,,,,,,,,,
North Carolina,PROPN,GPE,US State,20231222_4,,,,,,,,,,
South Carolina,PROPN,GPE,US State,20231222_4,,,,,,,,,,
convict,VERB,Action,Legal Ruling in a Criminal Trial,20231222_4,,,,,,,,,,
deliberate,VERB,Action,Careful Consideration or Discussion Before a Decision,20231222_4,,,,,,,,,,
find,VERB,Action,To discover or determine something.,20231222_4,,,,,,,,,,
former,ADJ,Individual Name,A person who held a particular position or role in the past.,20231222_4,,,,,,,,,,
guilty,ADJ,Legal Status,Legally responsible for a crime.,20231222_4,,,,,,,,,,
highest-profile,ADJ,Description,Receiving significant public attention or notoriety.,20231222_4,,,,,,,,,,
jury,NOUN,Group,A body of people selected to deliver a verdict in a legal trial.,20231222_4,,,,,,,,,,
less than three hour,ADJ,Time Duration,An amount of time shorter than three hours.,20231222_4,,,,,,,,,,
murder,VERB,Action,To unlawfully kill another person with malice aforethought.,20231222_4,,,,,,,,,,
one,NUM,Quantity,The number 1.,20231222_4,,,,,,,,,,
son,NOUN,Relationship,A male child in relation to his parents.,20231222_4,,,,,,,,,,
state,NOUN,Geographical Location,A US polity or political entity within a federal system.,20231222_4,,,,,,,,,,
trial,NOUN,Technical Term,Legal Proceeding,20231222_4,,,,,,,,,,
wife,NOUN,Individual Name,Spouse of a Person,20231222_4,,,,,,,,,,
year,NOUN,DATE,Period of Time,20231222_4,,,,,,,,,,
Canada,PROPN,GPE,Country,20240105_10,,,,,,,,,,
France,PROPN,GPE,Country,20240105_10,,,,,,,,,,
Haneda,PROPN,ORG,Airport,20240105_10,,,,,,,,,,
India,PROPN,GPE,Country,20240105_10,,,,,,,,,,
Japan,PROPN,GPE,Country,20240105_10,,,,,,,,,,
Japan Airlines,PROPN,ORG,Airline,20240105_10,,,,,,,,,,
Tokyo,PROPN,GPE,City,20240105_10,,,,,,,,,,
Tuesday,PROPN,DATE,Day of the week,20240105_10,,,,,,,,,,
airport,NOUN,,Transportation Hub,20240105_10,,,,,,,,,,
cause,VERB,,Create or Bring About,20240105_10,,,,,,,,,,
collide,VERB,,Action involving objects coming together with force.,20240105_10,,,,,,,,,,
collision,NOUN,,Event where objects crash into each other.,20240105_10,,,,,,,,,,
evacuate,VERB,,Process of moving people to safety from danger.,20240105_10,,,,,,,,,,
fireball,NOUN,,"Massive, burning spherical object.",20240105_10,,,,,,,,,,
flight,NOUN,,Journey through air in an aircraft.,20240105_10,,,,,,,,,,
hundred,NOUN,CARDINAL,Number representing a quantity.,20240105_10,,,,,,,,,,
incident,NOUN,,"Event or occurrence, often unplanned and noteworthy.",20240105_10,,,,,,,,,,
massive,ADJ,,Very large in size or extent.,20240105_10,,,,,,,,,,
occur,VERB,,To happen or take place.,20240105_10,,,,,,,,,,
ordeal,NOUN,,Difficult and unpleasant experience.,20240105_10,,,,,,,,,,
passenger,NOUN,technical term,Travel,20240105_10,,,,,,,,,,
plane,NOUN,technical term,Aviation,20240105_10,,,,,,,,,,
runway,NOUN,technical term,Airstrip,20240105_10,,,,,,,,,,
safely,ADV,,Security,20240105_10,,,,,,,,,,
terrifying,ADJ,,Fear,20240105_10,,,,,,,,,,
this week,DET,,Duration,20240105_10,,,,,,,,,,
two,NUM,,Quantity,20240105_10,,,,,,,,,,
apocalyptic,ADJ,Technical Term,Describes a situation of extreme danger or devastation.,20231208_14,,,,,,,,,,
crisis,NOUN,technical term,A difficult and dangerous situation.,20231208_14,,,,,,,,,,
deepen,VERB,Technical Term,To make something worse or more severe.,20231208_14,,,,,,,,,,
Israel-Hamas,NORP,Individual Name,Political Entity/Group,20231208_14,,,,,,,,,,
CNN,PROPN,Organization Name,News Network,20231208_14,,,,,,,,,,
Gaza,GPE,Location,Region/Territory,20231208_14,,,,,,,,,,
Eastern Ukraine,LOC,Location,Region,20231208_14,,,,,,,,,,
Burkina Faso,PROPN,Location,Country,20231208_14,,,,,,,,,,
Yemen,PROPN,Location,Country,20231208_14,,,,,,,,,,
UN,PROPN,ORG,Organization Name,20231208_14,,,,,,,,,,
describe,VERB,Technical Term,To provide a verbal portrayal of a situation or event.,20231208_14,,,,,,,,,,
dig,VERB,Technical Term,To excavate earth or other material using tools.,20231208_14,,,,,,,,,,
fight,VERB,Organization Name,"Engaged in physical combat, conflict.",20231208_14,,,,,,,,,,
food,NOUN,Technical Term,Essential substance required for human survival and nourishment.,20231208_14,,,,,,,,,,
go,VERB,Technical Term,To move from one location to another.,20231208_14,,,,,,,,,,
have,VERB,Technical Term,To possess or own something.,20231208_14,,,,,,,,,,
humanitarian,ADJ,Organization Name,Concerned with improving the welfare of humankind.,20231208_14,,,,,,,,,,
official,NOUN,Organization Name,A person holding a formal position of authority.,20231208_14,,,,,,,,,,
place,NOUN,Technical Term,A specific location or position.,20231208_14,,,,,,,,,,
intensifie,NOUN,technical term,increase in intensity or strength,20231208_14,,,,,,,,,,
recently,ADV,,Duration/Time,20231208_14,,,,,,,,,,
region,NOUN,Organization Name,Geographic Area,20231208_14,,,,,,,,,,
report,VERB,,Information Sharing,20231208_14,,,,,,,,,,
resident,NOUN,Individual Name,Inhabitant,20231208_14,,,,,,,,,,
rubble,NOUN,,Destruction,20231208_14,,,,,,,,,,
safe,ADJ,,Security/Protection,20231208_14,,,,,,,,,,
situation,NOUN,Technical Term,Circumstances,20231208_14,,,,,,,,,,
starve,VERB,,Survival Need,20231208_14,,,,,,,,,,
supply,NOUN,Technical Term,Provisions/Resources,20231208_14,,,,,,,,,,
the United Nations,DET,Organization Name,International Body,20231208_14,,,,,,,,,,
war-torn,ADJECTIVE,technical term,describes a region affected by war and damage,20231208_14,,,,,,,,,,
warn,VERB,organization name,to give notice of potential danger or harm,20231208_14,,,,,,,,,,
Warner Music Group,PROPN,ORG,Company,20231117_1,,,,,,,,,,
La Vie en Rose,PROPN,WORK_OF_ART,Song,20231117_1,,,,,,,,,,
1963,NUM,DATE,Year,20231117_1,,,,,,,,,,
Edith,PROPN,WORK_OF_ART,Film Title,20231117_1,,,,,,,,,,
France,PROPN,GPE,Country,20231117_1,,,,,,,,,,
Marilyn Monroe,PROPN,PERSON,Celebrity,20231117_1,,,,,,,,,,
Frank Sinatra,PROPN,PERSON,entertainer,20231117_1,,,,,,,,,,
Ingrid Bergman,PROPN,PERSON,Actress,20231117_1,,,,,,,,,,
AI,PROPN,Technical Term,Artificial Intelligence,20231117_1,,,,,,,,,,
Piaf,PROPN,Individual Name,"Édith Piaf, A famous French singer",20231117_1,,,,,,,,,,
announce,VERB,,Publicly declare or state something,20231117_1,,,,,,,,,,
artificial,ADJ,technical term,Not naturally occurring; created by human intervention,20231117_1,,,,,,,,,,
artist,NOUN,,A person whose profession is to create art,20231117_1,,,,,,,,,,
back,ADV,,Return to a previous position or state,20231117_1,,,,,,,,,,
become,VERB,,To develop into or become something else,20231117_1,,,,,,,,,,
bill,VERB,,To advertise or promote something,20231117_1,,,,,,,,,,
biopic,NOUN,technical term,A film depicting the life of a particular person,20231117_1,,,,,,,,,,
bring,VERB,,To cause something to come into existence or be present somewhere,20231117_1,,,,,,,,,,
celebrity,NOUN,individual name,"A famous person known primarily for their work in entertainment, sports, or other public fields",20231117_1,,,,,,,,,,
die,VERB,,To cease living,20231117_1,,,,,,,,,,
empowerment,NOUN,technical term,A feeling of being given power to influence one's life and actions.,20231117_1,,,,,,,,,,
female,ADJ,technical term,"Of, relating to, or denoting the feminine gender.",20231117_1,,,,,,,,,,
film,NOUN,technical term,"A visual medium for storytelling, often with sound and characters.",20231117_1,,,,,,,,,,
iconic,ADJ,technical term,"Widely recognized and admired, serving as a symbol or model of something.",20231117_1,,,,,,,,,,
intelligence,NOUN,technical term,"The ability to learn, understand, and apply knowledge.",20231117_1,,,,,,,,,,
narrate,VERB,technical term,"To tell a story, often aloud and in detail.",20231117_1,,,,,,,,,,
image,NOUN,technical term,Visual representation,20231117_1,,,,,,,,,,
late,ADJ,organization name,Referring to deceased individuals in entertainment,20231117_1,,,,,,,,,,
life,NOUN,technical term,"Biological existence, simulated or recreated using AI",20231117_1,,,,,,,,,,
most,ADV,organization name,Indicates a high degree of fame or recognition within the entertainment industry,20231117_1,,,,,,,,,,
singer,NOUN,individual name,Musical Performer,20231117_1,,,,,,,,,,
story,NOUN,higher-level concept,Narrative of Events,20231117_1,,,,,,,,,,
symbol,NOUN,higher-level concept,Representation of an Idea,20231117_1,,,,,,,,,,
one,NUM,cardinal number,A Single Unit,20231117_1,,,,,,,,,,
order,NOUN,NO CATEGORY - TOO VAGUE,"Lack of clear definition, possibly related to sequential structure or arrangement.",20231117_1,,,,,,,,,,
recreate,VERB,Technical Term,To generate a digital replica of a person's voice and appearance.,20231117_1,,,,,,,,,,
tell,VERB,NO CATEGORY - TOO VAGUE,To narrate or depict a story.,20231117_1,,,,,,,,,,
time,NOUN,Technical Term,"Duration, especially in relation to narrative timelines and production schedules.",20231117_1,,,,,,,,,,
title,VERB,Technical Term,To assign a name or label to a film or work of art.,20231117_1,,,,,,,,,,
upcoming,ADJ,NO CATEGORY - TOO VAGUE,Scheduled for release or presentation in the near future.,20231117_1,,,,,,,,,,
use,VERB,technical term,Application of technology,20231117_1,,,,,,,,,,
voice,NOUN,technical term,Speaking/Audio Output,20231117_1,,,,,,,,,,
Édith,PROPN,individual name,Singer,20231117_1,,,,,,,,,,
2022,NUM,DATE,Year,20231124_13,,,,,,,,,,
37 million,NUM,CARDINAL,Quantity,20231124_13,,,,,,,,,,
Indiana,PROPN,GPE,US State,20231124_13,,,,,,,,,,
Minnesota,PROPN,GPE,US State,20231124_13,,,,,,,,,,
North Carolina,PROPN,GPE,US State,20231124_13,,,,,,,,,,
Thanksgiving,PROPN,DATE,Holiday,20231124_13,,,,,,,,,,
Turkey,PROPN,GPE,Nation/Country,20231124_13,,,,,,,,,,
US,PROPN,GPE,Country,20231124_13,,,,,,,,,,
arkansa,NOUN,GPE,US State,20231124_13,,,,,,,,,,
centerpiece,NOUN,COMMON NOUN,Focal Point,20231124_13,,,,,,,,,,
competition,NOUN,organization name,"Contest, rivalry",20231124_13,,,,,,,,,,
dinner,NOUN,technical term,Meal,20231124_13,,,,,,,,,,
gobble,VERB,organization name,Consume food rapidly,20231124_13,,,,,,,,,,
most,ADJ,technical term,Superlative,20231124_13,,,,,,,,,,
raise,VERB,technical term,"cultivate, rear",20231124_13,,,,,,,,,,
state,NOUN,organization name,Political entity,20231124_13,,,,,,,,,,
turkey,NOUN,individual name,Bird,20231124_13,,,,,,,,,,
typically,ADV,technical term,"Prevailingly, habitually",20231124_13,,,,,,,,,,
$1 million,SYM,MONEY,Financial Value,20231215_2,,,,,,,,,,
Cyrus,PROPN,PERSON,Celebrity Name,20231215_2,,,,,,,,,,
Instagram,PROPN,ORG,Social Media Platform,20231215_2,,,,,,,,,,
John Legend,PROPN,PERSON,Celebrity Name,20231215_2,,,,,,,,,,
Middle Tennessee,PROPN,GPE,Geographical Location,20231215_2,,,,,,,,,,
Miley,PROPN,PERSON,Celebrity Name,20231215_2,,,,,,,,,,
Nashville,PROPN,GPE,Geographical Location,20231215_2,,,,,,,,,,
Oprah Winfrey,PROPN,PERSON,Celebrity Name,20231215_2,,,,,,,,,,
Swift,PROPN,PERSON,Celebrity Name,20231215_2,,,,,,,,,,
Taylor Swift,PROPN,PERSON,Celebrity Name,20231215_2,,,,,,,,,,
Tennessee,PROPN,GPE,U.S. State,20231215_2,,,,,,,,,,
celebrity,NOUN,,Famous Person,20231215_2,,,,,,,,,,
deadly,ADJ,,Harmful/Dangerous,20231215_2,,,,,,,,,,
devastating,ADJ,,"Causing Great Damage'},  0   {",20231215_2,,,,,,,,,,
donate,VERB,,Financial Assistance,20231215_2,,,,,,,,,,
fact,NOUN,,"Event, Reality",20231215_2,,,,,,,,,,
home,NOUN,,Residence,20231215_2,,,,,,,,,,
last weekend,ADJ,DATE,Recency,20231215_2,,,,,,,,,,
lose,VERB,,Suffering,20231215_2,,,,,,,,,,
many,ADJ,,Quantity,20231215_2,,,,,,,,,,
more,ADJ,Abstract Concept,Greater quantity or extent,20231215_2,,,,,,,,,,
much,ADV,Abstract Concept,Significant amount,20231215_2,,,,,,,,,,
people,NOUN,Individual Name,Humans,20231215_2,,,,,,,,,,
region,NOUN,Geographical Term,Defined area,20231215_2,,,,,,,,,,
resident,NOUN,Individual Name,Person who lives in a particular place,20231215_2,,,,,,,,,,
rip,VERB,Action,Destroy forcefully,20231215_2,,,,,,,,,,
say,VERB,Communication,Express verbally,20231215_2,,,,,,,,,,
singer-songwriter,NOUN,Profession,Music creator,20231215_2,,,,,,,,,,
so,ADV,Abstract Concept,To such an extent,20231215_2,,,,,,,,,,
the Tennessee Emergency Response Fund,DET,Organization Name, Non-profit providing aid,20231215_2,,,,,,,,,,
tornado,NOUN,technical term,Weather phenomenon,20231215_2,,,,,,,,,,
tornado-ravaged,NOUN,technical term,Region affected by tornadoes,20231215_2,,,,,,,,,,
Putin,PROPN,PERSON,Politician,20231215_5,,,,,,,,,,
Kremlin,PROPN,FAC,Government Building,20231215_5,,,,,,,,,,
March,PROPN,DATE,Time,20231215_5,,,,,,,,,,
Russia,PROPN,GPE,Country,20231215_5,,,,,,,,,,
2036,NUM,DATE,Year,20231215_5,,,,,,,,,,
St Petersburg,PROPN,PERSON,City,20231215_5,,,,,,,,,,
Moscow,PROPN,GPE,City,20231215_5,,,,,,,,,,
award,NOUN,,Recognition of achievement,20231215_5,,,,,,,,,,
become,VERB,,Achieve a state or position,20231215_5,,,,,,,,,,
bid,NOUN,,An attempt to achieve something,20231215_5,,,,,,,,,,
ceremony,NOUN,,Formal event,20231215_5,,,,,,,,,,
city,NOUN,ORGANIZATION NAME,Urban center,20231215_5,,,,,,,,,,
confirm,VERB,,To verify or make certain,20231215_5,,,,,,,,,,
election,NOUN,,The process of choosing a representative,20231215_5,,,,,,,,,,
end,VERB,,To bring to a close,20231215_5,,,,,,,,,,
Yekaterinburg,PROPN,ORGANIZATION NAME,City,20231215_5,,,,,,,,,,
expected,ADJ,Technical Term,Victory in elections,20231215_5,,,,,,,,,,
leader,NOUN,Organization Name,Political Authority,20231215_5,,,,,,,,,,
longest-serving,ADV,Technical Term,Duration of Leadership,20231215_5,,,,,,,,,,
military,ADJ,Organization Name,Armed Forces,20231215_5,,,,,,,,,,
month,NOUN,Technical Term,Time Unit,20231215_5,,,,,,,,,,
next year,ADJ,DATE,Future Time Period,20231215_5,,,,,,,,,,
place,NOUN,Organization Name,Geographical Location,20231215_5,,,,,,,,,,
point,NOUN,Technical Term,Reference Marker,20231215_5,,,,,,,,,,
power,NOUN,Technical Term,Authority Influence,20231215_5,,,,,,,,,,
president,NOUN,Individual Name,Political Head of State,20231215_5,,,,,,,,,,
pave,VERB,,,20231215_5,,,,,,,,,,
re-election,NOUN,technical term,Political process,20231215_5,,,,,,,,,,
remain,VERB,none,Continue in a position of power,20231215_5,,,,,,,,,,
run,VERB,none,Campaign for political office,20231215_5,,,,,,,,,,
schedule,VERB,none,Official arrangement of events,20231215_5,,,,,,,,,,
speculation,NOUN,technical term,Discussion or conjecture about a future event,20231215_5,,,,,,,,,,
surpass,VERB,none,Exceed a previous record,20231215_5,,,,,,,,,,
take,VERB,none,Assume a position of power,20231215_5,,,,,,,,,,
term,NOUN,technical term,Period of office,20231215_5,,,,,,,,,,
victory,NOUN,none,Success in a contest,20231215_5,,,,,,,,,,
vladivostok,NOUN,Individual Name,Name of a city,20231215_5,,,,,,,,,,
way,NOUN,technical term,Method or manner,20231215_5,,,,,,,,,,
Israel,Proper Noun,GPE,Country,20231215_13,,,,,,,,,,
Gaza,Proper Noun,GPE,Region,20231215_13,,,,,,,,,,
Damar Hamlin,Proper Noun,PERSON,Athlete,20231215_13,,,,,,,,,,
Barbie,Proper Noun,PRODUCT,Doll,20231215_13,,,,,,,,,,
Google,PROPN,ORG,Technology Company,20231215_13,,,,,,,,,,
Covid-19,PROPN,Technical Term,Disease,20231215_13,,,,,,,,,,
Matthew Perry,PROPN,PERSON,Actor,20231215_13,,,,,,,,,,
